File name: inaki_n13inaki1_2024-07-30T09:09:31_2024-07-30T09:38:31

User: inaki

Sensor: n13inaki1[D9:21:E8:54:C7:BA]

Dive: 30 martes emisario MT PALMA 2
Dive date range: 2024-07-30 09:09:31 - 2024-07-30 09:38:31 (UTC +02:00)

"Location: 39.552427,2.68591"

Summary: 
Duration: 0:29:00 h.
Temp: 26.39 c (min.) 31.58 c (max.) 
Depth: -14.6 m (max.)

date,temperature(c),depth(m)
2024-07-30 09:09:31,28.25,-1.16
2024-07-30 09:09:32,28.21,-1.07
2024-07-30 09:09:33,28.2,-1.21
2024-07-30 09:09:34,28.15,-1.34
2024-07-30 09:09:35,28.15,-1.24
2024-07-30 09:09:36,28.13,-1.04
2024-07-30 09:09:37,28.11,-1.1
2024-07-30 09:09:38,28.1,-1.13
2024-07-30 09:09:39,28.07,-0.98
2024-07-30 09:09:40,28.07,-0.98
2024-07-30 09:09:41,28.03,-1.37
2024-07-30 09:09:42,28.05,-1.37
2024-07-30 09:09:43,28.06,-1.25
2024-07-30 09:09:44,28.03,-0.93
2024-07-30 09:09:45,28.17,-0.42
2024-07-30 09:09:46,28.03,-0.42
2024-07-30 09:09:47,28.03,-0.42
2024-07-30 09:09:48,28.03,-0.42
2024-07-30 09:09:49,28.0,-0.45
2024-07-30 09:09:50,27.99,-0.39
2024-07-30 09:09:51,27.9,-0.42
2024-07-30 09:09:52,27.9,-0.42
2024-07-30 09:09:53,27.86,-0.39
2024-07-30 09:09:54,27.9,-0.42
2024-07-30 09:09:55,27.82,-0.36
2024-07-30 09:09:56,27.75,-0.45
2024-07-30 09:09:57,27.74,-0.81
2024-07-30 09:09:58,27.76,-1.19
2024-07-30 09:09:59,27.79,-1.28
2024-07-30 09:10:00,27.83,-1.69
2024-07-30 09:10:01,27.83,-2.17
2024-07-30 09:10:02,27.86,-2.38
2024-07-30 09:10:03,27.88,-2.44
2024-07-30 09:10:04,27.89,-2.98
2024-07-30 09:10:05,27.87,-3.45
2024-07-30 09:10:06,27.92,-3.86
2024-07-30 09:10:07,27.9,-3.93
2024-07-30 09:10:08,27.91,-3.93
2024-07-30 09:10:09,27.92,-4.01
2024-07-30 09:10:10,27.92,-4.13
2024-07-30 09:10:11,27.91,-4.25
2024-07-30 09:10:12,27.92,-4.49
2024-07-30 09:10:13,27.92,-4.61
2024-07-30 09:10:14,27.91,-4.99
2024-07-30 09:10:15,27.9,-5.28
2024-07-30 09:10:16,27.9,-5.53
2024-07-30 09:10:17,27.9,-5.53
2024-07-30 09:10:18,27.9,-5.82
2024-07-30 09:10:19,27.9,-6.15
2024-07-30 09:10:20,27.88,-6.51
2024-07-30 09:10:21,27.89,-6.74
2024-07-30 09:10:22,27.89,-6.83
2024-07-30 09:10:23,27.91,-7.07
2024-07-30 09:10:24,27.89,-7.24
2024-07-30 09:10:25,27.89,-7.48
2024-07-30 09:10:26,27.89,-7.69
2024-07-30 09:10:27,27.89,-7.92
2024-07-30 09:10:28,27.88,-8.16
2024-07-30 09:10:29,27.86,-8.37
2024-07-30 09:10:30,27.84,-8.64
2024-07-30 09:10:31,27.86,-8.81
2024-07-30 09:10:32,27.83,-8.9
2024-07-30 09:10:33,27.82,-9.02
2024-07-30 09:10:34,27.82,-9.2
2024-07-30 09:10:35,27.79,-9.17
2024-07-30 09:10:36,27.8,-9.11
2024-07-30 09:10:37,27.78,-9.29
2024-07-30 09:10:38,27.78,-9.23
2024-07-30 09:10:39,27.77,-9.26
2024-07-30 09:10:40,27.76,-9.37
2024-07-30 09:10:41,27.76,-9.4
2024-07-30 09:10:42,27.76,-9.46
2024-07-30 09:10:43,27.75,-9.43
2024-07-30 09:10:44,27.74,-9.43
2024-07-30 09:10:45,27.72,-9.4
2024-07-30 09:10:46,27.74,-9.37
2024-07-30 09:10:47,27.75,-9.34
2024-07-30 09:10:48,27.75,-9.4
2024-07-30 09:10:49,27.72,-9.59
2024-07-30 09:10:50,27.72,-9.56
2024-07-30 09:10:51,27.71,-9.59
2024-07-30 09:10:52,27.71,-9.62
2024-07-30 09:10:53,27.72,-9.56
2024-07-30 09:10:54,27.72,-9.46
2024-07-30 09:10:55,27.71,-9.59
2024-07-30 09:10:56,27.74,-9.59
2024-07-30 09:10:57,27.72,-9.59
2024-07-30 09:10:58,27.72,-9.43
2024-07-30 09:10:59,27.72,-9.05
2024-07-30 09:11:00,27.72,-8.45
2024-07-30 09:11:01,27.75,-7.77
2024-07-30 09:11:02,27.78,-7.83
2024-07-30 09:11:03,27.75,-7.51
2024-07-30 09:11:04,27.76,-7.36
2024-07-30 09:11:05,27.77,-7.33
2024-07-30 09:11:06,27.78,-7.36
2024-07-30 09:11:07,27.81,-7.51
2024-07-30 09:11:08,27.8,-7.69
2024-07-30 09:11:09,27.8,-7.83
2024-07-30 09:11:10,27.79,-7.8
2024-07-30 09:11:11,27.79,-7.86
2024-07-30 09:11:12,27.8,-7.92
2024-07-30 09:11:13,27.79,-7.89
2024-07-30 09:11:14,27.78,-7.95
2024-07-30 09:11:15,27.78,-7.95
2024-07-30 09:11:16,27.78,-8.02
2024-07-30 09:11:17,27.78,-8.02
2024-07-30 09:11:18,27.75,-8.02
2024-07-30 09:11:19,27.77,-7.98
2024-07-30 09:11:20,27.77,-7.95
2024-07-30 09:11:21,27.77,-8.02
2024-07-30 09:11:22,27.77,-8.04
2024-07-30 09:11:23,27.77,-8.04
2024-07-30 09:11:24,27.78,-8.0
2024-07-30 09:11:25,27.77,-7.98
2024-07-30 09:11:26,27.78,-8.0
2024-07-30 09:11:27,27.76,-8.02
2024-07-30 09:11:28,27.76,-7.98
2024-07-30 09:11:29,27.78,-7.98
2024-07-30 09:11:30,27.77,-8.04
2024-07-30 09:11:31,27.78,-7.69
2024-07-30 09:11:32,27.78,-7.3
2024-07-30 09:11:33,27.78,-7.38
2024-07-30 09:11:34,27.78,-7.3
2024-07-30 09:11:35,27.77,-7.44
2024-07-30 09:11:36,27.77,-7.47
2024-07-30 09:11:37,27.78,-7.51
2024-07-30 09:11:38,27.78,-7.54
2024-07-30 09:11:39,27.8,-7.57
2024-07-30 09:11:40,27.78,-7.6
2024-07-30 09:11:41,27.79,-7.51
2024-07-30 09:11:42,27.79,-7.6
2024-07-30 09:11:43,27.78,-7.6
2024-07-30 09:11:44,27.79,-7.54
2024-07-30 09:11:45,27.81,-7.47
2024-07-30 09:11:46,27.79,-7.51
2024-07-30 09:11:47,27.8,-7.47
2024-07-30 09:11:48,27.78,-7.6
2024-07-30 09:11:49,27.8,-7.54
2024-07-30 09:11:50,27.8,-7.47
2024-07-30 09:11:51,27.8,-7.57
2024-07-30 09:11:52,27.79,-7.54
2024-07-30 09:11:53,27.79,-7.54
2024-07-30 09:11:54,27.8,-7.6
2024-07-30 09:11:55,27.79,-7.54
2024-07-30 09:11:56,27.79,-7.57
2024-07-30 09:11:57,27.8,-7.6
2024-07-30 09:11:58,27.8,-7.57
2024-07-30 09:11:59,27.79,-7.65
2024-07-30 09:12:00,27.78,-7.66
2024-07-30 09:12:01,27.78,-7.63
2024-07-30 09:12:02,27.78,-7.63
2024-07-30 09:12:03,27.77,-7.71
2024-07-30 09:12:04,27.78,-7.68
2024-07-30 09:12:05,27.77,-7.68
2024-07-30 09:12:06,27.78,-7.71
2024-07-30 09:12:07,27.78,-7.74
2024-07-30 09:12:08,27.79,-7.71
2024-07-30 09:12:09,27.78,-7.74
2024-07-30 09:12:10,27.77,-7.47
2024-07-30 09:12:11,27.78,-7.27
2024-07-30 09:12:12,27.77,-7.06
2024-07-30 09:12:13,27.79,-6.68
2024-07-30 09:12:14,27.78,-6.38
2024-07-30 09:12:15,27.79,-6.12
2024-07-30 09:12:16,27.81,-5.79
2024-07-30 09:12:17,27.78,-5.34
2024-07-30 09:12:18,27.81,-5.05
2024-07-30 09:12:19,27.82,-4.66
2024-07-30 09:12:20,27.82,-4.36
2024-07-30 09:12:21,27.8,-3.9
2024-07-30 09:12:22,27.8,-3.63
2024-07-30 09:12:23,27.82,-3.37
2024-07-30 09:12:24,27.81,-2.98
2024-07-30 09:12:25,27.82,-2.74
2024-07-30 09:12:26,27.84,-2.42
2024-07-30 09:12:27,27.83,-2.2
2024-07-30 09:12:28,27.84,-1.91
2024-07-30 09:12:29,27.82,-1.64
2024-07-30 09:12:30,27.83,-1.44
2024-07-30 09:12:31,27.82,-1.02
2024-07-30 09:12:32,27.83,-0.75
2024-07-30 09:12:33,27.84,-0.43
2024-07-30 09:12:34,27.84,-0.43
2024-07-30 09:12:35,27.82,-0.43
2024-07-30 09:12:36,27.78,-0.4
2024-07-30 09:12:37,27.76,-0.4
2024-07-30 09:12:38,27.7,-0.4
2024-07-30 09:12:39,27.72,-0.4
2024-07-30 09:12:40,27.64,-0.43
2024-07-30 09:12:41,27.77,-0.4
2024-07-30 09:12:42,27.76,-0.43
2024-07-30 09:12:43,27.84,-0.4
2024-07-30 09:12:44,27.92,-0.43
2024-07-30 09:12:45,27.99,-0.43
2024-07-30 09:12:46,28.03,-0.43
2024-07-30 09:12:47,28.08,-0.43
2024-07-30 09:12:48,28.13,-0.43
2024-07-30 09:12:49,28.18,-0.43
2024-07-30 09:12:50,28.25,-0.4
2024-07-30 09:12:51,28.28,-0.4
2024-07-30 09:12:52,28.35,-0.43
2024-07-30 09:12:53,28.39,-0.4
2024-07-30 09:12:54,28.47,-0.43
2024-07-30 09:12:55,28.51,-0.43
2024-07-30 09:12:56,28.57,-0.43
2024-07-30 09:12:57,28.6,-0.43
