File name: inaki_n13inaki1_2024-08-01T09:25:47_2024-08-01T09:51:24

User: inaki

Sensor: n13inaki1[D9:21:E8:54:C7:BA]

Dive: 1 jueves emisario d2
Dive date range: 2024-08-01 09:25:47 - 2024-08-01 09:51:24 (UTC +02:00)

"Location: 39.547211,2.681205"

Summary: 
Duration: 0:25:37 h.
Temp: 27.36 c (min.) 28.75 c (max.) 
Depth: -16.18 m (max.)

date,temperature(c),depth(m)
2024-08-01 09:25:47,28.75,-1.47
2024-08-01 09:25:48,28.61,-1.58
2024-08-01 09:25:49,28.52,-1.49
2024-08-01 09:25:50,28.44,-1.58
2024-08-01 09:25:51,28.42,-1.55
2024-08-01 09:25:52,28.35,-1.61
2024-08-01 09:25:53,28.3,-1.58
2024-08-01 09:25:54,28.27,-1.44
2024-08-01 09:25:55,28.25,-1.44
2024-08-01 09:25:56,28.21,-1.55
2024-08-01 09:25:57,28.18,-1.64
2024-08-01 09:25:58,28.16,-1.64
2024-08-01 09:25:59,28.15,-1.55
2024-08-01 09:26:00,28.13,-1.58
2024-08-01 09:26:01,28.13,-1.64
2024-08-01 09:26:02,28.1,-1.67
2024-08-01 09:26:03,28.12,-1.91
2024-08-01 09:26:04,28.1,-2.09
2024-08-01 09:26:05,28.1,-2.2
2024-08-01 09:26:06,28.1,-2.09
2024-08-01 09:26:07,28.08,-2.26
2024-08-01 09:26:08,28.07,-2.59
2024-08-01 09:26:09,28.07,-3.06
2024-08-01 09:26:10,28.06,-3.57
2024-08-01 09:26:11,28.08,-4.04
2024-08-01 09:26:12,28.07,-4.61
2024-08-01 09:26:13,28.07,-5.17
2024-08-01 09:26:14,28.07,-5.67
2024-08-01 09:26:15,28.04,-6.06
2024-08-01 09:26:16,28.05,-6.5
2024-08-01 09:26:17,28.05,-6.88
2024-08-01 09:26:18,28.05,-7.27
2024-08-01 09:26:19,28.04,-7.69
2024-08-01 09:26:20,28.05,-8.07
2024-08-01 09:26:21,28.03,-8.51
2024-08-01 09:26:22,28.03,-8.93
2024-08-01 09:26:23,28.03,-9.31
2024-08-01 09:26:24,28.03,-9.7
2024-08-01 09:26:25,28.03,-10.15
2024-08-01 09:26:26,28.01,-10.52
2024-08-01 09:26:27,28.02,-10.97
2024-08-01 09:26:28,28.03,-11.33
2024-08-01 09:26:29,28.02,-11.72
2024-08-01 09:26:30,28.03,-12.09
2024-08-01 09:26:31,28.01,-12.34
2024-08-01 09:26:32,28.02,-12.34
2024-08-01 09:26:33,28.03,-12.6
2024-08-01 09:26:34,28.01,-12.9
2024-08-01 09:26:35,28.01,-13.2
2024-08-01 09:26:36,28.03,-13.29
2024-08-01 09:26:37,28.03,-13.43
2024-08-01 09:26:38,28.03,-13.52
2024-08-01 09:26:39,28.01,-13.79
2024-08-01 09:26:40,28.01,-13.73
2024-08-01 09:26:41,28.0,-13.93
2024-08-01 09:26:42,28.01,-13.9
2024-08-01 09:26:43,28.0,-14.02
2024-08-01 09:26:44,28.0,-14.05
2024-08-01 09:26:45,28.0,-13.96
2024-08-01 09:26:46,28.0,-14.14
2024-08-01 09:26:47,28.03,-14.29
2024-08-01 09:26:48,28.0,-14.32
2024-08-01 09:26:49,28.01,-14.29
2024-08-01 09:26:50,28.0,-14.19
2024-08-01 09:26:51,28.0,-14.19
2024-08-01 09:26:52,28.0,-14.47
2024-08-01 09:26:53,28.0,-14.82
2024-08-01 09:26:54,28.0,-15.03
2024-08-01 09:26:55,28.01,-15.0
2024-08-01 09:26:56,27.98,-15.03
2024-08-01 09:26:57,28.0,-15.11
2024-08-01 09:26:58,28.0,-15.36
2024-08-01 09:26:59,28.0,-15.5
2024-08-01 09:27:00,27.99,-15.44
2024-08-01 09:27:01,27.99,-15.56
2024-08-01 09:27:02,28.0,-15.62
2024-08-01 09:27:03,28.02,-15.59
2024-08-01 09:27:04,28.0,-15.5
2024-08-01 09:27:05,28.01,-15.06
2024-08-01 09:27:06,28.0,-14.77
2024-08-01 09:27:07,27.99,-14.46
2024-08-01 09:27:08,28.0,-14.38
2024-08-01 09:27:09,28.0,-14.23
2024-08-01 09:27:10,27.99,-14.23
2024-08-01 09:27:11,28.0,-14.13
2024-08-01 09:27:12,27.98,-14.13
2024-08-01 09:27:13,28.0,-14.13
2024-08-01 09:27:14,27.98,-14.13
2024-08-01 09:27:15,27.96,-14.16
2024-08-01 09:27:16,28.0,-14.13
2024-08-01 09:27:17,28.0,-14.05
2024-08-01 09:27:18,28.0,-14.05
2024-08-01 09:27:19,27.99,-14.05
2024-08-01 09:27:20,28.0,-14.19
2024-08-01 09:27:21,27.99,-14.19
2024-08-01 09:27:22,28.0,-14.13
2024-08-01 09:27:23,28.0,-14.13
2024-08-01 09:27:24,28.0,-14.08
2024-08-01 09:27:25,27.98,-14.13
2024-08-01 09:27:26,28.0,-14.26
2024-08-01 09:27:27,27.98,-14.16
2024-08-01 09:27:28,28.0,-14.08
2024-08-01 09:27:29,27.99,-13.99
2024-08-01 09:27:30,28.0,-14.05
2024-08-01 09:27:31,28.0,-14.08
2024-08-01 09:27:32,27.99,-14.35
2024-08-01 09:27:33,28.0,-14.43
2024-08-01 09:27:34,27.99,-14.58
2024-08-01 09:27:35,27.98,-14.64
2024-08-01 09:27:36,27.98,-14.73
2024-08-01 09:27:37,28.0,-15.14
2024-08-01 09:27:38,27.98,-15.11
2024-08-01 09:27:39,27.98,-15.23
2024-08-01 09:27:40,28.0,-15.17
2024-08-01 09:27:41,28.0,-15.38
2024-08-01 09:27:42,27.96,-15.47
2024-08-01 09:27:43,27.96,-15.53
2024-08-01 09:27:44,27.96,-15.59
2024-08-01 09:27:45,27.96,-15.59
2024-08-01 09:27:46,28.0,-15.64
2024-08-01 09:27:47,27.99,-15.64
2024-08-01 09:27:48,28.0,-15.56
