File name: inaki_n14inaki1_2024-07-31T09:19:03_2024-07-31T10:15:55

User: inaki

Sensor: n14inaki1[F2:AA:52:4F:51:03]

Dive: 31 miercoles emisario d2
Dive date range: 2024-07-31 09:19:03 - 2024-07-31 10:15:55 (UTC +02:00)

"Location: 39.551782,2.684933"

Summary: 
Duration: 0:56:52 h.
Temp: 25.43 c (min.) 28.88 c (max.) 
Depth: -15.34 m (max.)

date,temperature(c),depth(m)
2024-07-31 09:19:03,28.88,-1.5
2024-07-31 09:19:04,28.78,-1.42
2024-07-31 09:19:05,28.73,-1.3
2024-07-31 09:19:06,28.64,-1.23
2024-07-31 09:19:07,28.58,-0.86
2024-07-31 09:19:08,28.52,-0.59
2024-07-31 09:19:09,28.5,-0.76
2024-07-31 09:19:10,28.43,-0.83
2024-07-31 09:19:11,28.42,-0.73
2024-07-31 09:19:12,28.38,-0.83
2024-07-31 09:19:13,28.35,-0.8
2024-07-31 09:19:14,28.33,-0.76
2024-07-31 09:19:15,28.32,-0.91
2024-07-31 09:19:16,28.29,-1.0
2024-07-31 09:19:17,28.29,-1.3
2024-07-31 09:19:18,28.28,-1.23
2024-07-31 09:19:19,28.25,-1.15
2024-07-31 09:19:20,28.25,-1.23
2024-07-31 09:19:21,28.21,-0.94
2024-07-31 09:19:22,28.21,-0.8
2024-07-31 09:19:23,28.21,-0.67
2024-07-31 09:19:24,28.21,-0.8
2024-07-31 09:19:25,28.21,-0.68
2024-07-31 09:19:26,28.18,-0.89
2024-07-31 09:19:27,28.17,-1.23
2024-07-31 09:19:28,28.17,-1.62
2024-07-31 09:19:29,28.15,-1.71
2024-07-31 09:19:30,28.17,-1.71
2024-07-31 09:19:31,28.17,-1.73
2024-07-31 09:19:32,28.16,-1.76
2024-07-31 09:19:33,28.13,-1.79
2024-07-31 09:19:34,28.13,-1.79
2024-07-31 09:19:35,28.13,-1.83
2024-07-31 09:19:36,28.12,-1.95
2024-07-31 09:19:37,28.14,-1.97
2024-07-31 09:19:38,28.13,-1.92
2024-07-31 09:19:39,28.13,-1.86
2024-07-31 09:19:40,28.14,-1.76
2024-07-31 09:19:41,28.12,-1.53
2024-07-31 09:19:42,28.11,-1.09
2024-07-31 09:19:43,28.12,-1.06
2024-07-31 09:19:44,28.1,-1.12
2024-07-31 09:19:45,28.09,-1.03
2024-07-31 09:19:46,28.07,-1.12
2024-07-31 09:19:47,28.07,-1.18
2024-07-31 09:19:48,28.09,-1.33
2024-07-31 09:19:49,28.08,-1.45
2024-07-31 09:19:50,28.07,-1.36
2024-07-31 09:19:51,28.07,-1.18
2024-07-31 09:19:52,28.09,-1.09
2024-07-31 09:19:53,28.04,-1.12
2024-07-31 09:19:54,28.06,-1.09
2024-07-31 09:19:55,28.07,-1.15
2024-07-31 09:19:56,28.05,-1.18
2024-07-31 09:19:57,28.04,-1.39
2024-07-31 09:19:58,28.05,-1.59
2024-07-31 09:19:59,28.04,-1.86
2024-07-31 09:20:00,28.03,-2.06
2024-07-31 09:20:01,28.06,-2.29
2024-07-31 09:20:02,28.03,-2.56
2024-07-31 09:20:03,28.04,-2.79
2024-07-31 09:20:04,28.03,-3.03
2024-07-31 09:20:05,28.03,-3.23
2024-07-31 09:20:06,28.03,-3.44
2024-07-31 09:20:07,28.03,-3.61
2024-07-31 09:20:08,28.03,-3.82
2024-07-31 09:20:09,28.01,-3.97
2024-07-31 09:20:10,28.03,-4.14
2024-07-31 09:20:11,28.0,-4.28
2024-07-31 09:20:12,28.01,-4.41
2024-07-31 09:20:13,28.02,-4.61
2024-07-31 09:20:14,28.02,-4.7
2024-07-31 09:20:15,28.01,-4.84
2024-07-31 09:20:16,28.02,-5.02
2024-07-31 09:20:17,28.03,-5.05
2024-07-31 09:20:18,28.03,-5.17
2024-07-31 09:20:19,28.0,-5.37
2024-07-31 09:20:20,28.01,-5.37
2024-07-31 09:20:21,28.0,-5.49
2024-07-31 09:20:22,28.0,-5.64
2024-07-31 09:20:23,28.01,-5.61
2024-07-31 09:20:24,28.01,-5.49
2024-07-31 09:20:25,28.0,-5.58
2024-07-31 09:20:26,28.0,-5.63
2024-07-31 09:20:27,27.98,-5.75
2024-07-31 09:20:28,27.98,-5.81
2024-07-31 09:20:29,27.97,-5.81
2024-07-31 09:20:30,27.96,-5.81
2024-07-31 09:20:31,27.98,-5.89
2024-07-31 09:20:32,27.97,-5.96
2024-07-31 09:20:33,27.96,-6.02
2024-07-31 09:20:34,27.96,-6.02
2024-07-31 09:20:35,27.97,-6.16
2024-07-31 09:20:36,27.96,-6.19
2024-07-31 09:20:37,27.96,-6.16
2024-07-31 09:20:38,27.96,-6.16
2024-07-31 09:20:39,27.96,-6.25
2024-07-31 09:20:40,27.97,-6.25
2024-07-31 09:20:41,27.96,-6.27
2024-07-31 09:20:42,27.97,-6.27
2024-07-31 09:20:43,27.96,-6.36
2024-07-31 09:20:44,27.95,-6.39
2024-07-31 09:20:45,27.96,-6.33
2024-07-31 09:20:46,27.94,-6.33
2024-07-31 09:20:47,27.96,-6.39
2024-07-31 09:20:48,27.96,-6.36
2024-07-31 09:20:49,27.94,-6.39
2024-07-31 09:20:50,27.96,-6.39
2024-07-31 09:20:51,27.96,-6.39
2024-07-31 09:20:52,27.95,-6.48
2024-07-31 09:20:53,27.93,-6.48
2024-07-31 09:20:54,27.96,-6.39
2024-07-31 09:20:55,27.94,-6.45
2024-07-31 09:20:56,27.95,-6.48
2024-07-31 09:20:57,27.95,-6.48
2024-07-31 09:20:58,27.92,-6.54
2024-07-31 09:20:59,27.94,-6.44
2024-07-31 09:21:00,27.93,-6.51
2024-07-31 09:21:01,27.94,-6.51
2024-07-31 09:21:02,27.93,-6.57
2024-07-31 09:21:03,27.92,-6.6
2024-07-31 09:21:04,27.93,-6.51
2024-07-31 09:21:05,27.93,-6.57
2024-07-31 09:21:06,27.93,-6.68
2024-07-31 09:21:07,27.91,-6.77
2024-07-31 09:21:08,27.92,-7.09
2024-07-31 09:21:09,27.91,-7.35
2024-07-31 09:21:10,27.92,-7.88
2024-07-31 09:21:11,27.92,-8.23
2024-07-31 09:21:12,27.9,-8.73
2024-07-31 09:21:13,27.91,-9.25
2024-07-31 09:21:14,27.92,-9.75
2024-07-31 09:21:15,27.91,-10.48
2024-07-31 09:21:16,27.9,-11.21
2024-07-31 09:21:17,27.9,-11.94
2024-07-31 09:21:18,27.89,-12.15
2024-07-31 09:21:19,27.9,-12.35
2024-07-31 09:21:20,27.9,-12.49
2024-07-31 09:21:21,27.9,-12.73
2024-07-31 09:21:22,27.9,-12.79
2024-07-31 09:21:23,27.92,-13.02
2024-07-31 09:21:24,27.95,-13.23
2024-07-31 09:21:25,27.96,-13.35
2024-07-31 09:21:26,27.96,-13.49
2024-07-31 09:21:27,28.01,-13.4
2024-07-31 09:21:28,28.01,-13.66
2024-07-31 09:21:29,28.0,-13.81
2024-07-31 09:21:30,28.0,-13.87
2024-07-31 09:21:31,28.02,-13.87
2024-07-31 09:21:32,28.01,-13.99
2024-07-31 09:21:33,28.03,-14.01
2024-07-31 09:21:34,28.0,-14.07
2024-07-31 09:21:35,28.0,-14.13
2024-07-31 09:21:36,28.0,-14.16
2024-07-31 09:21:37,28.01,-14.28
2024-07-31 09:21:38,28.0,-14.31
2024-07-31 09:21:39,28.01,-14.4
2024-07-31 09:21:40,27.98,-14.4
2024-07-31 09:21:41,28.0,-14.4
2024-07-31 09:21:42,28.0,-14.39
2024-07-31 09:21:43,27.98,-14.31
2024-07-31 09:21:44,27.97,-14.45
2024-07-31 09:21:45,27.96,-14.57
2024-07-31 09:21:46,27.98,-14.75
2024-07-31 09:21:47,27.97,-14.81
2024-07-31 09:21:48,27.98,-14.83
2024-07-31 09:21:49,28.0,-14.89
2024-07-31 09:21:50,28.0,-14.89
2024-07-31 09:21:51,28.0,-14.95
2024-07-31 09:21:52,28.02,-14.95
2024-07-31 09:21:53,28.0,-14.92
2024-07-31 09:21:54,28.01,-14.92
2024-07-31 09:21:55,28.02,-14.83
2024-07-31 09:21:56,28.02,-14.95
2024-07-31 09:21:57,28.02,-14.98
2024-07-31 09:21:58,28.01,-14.98
2024-07-31 09:21:59,28.02,-14.98
2024-07-31 09:22:00,28.01,-15.0
2024-07-31 09:22:01,28.01,-14.92
2024-07-31 09:22:02,28.02,-14.89
2024-07-31 09:22:03,28.02,-14.95
2024-07-31 09:22:04,28.03,-14.97
2024-07-31 09:22:05,28.01,-14.97
2024-07-31 09:22:06,28.02,-14.95
2024-07-31 09:22:07,28.02,-14.95
2024-07-31 09:22:08,28.01,-14.97
2024-07-31 09:22:09,28.01,-15.0
2024-07-31 09:22:10,28.02,-14.97
2024-07-31 09:22:11,28.0,-15.0
2024-07-31 09:22:12,28.0,-15.0
2024-07-31 09:22:13,28.0,-14.95
2024-07-31 09:22:14,28.0,-14.53
2024-07-31 09:22:15,28.0,-14.89
2024-07-31 09:22:16,27.98,-14.94
2024-07-31 09:22:17,28.0,-14.94
2024-07-31 09:22:18,27.97,-14.86
2024-07-31 09:22:19,27.97,-14.86
2024-07-31 09:22:20,28.0,-14.77
2024-07-31 09:22:21,27.98,-14.88
2024-07-31 09:22:22,28.0,-15.03
2024-07-31 09:22:23,28.0,-15.06
2024-07-31 09:22:24,28.02,-15.06
2024-07-31 09:22:25,28.03,-15.03
2024-07-31 09:22:26,28.04,-15.0
2024-07-31 09:22:27,28.03,-15.03
2024-07-31 09:22:28,28.03,-15.03
2024-07-31 09:22:29,28.03,-15.03
2024-07-31 09:22:30,28.03,-15.08
2024-07-31 09:22:31,28.03,-15.06
2024-07-31 09:22:32,28.03,-15.03
2024-07-31 09:22:33,28.03,-15.03
2024-07-31 09:22:34,28.03,-15.08
2024-07-31 09:22:35,28.03,-15.08
2024-07-31 09:22:36,28.05,-15.0
2024-07-31 09:22:37,28.03,-15.06
2024-07-31 09:22:38,28.03,-15.03
2024-07-31 09:22:39,28.01,-15.06
2024-07-31 09:22:40,28.02,-15.03
2024-07-31 09:22:41,28.03,-15.03
2024-07-31 09:22:42,28.03,-15.06
2024-07-31 09:22:43,28.01,-15.0
2024-07-31 09:22:44,28.0,-15.03
2024-07-31 09:22:45,28.01,-15.05
2024-07-31 09:22:46,28.01,-15.05
2024-07-31 09:22:47,28.02,-15.0
2024-07-31 09:22:48,28.01,-15.03
2024-07-31 09:22:49,28.0,-15.05
2024-07-31 09:22:50,28.02,-15.03
2024-07-31 09:22:51,28.0,-15.05
2024-07-31 09:22:52,28.0,-15.05
2024-07-31 09:22:53,28.02,-15.03
2024-07-31 09:22:54,27.98,-15.03
2024-07-31 09:22:55,28.0,-15.05
2024-07-31 09:22:56,28.0,-15.05
2024-07-31 09:22:57,27.98,-15.05
2024-07-31 09:22:58,27.96,-15.05
2024-07-31 09:22:59,27.97,-15.02
2024-07-31 09:23:00,27.98,-15.02
2024-07-31 09:23:01,27.98,-15.05
2024-07-31 09:23:02,27.95,-15.05
2024-07-31 09:23:03,27.97,-15.02
2024-07-31 09:23:04,27.96,-15.02
2024-07-31 09:23:05,27.96,-15.02
2024-07-31 09:23:06,27.96,-15.05
2024-07-31 09:23:07,27.97,-15.08
2024-07-31 09:23:08,27.96,-15.05
2024-07-31 09:23:09,27.97,-14.99
2024-07-31 09:23:10,27.97,-15.02
2024-07-31 09:23:11,27.97,-15.05
2024-07-31 09:23:12,27.98,-15.02
2024-07-31 09:23:13,27.98,-14.97
2024-07-31 09:23:14,27.97,-14.99
2024-07-31 09:23:15,28.0,-14.99
2024-07-31 09:23:16,28.0,-14.99
2024-07-31 09:23:17,28.0,-14.96
2024-07-31 09:23:18,28.03,-14.99
2024-07-31 09:23:19,28.04,-14.94
2024-07-31 09:23:20,28.03,-14.93
2024-07-31 09:23:21,28.01,-14.93
2024-07-31 09:23:22,28.01,-14.85
2024-07-31 09:23:23,28.02,-14.85
2024-07-31 09:23:24,28.01,-14.99
2024-07-31 09:23:25,28.0,-15.02
2024-07-31 09:23:26,28.0,-15.02
2024-07-31 09:23:27,27.98,-15.02
2024-07-31 09:23:28,27.98,-15.05
2024-07-31 09:23:29,27.96,-15.02
2024-07-31 09:23:30,27.98,-15.02
2024-07-31 09:23:31,27.96,-15.02
2024-07-31 09:23:32,27.98,-15.05
2024-07-31 09:23:33,27.96,-15.02
2024-07-31 09:23:34,27.96,-14.99
2024-07-31 09:23:35,27.96,-15.05
2024-07-31 09:23:36,27.96,-15.02
2024-07-31 09:23:37,27.96,-14.99
2024-07-31 09:23:38,27.95,-15.02
2024-07-31 09:23:39,27.96,-15.02
2024-07-31 09:23:40,27.96,-15.02
2024-07-31 09:23:41,27.97,-15.05
2024-07-31 09:23:42,27.96,-15.02
2024-07-31 09:23:43,27.98,-15.05
2024-07-31 09:23:44,27.96,-14.96
2024-07-31 09:23:45,27.97,-14.93
2024-07-31 09:23:46,28.0,-14.96
2024-07-31 09:23:47,28.0,-14.96
