File name: inaki_n9inaki1_2024-08-02T11:27:48_2024-08-02T11:49:40

User: inaki

Sensor: n9inaki1[F2:D4:36:36:92:E8]

Dive: 2 viernes emisario d2
Dive date range: 2024-08-02 11:27:48 - 2024-08-02 11:49:40 (UTC +02:00)

"Location: 39.549552,2.679338"

Summary: 
Duration: 0:21:52 h.
Temp: 27.46 c (min.) 30.52 c (max.) 
Depth: -13.98 m (max.)

date,temperature(c),depth(m)
2024-08-02 11:27:48,29.19,-1.21
2024-08-02 11:27:49,29.14,-1.24
2024-08-02 11:27:50,29.07,-1.06
2024-08-02 11:27:51,29.03,-0.94
2024-08-02 11:27:52,28.99,-0.85
2024-08-02 11:27:53,28.94,-0.85
2024-08-02 11:27:54,28.92,-0.85
2024-08-02 11:27:55,28.87,-0.88
2024-08-02 11:27:56,28.87,-0.94
2024-08-02 11:27:57,28.83,-0.91
2024-08-02 11:27:58,28.81,-0.88
2024-08-02 11:27:59,28.8,-0.97
2024-08-02 11:28:00,28.78,-0.94
2024-08-02 11:28:01,28.75,-1.0
2024-08-02 11:28:02,28.75,-0.97
2024-08-02 11:28:03,28.71,-1.06
2024-08-02 11:28:04,28.71,-0.94
2024-08-02 11:28:05,28.68,-1.03
2024-08-02 11:28:06,28.67,-1.03
2024-08-02 11:28:07,28.67,-1.03
2024-08-02 11:28:08,28.66,-1.12
2024-08-02 11:28:09,28.67,-1.24
2024-08-02 11:28:10,28.64,-1.27
2024-08-02 11:28:11,28.65,-1.27
2024-08-02 11:28:12,28.62,-1.37
2024-08-02 11:28:13,28.6,-1.46
2024-08-02 11:28:14,28.6,-1.52
2024-08-02 11:28:15,28.6,-1.52
2024-08-02 11:28:16,28.58,-1.55
2024-08-02 11:28:17,28.6,-1.58
2024-08-02 11:28:18,28.57,-1.64
2024-08-02 11:28:19,28.57,-1.61
2024-08-02 11:28:20,28.58,-1.67
2024-08-02 11:28:21,28.57,-1.7
2024-08-02 11:28:22,28.57,-2.11
2024-08-02 11:28:23,28.55,-2.63
2024-08-02 11:28:24,28.57,-3.25
2024-08-02 11:28:25,28.56,-3.8
2024-08-02 11:28:26,28.53,-4.42
2024-08-02 11:28:27,28.52,-5.04
2024-08-02 11:28:28,28.53,-5.69
2024-08-02 11:28:29,28.5,-6.3
2024-08-02 11:28:30,28.5,-6.95
2024-08-02 11:28:31,28.47,-7.6
2024-08-02 11:28:32,28.44,-8.21
2024-08-02 11:28:33,28.46,-8.83
2024-08-02 11:28:34,28.45,-9.44
2024-08-02 11:28:35,28.39,-10.03
2024-08-02 11:28:36,28.37,-10.65
2024-08-02 11:28:37,28.36,-11.18
2024-08-02 11:28:38,28.34,-11.54
2024-08-02 11:28:39,28.33,-11.94
2024-08-02 11:28:40,28.3,-12.25
2024-08-02 11:28:41,28.28,-12.62
2024-08-02 11:28:42,28.27,-12.99
2024-08-02 11:28:43,28.27,-13.33
2024-08-02 11:28:44,28.28,-13.63
2024-08-02 11:28:45,28.32,-13.92
2024-08-02 11:28:46,28.34,-13.85
2024-08-02 11:28:47,28.35,-13.89
2024-08-02 11:28:48,28.39,-13.98
2024-08-02 11:28:49,28.39,-13.79
2024-08-02 11:28:50,28.37,-13.86
2024-08-02 11:28:51,28.4,-13.73
2024-08-02 11:28:52,28.39,-13.82
2024-08-02 11:28:53,28.4,-13.66
2024-08-02 11:28:54,28.42,-13.82
2024-08-02 11:28:55,28.39,-13.66
2024-08-02 11:28:56,28.41,-13.7
2024-08-02 11:28:57,28.42,-13.63
2024-08-02 11:28:58,28.42,-13.63
2024-08-02 11:28:59,28.42,-13.63
2024-08-02 11:29:00,28.41,-13.54
2024-08-02 11:29:01,28.42,-13.57
2024-08-02 11:29:02,28.42,-13.57
2024-08-02 11:29:03,28.41,-13.6
2024-08-02 11:29:04,28.42,-13.54
2024-08-02 11:29:05,28.42,-13.6
2024-08-02 11:29:06,28.41,-13.51
2024-08-02 11:29:07,28.41,-13.48
2024-08-02 11:29:08,28.4,-13.42
2024-08-02 11:29:09,28.41,-13.39
2024-08-02 11:29:10,28.39,-13.39
2024-08-02 11:29:11,28.4,-13.39
2024-08-02 11:29:12,28.39,-13.45
2024-08-02 11:29:13,28.39,-13.45
2024-08-02 11:29:14,28.39,-13.42
2024-08-02 11:29:15,28.4,-13.39
2024-08-02 11:29:16,28.39,-13.41
2024-08-02 11:29:17,28.41,-13.36
2024-08-02 11:29:18,28.39,-13.32
2024-08-02 11:29:19,28.36,-13.35
2024-08-02 11:29:20,28.39,-13.38
2024-08-02 11:29:21,28.37,-13.38
2024-08-02 11:29:22,28.39,-13.35
2024-08-02 11:29:23,28.35,-13.35
2024-08-02 11:29:24,28.37,-13.29
2024-08-02 11:29:25,28.39,-13.26
2024-08-02 11:29:26,28.35,-13.16
2024-08-02 11:29:27,28.34,-13.13
2024-08-02 11:29:28,28.33,-13.16
2024-08-02 11:29:29,28.3,-13.13
2024-08-02 11:29:30,28.3,-13.2
2024-08-02 11:29:31,28.29,-13.2
2024-08-02 11:29:32,28.3,-13.23
2024-08-02 11:29:33,28.28,-13.26
2024-08-02 11:29:34,28.27,-13.23
2024-08-02 11:29:35,28.28,-13.26
2024-08-02 11:29:36,28.25,-13.29
2024-08-02 11:29:37,28.28,-13.35
2024-08-02 11:29:38,28.31,-13.38
2024-08-02 11:29:39,28.29,-13.32
2024-08-02 11:29:40,28.3,-13.35
2024-08-02 11:29:41,28.31,-13.32
2024-08-02 11:29:42,28.3,-13.38
2024-08-02 11:29:43,28.32,-13.41
2024-08-02 11:29:44,28.34,-13.47
2024-08-02 11:29:45,28.34,-13.47
2024-08-02 11:29:46,28.35,-13.53
2024-08-02 11:29:47,28.35,-13.5
2024-08-02 11:29:48,28.34,-13.53
2024-08-02 11:29:49,28.35,-13.53
2024-08-02 11:29:50,28.35,-13.53
2024-08-02 11:29:51,28.35,-13.5
2024-08-02 11:29:52,28.33,-13.56
2024-08-02 11:29:53,28.35,-13.53
2024-08-02 11:29:54,28.35,-13.5
2024-08-02 11:29:55,28.36,-13.5
2024-08-02 11:29:56,28.35,-13.62
2024-08-02 11:29:57,28.35,-13.72
2024-08-02 11:29:58,28.35,-13.78
2024-08-02 11:29:59,28.36,-13.84
2024-08-02 11:30:00,28.34,-13.72
2024-08-02 11:30:01,28.36,-13.84
2024-08-02 11:30:02,28.35,-13.84
2024-08-02 11:30:03,28.34,-13.81
2024-08-02 11:30:04,28.35,-13.75
2024-08-02 11:30:05,28.34,-13.87
2024-08-02 11:30:06,28.36,-13.81
2024-08-02 11:30:07,28.35,-13.78
2024-08-02 11:30:08,28.37,-13.72
2024-08-02 11:30:09,28.37,-12.97
2024-08-02 11:30:10,28.35,-12.24
2024-08-02 11:30:11,28.32,-11.65
2024-08-02 11:30:12,28.26,-11.13
2024-08-02 11:30:13,28.24,-10.72
2024-08-02 11:30:14,28.23,-10.47
2024-08-02 11:30:15,28.21,-10.35
2024-08-02 11:30:16,28.21,-10.41
2024-08-02 11:30:17,28.21,-10.53
2024-08-02 11:30:18,28.2,-10.72
2024-08-02 11:30:19,28.17,-10.96
2024-08-02 11:30:20,28.19,-11.33
2024-08-02 11:30:21,28.17,-11.52
2024-08-02 11:30:22,28.16,-11.92
2024-08-02 11:30:23,28.15,-12.29
2024-08-02 11:30:24,28.13,-12.56
2024-08-02 11:30:25,28.1,-12.75
2024-08-02 11:30:26,28.11,-12.81
2024-08-02 11:30:27,28.08,-12.84
2024-08-02 11:30:28,28.1,-12.87
2024-08-02 11:30:29,28.09,-12.87
2024-08-02 11:30:30,28.1,-12.87
2024-08-02 11:30:31,28.09,-12.72
2024-08-02 11:30:32,28.09,-12.78
2024-08-02 11:30:33,28.07,-12.84
2024-08-02 11:30:34,28.07,-12.72
2024-08-02 11:30:35,28.06,-12.66
2024-08-02 11:30:36,28.05,-12.81
2024-08-02 11:30:37,28.05,-13.18
2024-08-02 11:30:38,28.07,-13.42
2024-08-02 11:30:39,28.09,-13.58
2024-08-02 11:30:40,28.14,-13.74
2024-08-02 11:30:41,28.15,-13.55
2024-08-02 11:30:42,28.18,-13.46
2024-08-02 11:30:43,28.2,-13.46
2024-08-02 11:30:44,28.19,-13.55
2024-08-02 11:30:45,28.19,-13.61
2024-08-02 11:30:46,28.22,-13.61
2024-08-02 11:30:47,28.23,-13.64
2024-08-02 11:30:48,28.24,-13.67
2024-08-02 11:30:49,28.22,-13.74
2024-08-02 11:30:50,28.27,-13.71
2024-08-02 11:30:51,28.27,-13.74
2024-08-02 11:30:52,28.29,-13.8
2024-08-02 11:30:53,28.28,-13.71
2024-08-02 11:30:54,28.29,-13.74
2024-08-02 11:30:55,28.29,-13.71
2024-08-02 11:30:56,28.29,-13.74
2024-08-02 11:30:57,28.31,-13.8
2024-08-02 11:30:58,28.3,-13.77
2024-08-02 11:30:59,28.3,-13.8
2024-08-02 11:31:00,28.3,-13.77
2024-08-02 11:31:01,28.28,-13.77
2024-08-02 11:31:02,28.32,-13.77
2024-08-02 11:31:03,28.3,-13.74
2024-08-02 11:31:04,28.31,-13.71
2024-08-02 11:31:05,28.3,-13.71
2024-08-02 11:31:06,28.3,-13.74
2024-08-02 11:31:07,28.31,-13.77
2024-08-02 11:31:08,28.31,-13.83
2024-08-02 11:31:09,28.32,-13.77
2024-08-02 11:31:10,28.3,-13.8
2024-08-02 11:31:11,28.3,-13.67
2024-08-02 11:31:12,28.32,-13.71
2024-08-02 11:31:13,28.32,-13.64
2024-08-02 11:31:14,28.31,-13.73
2024-08-02 11:31:15,28.3,-13.71
2024-08-02 11:31:16,28.32,-13.66
2024-08-02 11:31:17,28.32,-13.77
2024-08-02 11:31:18,28.31,-13.66
2024-08-02 11:31:19,28.3,-13.74
2024-08-02 11:31:20,28.31,-13.71
2024-08-02 11:31:21,28.31,-13.74
2024-08-02 11:31:22,28.31,-13.77
2024-08-02 11:31:23,28.32,-13.71
2024-08-02 11:31:24,28.31,-13.71
2024-08-02 11:31:25,28.32,-13.6
2024-08-02 11:31:26,28.32,-13.71
2024-08-02 11:31:27,28.3,-13.67
2024-08-02 11:31:28,28.32,-13.6
2024-08-02 11:31:29,28.32,-13.63
2024-08-02 11:31:30,28.3,-13.6
2024-08-02 11:31:31,28.31,-13.57
2024-08-02 11:31:32,28.31,-13.54
2024-08-02 11:31:33,28.32,-13.54
2024-08-02 11:31:34,28.32,-13.48
2024-08-02 11:31:35,28.32,-13.45
2024-08-02 11:31:36,28.28,-13.36
2024-08-02 11:31:37,28.29,-13.33
2024-08-02 11:31:38,28.28,-13.36
2024-08-02 11:31:39,28.23,-13.39
2024-08-02 11:31:40,28.25,-13.42
2024-08-02 11:31:41,28.25,-13.45
2024-08-02 11:31:42,28.25,-13.48
2024-08-02 11:31:43,28.28,-13.45
2024-08-02 11:31:44,28.28,-13.51
2024-08-02 11:31:45,28.28,-13.48
2024-08-02 11:31:46,28.28,-13.51
2024-08-02 11:31:47,28.28,-13.45
2024-08-02 11:31:48,28.3,-13.42
2024-08-02 11:31:49,28.29,-13.48
2024-08-02 11:31:50,28.29,-13.51
2024-08-02 11:31:51,28.29,-13.48
2024-08-02 11:31:52,28.28,-13.42
2024-08-02 11:31:53,28.28,-13.42
2024-08-02 11:31:54,28.26,-13.42
2024-08-02 11:31:55,28.25,-13.45
2024-08-02 11:31:56,28.25,-13.42
2024-08-02 11:31:57,28.22,-13.42
2024-08-02 11:31:58,28.24,-13.42
2024-08-02 11:31:59,28.23,-13.42
2024-08-02 11:32:00,28.23,-13.36
2024-08-02 11:32:01,28.23,-13.39
2024-08-02 11:32:02,28.25,-13.39
2024-08-02 11:32:03,28.21,-13.39
2024-08-02 11:32:04,28.23,-13.39
2024-08-02 11:32:05,28.23,-13.42
2024-08-02 11:32:06,28.24,-13.54
2024-08-02 11:32:07,28.25,-13.57
2024-08-02 11:32:08,28.25,-13.6
2024-08-02 11:32:09,28.25,-13.54
2024-08-02 11:32:10,28.26,-13.54
2024-08-02 11:32:11,28.26,-13.54
2024-08-02 11:32:12,28.28,-13.57
2024-08-02 11:32:13,28.28,-13.54
2024-08-02 11:32:14,28.27,-13.54
2024-08-02 11:32:15,28.28,-13.54
2024-08-02 11:32:16,28.28,-13.6
2024-08-02 11:32:17,28.28,-13.6
2024-08-02 11:32:18,28.28,-13.63
2024-08-02 11:32:19,28.28,-13.63
2024-08-02 11:32:20,28.28,-13.63
2024-08-02 11:32:21,28.29,-13.51
2024-08-02 11:32:22,28.3,-13.51
2024-08-02 11:32:23,28.28,-13.48
2024-08-02 11:32:24,28.3,-13.57
2024-08-02 11:32:25,28.3,-13.57
