File name: jose_escano_n9inaki1_2024-05-21T10:20:34_2024-05-21T13:30:43

User: jose_escano

Sensor: n9inaki1[F2:D4:36:36:92:E8]

Dive: FORMENTOR
Dive date range: 2024-05-21 10:20:34 - 2024-05-21 13:30:43 (UTC NONE)

"Location: 39.95953,3.232077"

Summary: 
Duration: 3:10:09 h.
Temp: 16.45 c (min.) 22.14 c (max.) 
Depth: -34.23 m (max.)

date,temperature(c),depth(m)
2024-05-21 10:20:34,19.57,-2.43
2024-05-21 10:20:35,19.58,-2.51
2024-05-21 10:20:36,19.57,-2.57
2024-05-21 10:20:37,19.57,-2.51
2024-05-21 10:20:38,19.56,-2.57
2024-05-21 10:20:39,19.56,-2.66
2024-05-21 10:20:40,19.58,-2.66
2024-05-21 10:20:41,19.55,-2.72
2024-05-21 10:20:42,19.56,-2.78
2024-05-21 10:20:43,19.57,-2.91
2024-05-21 10:20:44,19.56,-3.06
2024-05-21 10:20:45,19.57,-3.12
2024-05-21 10:20:46,19.54,-2.97
2024-05-21 10:20:47,19.54,-3.0
2024-05-21 10:20:48,19.56,-3.03
2024-05-21 10:20:49,19.54,-3.12
2024-05-21 10:20:50,19.54,-3.32
2024-05-21 10:20:51,19.54,-3.57
2024-05-21 10:20:52,19.56,-3.63
2024-05-21 10:20:53,19.54,-3.63
2024-05-21 10:20:54,19.53,-3.45
2024-05-21 10:20:55,19.53,-3.42
2024-05-21 10:20:56,19.54,-3.48
2024-05-21 10:20:57,19.53,-3.48
2024-05-21 10:20:58,19.53,-3.42
2024-05-21 10:20:59,19.53,-3.39
2024-05-21 10:21:00,19.53,-3.48
2024-05-21 10:21:01,19.54,-3.66
2024-05-21 10:21:02,19.53,-3.84
2024-05-21 10:21:03,19.5,-4.02
2024-05-21 10:21:04,19.53,-4.02
2024-05-21 10:21:05,19.52,-3.97
2024-05-21 10:21:06,19.53,-3.91
2024-05-21 10:21:07,19.53,-3.91
2024-05-21 10:21:08,19.53,-3.94
2024-05-21 10:21:09,19.53,-4.02
2024-05-21 10:21:10,19.54,-4.17
2024-05-21 10:21:11,19.53,-4.35
2024-05-21 10:21:12,19.53,-4.54
2024-05-21 10:21:13,19.52,-4.6
2024-05-21 10:21:14,19.52,-4.66
2024-05-21 10:21:15,19.53,-4.77
2024-05-21 10:21:16,19.5,-4.86
2024-05-21 10:21:17,19.53,-4.89
2024-05-21 10:21:18,19.52,-4.96
2024-05-21 10:21:19,19.52,-4.99
2024-05-21 10:21:20,19.5,-5.02
2024-05-21 10:21:21,19.5,-5.02
2024-05-21 10:21:22,19.5,-4.99
2024-05-21 10:21:23,19.5,-4.99
2024-05-21 10:21:24,19.53,-5.11
2024-05-21 10:21:25,19.5,-5.17
2024-05-21 10:21:26,19.52,-5.23
2024-05-21 10:21:27,19.5,-5.17
2024-05-21 10:21:28,19.53,-5.23
2024-05-21 10:21:29,19.5,-5.29
2024-05-21 10:21:30,19.49,-5.38
2024-05-21 10:21:31,19.53,-5.41
2024-05-21 10:21:32,19.5,-5.53
2024-05-21 10:21:33,19.5,-5.56
2024-05-21 10:21:34,19.52,-5.5
2024-05-21 10:21:35,19.52,-5.53
2024-05-21 10:21:36,19.48,-5.62
2024-05-21 10:21:37,19.48,-5.71
2024-05-21 10:21:38,19.48,-5.77
2024-05-21 10:21:39,19.49,-5.83
2024-05-21 10:21:40,19.5,-5.83
2024-05-21 10:21:41,19.47,-5.99
2024-05-21 10:21:42,19.5,-6.11
2024-05-21 10:21:43,19.49,-6.17
2024-05-21 10:21:44,19.48,-6.17
2024-05-21 10:21:45,19.46,-6.19
2024-05-21 10:21:46,19.47,-6.19
2024-05-21 10:21:47,19.48,-6.25
2024-05-21 10:21:48,19.48,-6.34
2024-05-21 10:21:49,19.47,-6.34
2024-05-21 10:21:50,19.47,-6.43
2024-05-21 10:21:51,19.48,-6.47
2024-05-21 10:21:52,19.48,-6.43
2024-05-21 10:21:53,19.46,-6.59
2024-05-21 10:21:54,19.47,-6.65
2024-05-21 10:21:55,19.47,-6.71
2024-05-21 10:21:56,19.46,-6.83
2024-05-21 10:21:57,19.49,-6.86
2024-05-21 10:21:58,19.48,-6.89
2024-05-21 10:21:59,19.46,-6.88
2024-05-21 10:22:00,19.46,-6.94
2024-05-21 10:22:01,19.47,-6.94
2024-05-21 10:22:02,19.46,-6.88
2024-05-21 10:22:03,19.45,-6.91
2024-05-21 10:22:04,19.46,-6.88
2024-05-21 10:22:05,19.46,-6.98
2024-05-21 10:22:06,19.44,-6.91
2024-05-21 10:22:07,19.44,-6.88
2024-05-21 10:22:08,19.45,-6.88
2024-05-21 10:22:09,19.44,-6.83
2024-05-21 10:22:10,19.42,-6.85
2024-05-21 10:22:11,19.44,-6.83
2024-05-21 10:22:12,19.45,-6.77
2024-05-21 10:22:13,19.46,-6.71
2024-05-21 10:22:14,19.43,-6.65
2024-05-21 10:22:15,19.43,-6.62
2024-05-21 10:22:16,19.43,-6.56
2024-05-21 10:22:17,19.43,-6.43
2024-05-21 10:22:18,19.43,-6.43
2024-05-21 10:22:19,19.42,-6.43
2024-05-21 10:22:20,19.44,-6.37
2024-05-21 10:22:21,19.42,-6.28
2024-05-21 10:22:22,19.41,-6.37
2024-05-21 10:22:23,19.42,-6.31
2024-05-21 10:22:24,19.41,-6.31
2024-05-21 10:22:25,19.41,-6.31
2024-05-21 10:22:26,19.41,-6.22
2024-05-21 10:22:27,19.41,-6.25
2024-05-21 10:22:28,19.42,-6.25
2024-05-21 10:22:29,19.42,-6.19
2024-05-21 10:22:30,19.42,-6.1
2024-05-21 10:22:31,19.4,-5.98
2024-05-21 10:22:32,19.39,-5.92
2024-05-21 10:22:33,19.41,-5.86
2024-05-21 10:22:34,19.41,-5.77
2024-05-21 10:22:35,19.41,-5.77
2024-05-21 10:22:36,19.38,-5.65
2024-05-21 10:22:37,19.39,-5.53
2024-05-21 10:22:38,19.41,-5.47
2024-05-21 10:22:39,19.39,-5.37
2024-05-21 10:22:40,19.41,-5.25
2024-05-21 10:22:41,19.38,-5.19
2024-05-21 10:22:42,19.4,-5.22
2024-05-21 10:22:43,19.38,-5.19
2024-05-21 10:22:44,19.41,-5.19
2024-05-21 10:22:45,19.39,-5.17
2024-05-21 10:22:46,19.39,-5.25
2024-05-21 10:22:47,19.4,-5.28
2024-05-21 10:22:48,19.39,-5.25
2024-05-21 10:22:49,19.39,-5.25
2024-05-21 10:22:50,19.38,-5.31
2024-05-21 10:22:51,19.37,-5.28
2024-05-21 10:22:52,19.37,-5.37
2024-05-21 10:22:53,19.36,-5.31
2024-05-21 10:22:54,19.35,-5.05
2024-05-21 10:22:55,19.35,-5.08
2024-05-21 10:22:56,19.37,-5.13
2024-05-21 10:22:57,19.36,-5.11
2024-05-21 10:22:58,19.36,-5.16
2024-05-21 10:22:59,19.36,-5.25
2024-05-21 10:23:00,19.36,-5.25
2024-05-21 10:23:01,19.36,-5.34
2024-05-21 10:23:02,19.35,-5.34
2024-05-21 10:23:03,19.36,-5.34
2024-05-21 10:23:04,19.34,-5.34
2024-05-21 10:23:05,19.35,-5.28
2024-05-21 10:23:06,19.34,-5.16
