File name: marcjou_n31 csic_1970-01-01T07:17:40_1970-01-01T09:26:40

User: marcjou

Sensor: n31 csic[E1:CC:8C:F9:68:A7]

Dive: Port Salvi
Dive date range: 1970-01-01 07:17:40 - 1970-01-01 09:26:40 (UTC +02:00)

"Location: 41.771196,3.030884"

Summary: 
Duration: 2:09:00 h.
Temp: 18.67 c (min.) 23.82 c (max.) 
Depth: -26.72 m (max.)

date,temperature(c),depth(m)
1970-01-01 07:17:40,23.64,-1.56
1970-01-01 07:18:40,23.6,-7.27
1970-01-01 07:19:40,23.63,-7.94
1970-01-01 07:20:40,23.6,-8.5
1970-01-01 07:21:40,23.61,-8.71
1970-01-01 07:22:40,23.6,-10.55
1970-01-01 07:23:40,23.55,-11.84
1970-01-01 07:24:40,23.47,-13.56
1970-01-01 07:25:40,23.2,-15.09
1970-01-01 07:26:40,22.88,-15.64
1970-01-01 07:27:40,22.78,-17.04
1970-01-01 07:28:40,22.66,-16.22
1970-01-01 07:29:40,22.85,-18.92
1970-01-01 07:30:40,22.71,-17.42
1970-01-01 07:31:40,22.91,-21.6
1970-01-01 07:32:40,22.02,-23.43
1970-01-01 07:33:40,21.76,-25.32
1970-01-01 07:34:40,21.5,-25.45
1970-01-01 07:35:40,21.31,-26.2
1970-01-01 07:36:40,21.18,-26.02
1970-01-01 07:37:40,21.14,-26.28
1970-01-01 07:38:40,21.22,-26.31
1970-01-01 07:39:40,21.27,-26.31
1970-01-01 07:40:40,21.33,-23.42
1970-01-01 07:41:40,21.39,-21.12
1970-01-01 07:42:40,21.5,-20.63
1970-01-01 07:43:40,21.84,-20.55
1970-01-01 07:44:40,21.83,-20.96
1970-01-01 07:45:40,21.67,-22.71
1970-01-01 07:46:40,21.41,-25.29
1970-01-01 07:47:40,21.23,-26.72
1970-01-01 07:48:40,21.12,-24.52
1970-01-01 07:49:40,21.1,-25.72
1970-01-01 07:50:40,21.11,-26.44
1970-01-01 07:51:40,21.05,-26.39
1970-01-01 07:52:40,21.0,-23.3
1970-01-01 07:53:40,21.03,-21.03
1970-01-01 07:54:40,21.47,-22.52
1970-01-01 07:55:40,21.66,-22.62
1970-01-01 07:56:40,22.03,-22.44
1970-01-01 07:57:40,22.1,-22.04
1970-01-01 07:58:40,22.22,-19.45
1970-01-01 07:59:40,22.57,-16.65
1970-01-01 08:00:40,22.98,-14.61
1970-01-01 08:01:40,23.17,-14.7
1970-01-01 08:02:40,23.29,-13.67
1970-01-01 08:03:40,23.41,-14.47
1970-01-01 08:04:40,23.52,-14.06
1970-01-01 08:05:40,23.53,-14.27
1970-01-01 08:06:40,23.53,-13.09
1970-01-01 08:07:40,23.53,-11.07
1970-01-01 08:08:40,23.57,-8.35
1970-01-01 08:09:40,23.61,-6.72
1970-01-01 08:10:40,23.6,-6.57
1970-01-01 08:11:40,23.59,-6.74
1970-01-01 08:12:40,23.6,-5.63
1970-01-01 08:13:40,23.67,-5.28
1970-01-01 08:14:40,23.76,-7.63
1970-01-01 08:15:40,23.77,-6.69
1970-01-01 08:16:40,23.78,-6.51
1970-01-01 08:17:40,23.82,-6.6
1970-01-01 08:18:40,23.82,-6.89
1970-01-01 08:19:40,23.82,-7.33
1970-01-01 08:20:40,23.78,-6.77
1970-01-01 08:21:40,23.76,-6.98
1970-01-01 08:22:40,23.75,-6.54
1970-01-01 08:23:40,23.76,-1.18
1970-01-01 08:24:40,23.77,-5.25
1970-01-01 08:25:40,23.75,-5.89
1970-01-01 08:26:40,23.7,-6.49
1970-01-01 08:27:40,23.72,-0.68
1970-01-01 08:28:40,23.75,-0.62
1970-01-01 08:29:40,23.64,-0.28
1970-01-01 08:30:40,23.58,-0.21
1970-01-01 08:31:40,23.53,-0.24
1970-01-01 08:32:40,23.44,-0.21
1970-01-01 08:33:40,23.3,-0.29
1970-01-01 08:34:40,23.12,-0.25
1970-01-01 08:35:40,22.96,-0.25
1970-01-01 08:36:40,22.8,-0.3
1970-01-01 08:37:40,22.61,-0.23
1970-01-01 08:38:40,22.45,-0.3
1970-01-01 08:39:40,22.24,-0.21
1970-01-01 08:40:40,22.06,-0.22
1970-01-01 08:41:40,21.9,-0.19
1970-01-01 08:42:40,21.75,-0.17
1970-01-01 08:43:40,21.6,-0.2
1970-01-01 08:44:40,21.42,-0.17
1970-01-01 08:45:40,21.27,-0.23
1970-01-01 08:46:40,21.14,-0.27
1970-01-01 08:47:40,21.0,-0.24
1970-01-01 08:48:40,20.87,-0.24
1970-01-01 08:49:40,20.74,-0.24
1970-01-01 08:50:40,20.6,-0.28
1970-01-01 08:51:40,20.5,-0.25
1970-01-01 08:52:40,20.37,-0.22
1970-01-01 08:53:40,20.28,-0.22
1970-01-01 08:54:40,20.16,-0.25
1970-01-01 08:55:40,20.07,-0.25
1970-01-01 08:56:40,19.96,-0.27
1970-01-01 08:57:40,19.89,-0.3
1970-01-01 08:58:40,19.81,-0.3
1970-01-01 08:59:40,19.73,-0.27
1970-01-01 09:00:40,19.64,-0.27
1970-01-01 09:01:40,19.58,-0.27
1970-01-01 09:02:40,19.5,-0.27
1970-01-01 09:03:40,19.44,-0.3
1970-01-01 09:04:40,19.4,-0.27
1970-01-01 09:05:40,19.32,-0.28
1970-01-01 09:06:40,19.29,-0.28
1970-01-01 09:07:40,19.22,-0.28
1970-01-01 09:08:40,19.16,-0.24
1970-01-01 09:09:40,19.15,-0.28
1970-01-01 09:10:40,19.09,-0.24
1970-01-01 09:11:40,19.07,-0.24
1970-01-01 09:12:40,19.02,-0.24
1970-01-01 09:13:40,18.98,-0.24
1970-01-01 09:14:40,18.95,-0.24
1970-01-01 09:15:40,18.92,-0.28
