File name: mvilanova_BNatura15_1970-01-01T02:43:30_1970-01-02T03:43:50

User: mvilanova

Sensor: BNatura15[D9:C4:88:EA:81:E1]

Dive: Doble inmersión. Tossa - Cap de Creus
Dive date range: 1970-01-01 02:43:30 - 1970-01-02 03:43:50 (UTC +02:00)

"Location: 41.598012,3.065509"

Summary: 
"Duration: 1 day, 1:00:20 h."
Temp: 16.71 c (min.) 26.46 c (max.) 
Depth: -31.68 m (max.)

date,temperature(c),depth(m)
1970-01-01 02:43:30,24.61,-1.24
1970-01-01 02:44:30,24.64,-2.9
1970-01-01 02:45:30,24.67,-3.64
1970-01-01 02:46:30,24.67,-4.16
1970-01-01 02:47:30,24.71,-4.89
1970-01-01 02:48:30,24.72,-4.16
1970-01-01 02:49:30,24.75,-5.32
1970-01-01 02:50:30,24.74,-4.93
1970-01-01 02:51:30,24.78,-5.17
1970-01-01 02:52:30,24.78,-4.04
1970-01-01 02:53:30,24.8,-5.26
1970-01-01 02:54:30,24.88,-6.0
1970-01-01 02:55:30,24.89,-7.11
1970-01-01 02:56:30,24.9,-9.66
1970-01-01 02:57:30,24.89,-10.79
1970-01-01 02:58:30,24.89,-12.94
1970-01-01 02:59:30,24.89,-14.47
1970-01-01 03:00:30,24.87,-13.95
1970-01-01 03:01:30,24.87,-13.15
1970-01-01 03:02:30,24.89,-11.95
1970-01-01 03:03:30,24.9,-10.3
1970-01-01 03:04:30,24.9,-14.82
1970-01-01 03:05:30,24.9,-14.5
1970-01-01 03:06:30,24.91,-16.65
1970-01-01 03:07:30,24.89,-19.05
1970-01-01 03:08:30,24.85,-21.78
1970-01-01 03:09:30,24.78,-21.35
1970-01-01 03:10:30,24.75,-19.32
1970-01-01 03:11:30,24.68,-20.62
1970-01-01 03:12:30,24.66,-19.87
1970-01-01 03:13:30,24.64,-18.27
1970-01-01 03:14:30,24.66,-16.32
1970-01-01 03:15:30,24.73,-13.67
1970-01-01 03:16:30,24.78,-14.07
1970-01-01 03:17:30,24.82,-13.77
1970-01-01 03:18:30,24.84,-14.19
1970-01-01 03:19:30,24.87,-13.67
1970-01-01 03:20:30,24.91,-12.85
1970-01-01 03:21:30,24.92,-12.7
1970-01-01 03:22:30,24.91,-12.17
1970-01-01 03:23:30,24.9,-10.73
1970-01-01 03:24:30,24.9,-10.3
1970-01-01 03:25:30,24.9,-12.57
1970-01-01 03:26:30,24.92,-12.3
1970-01-01 03:27:30,24.89,-11.86
1970-01-01 03:28:30,24.92,-11.92
1970-01-01 03:29:30,24.92,-10.61
1970-01-01 03:30:30,24.92,-10.48
1970-01-01 03:31:30,24.92,-8.39
1970-01-01 03:32:30,24.95,-5.72
1970-01-01 03:33:30,24.94,-5.32
1970-01-01 03:34:30,24.96,-5.81
1970-01-01 03:35:30,25.01,-5.87
1970-01-01 03:36:30,25.02,-6.09
1970-01-01 03:37:30,25.03,-5.41
1970-01-01 03:38:30,25.02,-5.72
1970-01-01 03:39:30,25.03,-4.86
1970-01-01 03:40:30,25.02,-3.75
1970-01-01 03:41:30,24.97,-2.01
1970-01-01 03:42:30,24.91,-2.04
1970-01-01 03:43:30,24.9,-0.53
1970-01-01 03:44:30,24.89,-0.19
1970-01-01 03:45:30,24.78,-0.22
1970-01-01 03:46:30,24.64,-0.16
1970-01-01 03:47:30,24.46,-0.22
1970-01-01 03:48:30,24.31,-0.19
1970-01-01 03:49:30,24.17,-0.2
1970-01-01 03:50:30,24.13,-0.2
1970-01-01 03:51:30,24.12,-0.23
1970-01-01 03:52:30,24.07,-0.2
1970-01-01 03:53:30,24.03,-0.17
1970-01-01 03:54:30,23.96,-0.11
1970-01-01 03:55:30,23.89,-0.17
1970-01-01 03:56:30,23.85,-0.2
1970-01-01 03:57:30,23.82,-0.17
1970-01-01 03:58:30,23.8,-0.2
1970-01-01 03:59:30,23.8,-0.2
1970-01-01 04:00:30,23.76,-0.21
1970-01-01 04:01:30,23.46,-0.18
1970-01-01 04:02:30,23.46,-0.21
1970-01-01 04:03:30,23.52,-0.18
1970-01-01 04:04:30,23.51,-0.18
1970-01-01 04:05:30,23.48,-0.21
1970-01-01 04:06:30,23.37,-0.21
1970-01-01 04:07:30,23.36,-0.15
1970-01-01 04:08:30,23.4,-0.18
1970-01-01 04:09:30,23.39,-0.21
1970-01-01 04:10:30,23.32,-0.18
1970-01-01 04:11:30,23.32,-0.18
1970-01-01 04:12:30,22.65,-0.22
1970-01-01 04:13:30,22.3,-0.22
1970-01-01 04:14:30,22.4,-0.19
1970-01-01 04:15:30,22.68,-0.2
1970-01-01 04:16:30,22.83,-0.2
1970-01-01 04:17:30,23.04,-0.17
1970-01-01 04:18:30,23.03,-0.19
1970-01-01 04:19:30,23.11,-0.19
1970-01-01 04:20:30,23.24,-0.19
1970-01-01 04:21:30,23.21,-0.19
1970-01-01 04:22:30,23.07,-0.22
1970-01-01 04:23:30,22.92,-0.19
1970-01-01 04:24:30,23.27,-0.19
1970-01-01 04:25:30,23.02,-0.19
1970-01-01 04:26:30,22.89,-0.19
1970-01-01 04:27:30,22.91,-0.16
1970-01-01 04:28:30,22.98,-0.16
1970-01-01 04:29:30,23.14,-0.19
1970-01-01 04:30:30,23.08,-0.19
1970-01-01 04:31:30,23.48,-0.25
1970-01-01 04:32:30,23.79,-0.19
1970-01-01 04:33:30,23.77,-0.21
1970-01-01 04:34:30,24.14,-0.18
1970-01-01 04:35:30,25.24,-0.17
1970-01-01 04:36:30,25.57,-0.2
1970-01-01 04:37:30,25.79,-0.19
1970-01-01 04:38:30,26.0,-0.19
1970-01-01 04:39:30,26.16,-0.18
