File name: mvilanova_BNatura15_2024-07-12T13:05:29_2024-07-31T23:43:12

User: mvilanova

Sensor: BNatura15[D9:C4:88:EA:81:E1]

Dive: 2 inmersiones. St Feliu / Sa Tuna
Dive date range: 2024-07-12 13:05:29 - 2024-07-31 23:43:12 (UTC +02:00)

"Location: 40.416775,-3.70379"

Summary: 
"Duration: 19 days, 10:37:43 h."
Temp: 16.82 c (min.) 25.39 c (max.) 
Depth: -23.81 m (max.)

date,temperature(c),depth(m)
2024-07-12 13:05:29,24.33,-1.52
2024-07-12 13:05:30,24.32,-1.67
2024-07-12 13:05:31,24.32,-1.76
2024-07-12 13:05:32,24.33,-1.92
2024-07-12 13:05:33,24.34,-2.04
2024-07-12 13:05:34,24.31,-2.16
2024-07-12 13:05:35,24.31,-2.35
2024-07-12 13:05:36,24.34,-2.44
2024-07-12 13:05:37,24.34,-2.56
2024-07-12 13:05:38,24.33,-2.74
2024-07-12 13:05:39,24.35,-3.18
2024-07-12 13:05:40,24.33,-3.4
2024-07-12 13:05:41,24.31,-3.58
2024-07-12 13:05:42,24.34,-3.73
2024-07-12 13:05:43,24.33,-3.92
2024-07-12 13:05:44,24.32,-4.13
2024-07-12 13:05:45,24.33,-4.28
2024-07-12 13:05:46,24.35,-4.31
2024-07-12 13:05:47,24.34,-4.37
2024-07-12 13:05:48,24.33,-4.41
2024-07-12 13:05:49,24.32,-4.53
2024-07-12 13:05:50,24.33,-4.65
2024-07-12 13:05:51,24.33,-4.83
2024-07-12 13:05:52,24.35,-4.96
2024-07-12 13:05:53,24.34,-4.99
2024-07-12 13:05:54,24.33,-5.14
2024-07-12 13:05:55,24.31,-5.17
2024-07-12 13:05:56,24.33,-5.38
2024-07-12 13:05:57,24.32,-5.38
2024-07-12 13:05:58,24.32,-5.41
2024-07-12 13:05:59,24.33,-5.51
2024-07-12 13:06:00,24.33,-5.54
2024-07-12 13:06:01,24.32,-5.78
2024-07-12 13:06:02,24.31,-5.97
2024-07-12 13:06:03,24.31,-6.15
2024-07-12 13:06:04,24.34,-6.27
2024-07-12 13:06:05,24.32,-6.4
2024-07-12 13:06:06,24.33,-6.43
2024-07-12 13:06:07,24.33,-6.59
2024-07-12 13:06:08,24.31,-6.68
2024-07-12 13:06:09,24.34,-6.77
2024-07-12 13:06:10,24.33,-6.77
2024-07-12 13:06:11,24.34,-6.8
2024-07-12 13:06:12,24.33,-6.86
2024-07-12 13:06:13,24.33,-6.77
2024-07-12 13:06:14,24.34,-6.86
2024-07-12 13:06:15,24.34,-6.95
2024-07-12 13:06:16,24.33,-7.14
2024-07-12 13:06:17,24.33,-7.2
2024-07-12 13:06:18,24.34,-7.35
2024-07-12 13:06:19,24.34,-7.47
2024-07-12 13:06:20,24.32,-7.57
2024-07-12 13:06:21,24.31,-7.63
2024-07-12 13:06:22,24.34,-7.78
2024-07-12 13:06:23,24.35,-7.87
2024-07-12 13:06:24,24.34,-7.93
2024-07-12 13:06:25,24.32,-7.99
2024-07-12 13:06:26,24.33,-8.15
2024-07-12 13:06:27,24.32,-8.36
2024-07-12 13:06:28,24.31,-8.58
