File name: mvilanova_BNatura15_2024-09-04T17:01:50_2024-09-04T19:14:40

User: mvilanova

Sensor: BNatura15[D9:C4:88:EA:81:E1]

Dive: Eden Roc
Dive date range: 2024-09-04 17:01:50 - 2024-09-04 19:14:40 (UTC +02:00)

"Location: 41.771132,3.030955"

Summary: 
Duration: 2:12:50 h.
Temp: 19.72 c (min.) 25.78 c (max.) 
Depth: -30.97 m (max.)

date,temperature(c),depth(m)
2024-09-04 17:01:50,25.46,-1.73
2024-09-04 17:01:51,25.46,-1.7
2024-09-04 17:01:52,25.47,-1.83
2024-09-04 17:01:53,25.46,-1.76
2024-09-04 17:01:54,25.46,-1.79
2024-09-04 17:01:55,25.47,-1.64
2024-09-04 17:01:56,25.46,-1.61
2024-09-04 17:01:57,25.46,-1.55
2024-09-04 17:01:58,25.45,-1.55
2024-09-04 17:01:59,25.46,-1.52
2024-09-04 17:02:00,25.46,-1.43
2024-09-04 17:02:01,25.47,-1.31
2024-09-04 17:02:02,25.46,-1.21
2024-09-04 17:02:03,25.47,-1.15
2024-09-04 17:02:04,25.47,-1.09
2024-09-04 17:02:05,25.46,-1.09
2024-09-04 17:02:06,25.48,-1.09
2024-09-04 17:02:07,25.46,-1.09
2024-09-04 17:02:08,25.47,-1.15
2024-09-04 17:02:09,25.47,-1.15
2024-09-04 17:02:10,25.45,-1.21
2024-09-04 17:02:11,25.47,-1.27
2024-09-04 17:02:12,25.46,-1.31
2024-09-04 17:02:13,25.49,-1.27
2024-09-04 17:02:14,25.46,-1.37
2024-09-04 17:02:15,25.48,-1.43
2024-09-04 17:02:16,25.49,-1.64
2024-09-04 17:02:17,25.46,-1.95
2024-09-04 17:02:18,25.48,-1.98
2024-09-04 17:02:19,25.46,-2.1
2024-09-04 17:02:20,25.48,-2.13
2024-09-04 17:02:21,25.5,-2.19
2024-09-04 17:02:22,25.46,-2.25
2024-09-04 17:02:23,25.47,-2.38
2024-09-04 17:02:24,25.45,-2.62
2024-09-04 17:02:25,25.48,-2.8
2024-09-04 17:02:26,25.46,-2.99
2024-09-04 17:02:27,25.48,-3.02
2024-09-04 17:02:28,25.49,-3.2
2024-09-04 17:02:29,25.49,-3.29
2024-09-04 17:02:30,25.46,-3.39
2024-09-04 17:02:31,25.49,-3.42
2024-09-04 17:02:32,25.47,-3.51
2024-09-04 17:02:33,25.48,-3.66
2024-09-04 17:02:34,25.47,-3.75
2024-09-04 17:02:35,25.49,-3.69
2024-09-04 17:02:36,25.48,-3.69
2024-09-04 17:02:37,25.48,-3.78
2024-09-04 17:02:38,25.49,-3.91
2024-09-04 17:02:39,25.48,-3.81
2024-09-04 17:02:40,25.47,-3.81
2024-09-04 17:02:41,25.46,-3.88
2024-09-04 17:02:42,25.48,-3.94
2024-09-04 17:02:43,25.49,-4.03
2024-09-04 17:02:44,25.49,-4.0
2024-09-04 17:02:45,25.5,-4.0
2024-09-04 17:02:46,25.48,-4.0
2024-09-04 17:02:47,25.49,-4.06
2024-09-04 17:02:48,25.5,-4.0
2024-09-04 17:02:49,25.47,-3.97
2024-09-04 17:02:50,25.49,-4.03
2024-09-04 17:02:51,25.48,-4.21
2024-09-04 17:02:52,25.5,-4.4
2024-09-04 17:02:53,25.47,-4.56
2024-09-04 17:02:54,25.48,-4.68
2024-09-04 17:02:55,25.47,-4.77
2024-09-04 17:02:56,25.49,-4.83
2024-09-04 17:02:57,25.46,-4.96
2024-09-04 17:02:58,25.48,-4.96
2024-09-04 17:02:59,25.49,-5.17
2024-09-04 17:03:00,25.47,-5.29
2024-09-04 17:03:01,25.5,-5.41
2024-09-04 17:03:02,25.46,-5.45
2024-09-04 17:03:03,25.5,-5.26
2024-09-04 17:03:04,25.49,-5.23
2024-09-04 17:03:05,25.5,-5.23
2024-09-04 17:03:06,25.49,-5.35
2024-09-04 17:03:07,25.47,-5.48
2024-09-04 17:03:08,25.47,-5.57
2024-09-04 17:03:09,25.48,-5.69
2024-09-04 17:03:10,25.47,-5.69
2024-09-04 17:03:11,25.46,-5.6
2024-09-04 17:03:12,25.48,-5.6
2024-09-04 17:03:13,25.49,-5.57
2024-09-04 17:03:14,25.47,-5.51
2024-09-04 17:03:15,25.49,-5.57
2024-09-04 17:03:16,25.48,-5.6
2024-09-04 17:03:17,25.48,-5.57
2024-09-04 17:03:18,25.49,-5.6
