File name: mvilanova_BNatura16_1970-01-09T03:35:50_1970-01-09T05:36:50

User: mvilanova

Sensor: BNatura16[D4:86:39:66:6D:9D]

Dive: Eden Roc
Dive date range: 1970-01-09 03:35:50 - 1970-01-09 05:36:50 (UTC +02:00)

"Location: 41.771246,3.030829"

Summary: 
Duration: 2:01:00 h.
Temp: 19.52 c (min.) 25.86 c (max.) 
Depth: -33.55 m (max.)

date,temperature(c),depth(m)
1970-01-09 03:35:50,25.56,-2.75
1970-01-09 03:36:50,25.54,-6.19
1970-01-09 03:37:50,25.51,-7.32
1970-01-09 03:38:50,25.42,-10.06
1970-01-09 03:39:50,24.38,-11.11
1970-01-09 03:40:50,24.07,-11.31
1970-01-09 03:41:50,23.78,-12.6
1970-01-09 03:42:50,23.52,-15.97
1970-01-09 03:43:50,23.4,-16.42
1970-01-09 03:44:50,23.36,-19.09
1970-01-09 03:45:50,22.74,-20.29
1970-01-09 03:46:50,22.18,-21.53
1970-01-09 03:47:50,22.0,-21.16
1970-01-09 03:48:50,22.24,-17.56
1970-01-09 03:49:50,22.5,-16.55
1970-01-09 03:50:50,22.82,-14.17
1970-01-09 03:51:50,22.93,-15.48
1970-01-09 03:52:50,22.89,-17.19
1970-01-09 03:53:50,22.98,-16.15
1970-01-09 03:54:50,22.84,-19.06
1970-01-09 03:55:50,22.1,-24.62
1970-01-09 03:56:50,21.15,-27.94
1970-01-09 03:57:50,20.53,-33.55
1970-01-09 03:58:50,19.52,-29.78
1970-01-09 03:59:50,19.95,-31.15
1970-01-09 04:00:50,19.78,-28.78
1970-01-09 04:01:50,19.92,-30.9
1970-01-09 04:02:50,20.07,-26.69
1970-01-09 04:03:50,20.5,-25.77
1970-01-09 04:04:50,20.57,-27.27
1970-01-09 04:05:50,21.22,-23.88
1970-01-09 04:06:50,21.71,-21.46
1970-01-09 04:07:50,21.89,-20.06
1970-01-09 04:08:50,22.28,-17.45
1970-01-09 04:09:50,22.83,-14.11
1970-01-09 04:10:50,22.96,-16.09
1970-01-09 04:11:50,23.0,-17.8
1970-01-09 04:12:50,23.01,-15.46
1970-01-09 04:13:50,23.08,-16.68
1970-01-09 04:14:50,22.61,-16.59
1970-01-09 04:15:50,23.15,-13.52
1970-01-09 04:16:50,23.27,-14.78
1970-01-09 04:17:50,23.28,-14.26
1970-01-09 04:18:50,23.28,-16.22
1970-01-09 04:19:50,23.21,-16.6
1970-01-09 04:20:50,23.21,-15.5
1970-01-09 04:21:50,23.38,-13.42
1970-01-09 04:22:50,23.29,-14.69
1970-01-09 04:23:50,23.18,-13.42
1970-01-09 04:24:50,23.07,-14.73
1970-01-09 04:25:50,22.96,-13.21
1970-01-09 04:26:50,23.74,-9.21
1970-01-09 04:27:50,23.98,-7.68
1970-01-09 04:28:50,24.64,-6.55
1970-01-09 04:29:50,25.29,-5.95
1970-01-09 04:30:50,25.42,-5.05
1970-01-09 04:31:50,25.56,-4.81
1970-01-09 04:32:50,25.64,-4.64
1970-01-09 04:33:50,25.72,-5.89
1970-01-09 04:34:50,25.77,-3.65
1970-01-09 04:35:50,25.79,-1.41
1970-01-09 04:36:50,25.78,-1.59
1970-01-09 04:37:50,25.75,-0.65
1970-01-09 04:38:50,25.78,-0.65
1970-01-09 04:39:50,25.71,-0.59
1970-01-09 04:40:50,25.74,-0.54
1970-01-09 04:41:50,25.79,-0.8
1970-01-09 04:42:50,25.82,-0.68
1970-01-09 04:43:50,25.84,-0.68
1970-01-09 04:44:50,25.83,-0.59
1970-01-09 04:45:50,25.86,-0.51
1970-01-09 04:46:50,25.82,-0.71
1970-01-09 04:47:50,25.77,-0.37
1970-01-09 04:48:50,25.74,-0.39
1970-01-09 04:49:50,25.7,-0.39
1970-01-09 04:50:50,25.6,-0.39
1970-01-09 04:51:50,25.5,-0.34
1970-01-09 04:52:50,25.41,-0.4
1970-01-09 04:53:50,25.27,-0.4
1970-01-09 04:54:50,25.12,-0.37
1970-01-09 04:55:50,25.0,-0.37
1970-01-09 04:56:50,24.91,-0.37
1970-01-09 04:57:50,24.82,-0.34
1970-01-09 04:58:50,23.42,-0.34
1970-01-09 04:59:50,23.21,-0.34
1970-01-09 05:00:50,23.47,-0.37
1970-01-09 05:01:50,23.57,-0.37
1970-01-09 05:02:50,23.56,-0.35
1970-01-09 05:03:50,23.5,-0.37
1970-01-09 05:04:50,23.57,-0.35
1970-01-09 05:05:50,23.45,-0.37
1970-01-09 05:06:50,23.55,-0.29
1970-01-09 05:07:50,23.73,-0.37
1970-01-09 05:08:50,23.81,-0.34
1970-01-09 05:09:50,23.73,-0.37
1970-01-09 05:10:50,24.03,-0.34
1970-01-09 05:11:50,24.57,-0.37
1970-01-09 05:12:50,24.71,-0.34
1970-01-09 05:13:50,24.47,-0.34
1970-01-09 05:14:50,24.57,-0.34
1970-01-09 05:15:50,24.68,-0.37
1970-01-09 05:16:50,24.7,-0.37
1970-01-09 05:17:50,24.72,-0.4
1970-01-09 05:18:50,24.81,-0.37
1970-01-09 05:19:50,24.72,-0.37
1970-01-09 05:20:50,24.79,-0.31
1970-01-09 05:21:50,24.87,-0.28
1970-01-09 05:22:50,24.8,-0.34
1970-01-09 05:23:50,24.75,-0.31
1970-01-09 05:24:50,24.75,-0.34
1970-01-09 05:25:50,24.79,-0.37
1970-01-09 05:26:50,24.71,-0.37
1970-01-09 05:27:50,24.67,-0.34
1970-01-09 05:28:50,24.6,-0.34
1970-01-09 05:29:50,24.53,-0.25
1970-01-09 05:30:50,24.51,-0.29
1970-01-09 05:31:50,24.48,-0.34
1970-01-09 05:32:50,24.57,-0.37
1970-01-09 05:33:50,24.56,-0.34
1970-01-09 05:34:50,24.57,-0.31
1970-01-09 05:35:50,24.68,-0.31
