File name: mvilanova_BNatura16_2024-08-21T21:15:41_2024-08-21T23:32:40

User: mvilanova

Sensor: BNatura16[D4:86:39:66:6D:9D]

Dive: Sa Tuna 21 08 24
Dive date range: 2024-08-21 21:15:41 - 2024-08-21 23:32:40 (UTC +02:00)

"Location: 41.96111,3.23185"

Summary: 
Duration: 2:16:59 h.
Temp: 22.35 c (min.) 24.44 c (max.) 
Depth: -23.51 m (max.)

date,temperature(c),depth(m)
2024-08-21 21:15:41,24.42,-1.33
2024-08-21 21:15:42,24.42,-1.42
2024-08-21 21:15:43,24.44,-1.59
2024-08-21 21:15:44,24.43,-1.67
2024-08-21 21:15:45,24.43,-1.85
2024-08-21 21:15:46,24.4,-1.97
2024-08-21 21:15:47,24.42,-1.97
2024-08-21 21:15:48,24.42,-2.0
2024-08-21 21:15:49,24.38,-2.08
2024-08-21 21:15:50,24.39,-2.03
2024-08-21 21:15:51,24.41,-2.0
2024-08-21 21:15:52,24.41,-2.17
2024-08-21 21:15:53,24.39,-2.31
2024-08-21 21:15:54,24.39,-2.43
2024-08-21 21:15:55,24.39,-2.61
2024-08-21 21:15:56,24.4,-2.75
2024-08-21 21:15:57,24.41,-2.81
2024-08-21 21:15:58,24.43,-2.93
2024-08-21 21:15:59,24.39,-3.02
2024-08-21 21:16:00,24.4,-3.13
2024-08-21 21:16:01,24.39,-3.22
2024-08-21 21:16:02,24.38,-3.3
2024-08-21 21:16:03,24.38,-3.4
2024-08-21 21:16:04,24.39,-3.48
2024-08-21 21:16:05,24.38,-3.48
2024-08-21 21:16:06,24.36,-3.51
2024-08-21 21:16:07,24.38,-3.57
2024-08-21 21:16:08,24.38,-3.6
2024-08-21 21:16:09,24.37,-3.68
2024-08-21 21:16:10,24.37,-3.74
2024-08-21 21:16:11,24.36,-3.8
2024-08-21 21:16:12,24.39,-3.82
2024-08-21 21:16:13,24.36,-3.82
2024-08-21 21:16:14,24.36,-3.85
2024-08-21 21:16:15,24.36,-3.95
2024-08-21 21:16:16,24.36,-4.06
2024-08-21 21:16:17,24.36,-4.06
2024-08-21 21:16:18,24.36,-4.01
2024-08-21 21:16:19,24.35,-3.98
2024-08-21 21:16:20,24.35,-3.98
