File name: mvilanova_n17csic_2024-07-12T13:05:35_2024-07-31T23:43:28

User: mvilanova

Sensor: n17csic[C7:96:6D:D3:12:F6]

Dive: 2 Inmersiones. Sant Feliu + Sa Tuna
Dive date range: 2024-07-12 13:05:35 - 2024-07-31 23:43:28 (UTC +02:00)

"Location: 41.893317,3.232886"

Summary: 
"Duration: 19 days, 10:37:53 h."
Temp: 16.34 c (min.) 26.26 c (max.) 
Depth: -23.89 m (max.)

date,temperature(c),depth(m)
2024-07-12 13:05:35,24.35,-2.44
2024-07-12 13:05:36,24.35,-2.56
2024-07-12 13:05:37,24.34,-2.68
2024-07-12 13:05:38,24.35,-2.71
2024-07-12 13:05:39,24.35,-3.11
2024-07-12 13:05:40,24.35,-3.38
2024-07-12 13:05:41,24.36,-3.62
2024-07-12 13:05:42,24.35,-3.8
2024-07-12 13:05:43,24.35,-3.96
2024-07-12 13:05:44,24.35,-4.11
2024-07-12 13:05:45,24.35,-4.35
2024-07-12 13:05:46,24.34,-4.48
2024-07-12 13:05:47,24.38,-4.51
2024-07-12 13:05:48,24.35,-4.54
2024-07-12 13:05:49,24.35,-4.57
2024-07-12 13:05:50,24.36,-4.69
2024-07-12 13:05:51,24.35,-4.87
2024-07-12 13:05:52,24.35,-5.06
2024-07-12 13:05:53,24.37,-5.12
2024-07-12 13:05:54,24.36,-5.18
2024-07-12 13:05:55,24.36,-5.24
2024-07-12 13:05:56,24.36,-5.33
2024-07-12 13:05:57,24.35,-5.52
2024-07-12 13:05:58,24.35,-5.55
2024-07-12 13:05:59,24.36,-5.61
2024-07-12 13:06:00,24.37,-5.7
2024-07-12 13:06:01,24.34,-5.76
2024-07-12 13:06:02,24.36,-5.98
2024-07-12 13:06:03,24.36,-6.19
2024-07-12 13:06:04,24.35,-6.4
2024-07-12 13:06:05,24.35,-6.5
2024-07-12 13:06:06,24.34,-6.56
2024-07-12 13:06:07,24.32,-6.62
2024-07-12 13:06:08,24.35,-6.77
2024-07-12 13:06:09,24.35,-6.83
