File name: mvilanova_n17csic_2024-08-05T16:07:37_2024-08-05T18:24:07

User: mvilanova

Sensor: n17csic[C7:96:6D:D3:12:F6]

Dive: Cala Margarida 05 08 24
Dive date range: 2024-08-05 16:07:37 - 2024-08-05 18:24:07 (UTC +02:00)

"Location: 41.848353,3.139959"

Summary: 
Duration: 2:16:30 h.
Temp: 22.44 c (min.) 33.6 c (max.) 
Depth: -28.59 m (max.)

date,temperature(c),depth(m)
2024-08-05 16:07:37,25.87,-1.52
2024-08-05 16:07:38,25.83,-1.83
2024-08-05 16:07:39,25.77,-1.98
2024-08-05 16:07:40,25.75,-2.1
2024-08-05 16:07:41,25.71,-2.38
2024-08-05 16:07:42,25.66,-2.51
2024-08-05 16:07:43,25.63,-2.66
2024-08-05 16:07:44,25.57,-2.81
2024-08-05 16:07:45,25.5,-2.81
2024-08-05 16:07:46,25.47,-2.85
2024-08-05 16:07:47,25.46,-2.88
2024-08-05 16:07:48,25.39,-2.81
2024-08-05 16:07:49,25.28,-2.88
2024-08-05 16:07:50,25.24,-2.97
2024-08-05 16:07:51,25.19,-2.81
2024-08-05 16:07:52,25.17,-2.94
2024-08-05 16:07:53,25.16,-2.85
2024-08-05 16:07:54,25.15,-2.85
2024-08-05 16:07:55,25.14,-2.88
2024-08-05 16:07:56,25.13,-2.81
2024-08-05 16:07:57,25.1,-2.75
2024-08-05 16:07:58,25.08,-2.72
2024-08-05 16:07:59,25.06,-2.75
2024-08-05 16:08:00,25.03,-2.66
2024-08-05 16:08:01,25.03,-2.63
2024-08-05 16:08:02,25.01,-2.6
2024-08-05 16:08:03,25.0,-2.66
2024-08-05 16:08:04,25.05,-2.6
2024-08-05 16:08:05,25.1,-2.63
2024-08-05 16:08:06,25.12,-2.6
2024-08-05 16:08:07,25.19,-2.57
2024-08-05 16:08:08,25.2,-2.63
2024-08-05 16:08:09,25.26,-2.69
2024-08-05 16:08:10,25.27,-2.7
2024-08-05 16:08:11,25.3,-2.66
2024-08-05 16:08:12,25.3,-2.6
