File name: mvilanova_n17csic_2024-08-07T07:52:45_2024-08-14T23:48:39

User: mvilanova

Sensor: n17csic[C7:96:6D:D3:12:F6]

Dive: Prueba + Eden Roc 14 08 24
Dive date range: 2024-08-07 07:52:45 - 2024-08-14 23:48:39 (UTC +02:00)

"Location: 40.416775,-3.70379"

Summary: 
"Duration: 7 days, 15:55:54 h."
Temp: 21.89 c (min.) 30.4 c (max.) 
Depth: -26.82 m (max.)

date,temperature(c),depth(m)
2024-08-07 07:52:45,22.91,-0.28
2024-08-07 07:52:46,22.89,-0.24
2024-08-07 07:52:47,22.91,-0.21
2024-08-07 07:52:48,22.89,-0.31
2024-08-07 07:52:49,22.89,-0.28
2024-08-07 07:52:50,22.89,-0.24
2024-08-07 07:52:51,22.92,-0.28
2024-08-07 07:52:52,22.89,-0.24
2024-08-07 07:52:53,22.89,-0.24
2024-08-07 07:52:54,22.88,-0.24
2024-08-07 07:52:55,22.89,-0.28
2024-08-07 07:52:56,22.88,-0.21
2024-08-07 07:52:57,22.89,-0.24
2024-08-07 07:52:58,22.86,-0.21
2024-08-07 07:52:59,22.89,-0.24
2024-08-07 07:53:00,22.87,-0.28
2024-08-07 07:53:01,22.88,-0.24
2024-08-07 07:53:02,22.89,-0.24
2024-08-07 07:53:03,22.88,-0.24
2024-08-07 07:53:04,22.88,-0.24
2024-08-07 07:53:05,22.88,-0.24
2024-08-07 07:53:06,22.87,-0.24
2024-08-07 07:53:07,22.88,-0.24
2024-08-07 07:53:08,22.88,-0.24
2024-08-07 07:53:09,22.89,-0.24
2024-08-07 07:53:10,22.88,-0.24
2024-08-07 07:53:11,22.87,-0.24
2024-08-07 07:53:12,22.88,-0.24
2024-08-07 07:53:13,22.87,-0.24
2024-08-07 07:53:14,22.85,-0.24
2024-08-07 07:53:15,22.87,-0.24
2024-08-07 07:53:16,22.86,-0.24
2024-08-07 07:53:17,22.87,-0.24
2024-08-07 07:53:18,22.85,-0.24
2024-08-07 07:53:19,22.85,-0.21
2024-08-07 07:53:20,22.87,-0.24
2024-08-07 07:53:21,22.87,-0.24
2024-08-07 07:53:22,22.84,-0.21
2024-08-07 07:53:23,22.86,-0.24
2024-08-07 07:53:24,22.87,-0.21
2024-08-07 07:53:25,22.85,-0.24
2024-08-07 07:53:26,22.88,-0.31
2024-08-07 07:53:27,22.88,-0.24
2024-08-07 07:53:28,22.85,-0.24
2024-08-07 07:53:29,22.85,-0.24
2024-08-07 07:53:30,22.85,-0.24
2024-08-07 07:53:31,22.85,-0.24
2024-08-07 07:53:32,22.85,-0.21
2024-08-07 07:53:33,22.84,-0.24
2024-08-07 07:53:34,22.83,-0.24
2024-08-07 07:53:35,22.83,-0.21
2024-08-07 07:53:36,22.86,-0.24
2024-08-07 07:53:37,22.85,-0.24
2024-08-07 07:53:38,22.85,-0.24
2024-08-07 07:53:39,22.85,-0.24
2024-08-07 07:53:40,22.84,-0.24
2024-08-07 07:53:41,22.83,-0.24
2024-08-07 07:53:42,22.84,-0.24
2024-08-07 07:53:43,22.83,-0.24
2024-08-07 07:53:44,22.84,-0.28
2024-08-07 07:53:45,22.84,-0.24
2024-08-07 07:53:46,22.82,-0.24
2024-08-07 07:53:47,22.84,-0.21
2024-08-07 07:53:48,22.83,-0.24
2024-08-07 07:53:49,22.84,-0.21
2024-08-07 07:53:50,22.84,-0.28
2024-08-07 07:53:51,22.82,-0.24
2024-08-07 07:53:52,22.83,-0.21
2024-08-07 07:53:53,22.82,-0.24
2024-08-07 07:53:54,22.84,-0.24
2024-08-07 07:53:55,22.82,-0.24
2024-08-07 07:53:56,22.82,-0.24
2024-08-07 07:53:57,22.83,-0.24
2024-08-07 07:53:58,22.82,-0.21
2024-08-07 07:53:59,22.82,-0.21
2024-08-07 07:54:00,22.81,-0.28
2024-08-07 07:54:01,22.81,-0.24
2024-08-07 07:54:02,22.82,-0.24
2024-08-07 07:54:03,22.82,-0.21
2024-08-07 07:54:04,22.8,-0.21
2024-08-07 07:54:05,22.82,-0.24
2024-08-07 07:54:06,22.82,-0.21
2024-08-07 07:54:07,22.81,-0.24
2024-08-07 07:54:08,22.82,-0.24
2024-08-07 07:54:09,22.82,-0.24
2024-08-07 07:54:10,22.82,-0.28
2024-08-07 07:54:11,22.81,-0.24
2024-08-07 07:54:12,22.83,-0.21
2024-08-07 07:54:13,22.81,-0.28
2024-08-07 07:54:14,22.81,-0.24
2024-08-07 07:54:15,22.82,-0.24
2024-08-07 07:54:16,22.8,-0.21
2024-08-07 07:54:17,22.82,-0.28
2024-08-07 07:54:18,22.8,-0.24
2024-08-07 07:54:19,22.81,-0.28
2024-08-07 07:54:20,22.8,-0.28
2024-08-07 07:54:21,22.8,-0.21
2024-08-07 07:54:22,22.8,-0.21
2024-08-07 07:54:23,22.8,-0.24
