File name: mvilanova_n35csic_2024-08-08T16:19:37_2024-08-08T18:27:57

User: mvilanova

Sensor: n35csic[FE:96:67:66:32:6F]

Dive: Pere Grau 08/08/24
Dive date range: 2024-08-08 16:19:37 - 2024-08-08 18:27:57 (UTC +02:00)

"Location: 41.842157,3.128085"

Summary: 
Duration: 2:08:20 h.
Temp: 21.46 c (min.) 30.33 c (max.) 
Depth: -22.04 m (max.)

date,temperature(c),depth(m)
2024-08-08 16:19:37,28.17,-2.06
2024-08-08 16:19:38,28.16,-2.12
2024-08-08 16:19:39,28.16,-2.29
2024-08-08 16:19:40,28.12,-2.42
2024-08-08 16:19:41,28.08,-2.57
2024-08-08 16:19:42,28.08,-2.72
2024-08-08 16:19:43,28.07,-2.87
2024-08-08 16:19:44,28.04,-2.96
2024-08-08 16:19:45,28.04,-3.05
2024-08-08 16:19:46,28.02,-3.08
2024-08-08 16:19:47,28.04,-3.08
2024-08-08 16:19:48,28.03,-3.08
2024-08-08 16:19:49,28.02,-3.23
2024-08-08 16:19:50,28.0,-3.38
2024-08-08 16:19:51,27.98,-3.38
2024-08-08 16:19:52,28.0,-3.41
2024-08-08 16:19:53,28.0,-3.5
2024-08-08 16:19:54,28.0,-3.62
2024-08-08 16:19:55,28.0,-3.53
2024-08-08 16:19:56,27.96,-3.53
2024-08-08 16:19:57,27.98,-3.56
2024-08-08 16:19:58,27.98,-3.68
2024-08-08 16:19:59,27.96,-3.83
2024-08-08 16:20:00,27.98,-3.98
2024-08-08 16:20:01,27.96,-4.1
2024-08-08 16:20:02,27.99,-4.22
2024-08-08 16:20:03,27.96,-4.28
2024-08-08 16:20:04,27.95,-4.37
2024-08-08 16:20:05,27.95,-4.41
2024-08-08 16:20:06,27.94,-4.47
2024-08-08 16:20:07,27.94,-4.47
2024-08-08 16:20:08,27.95,-4.47
2024-08-08 16:20:09,27.93,-4.53
2024-08-08 16:20:10,27.94,-4.61
2024-08-08 16:20:11,27.94,-4.67
2024-08-08 16:20:12,27.94,-4.67
2024-08-08 16:20:13,27.95,-4.55
2024-08-08 16:20:14,27.94,-4.58
2024-08-08 16:20:15,27.95,-4.56
2024-08-08 16:20:16,27.92,-4.58
2024-08-08 16:20:17,27.93,-4.58
2024-08-08 16:20:18,27.93,-4.5
2024-08-08 16:20:19,27.93,-4.5
2024-08-08 16:20:20,27.92,-4.58
2024-08-08 16:20:21,27.91,-4.61
2024-08-08 16:20:22,27.92,-4.67
