File name: mvilanova_n35csic_2024-08-14T21:41:27_2024-08-14T23:49:50

User: mvilanova

Sensor: n35csic[FE:96:67:66:32:6F]

Dive: Eden Roc 14 08 24
Dive date range: 2024-08-14 21:41:27 - 2024-08-14 23:49:50 (UTC +02:00)

"Location: 41.771258,3.030825"

Summary: 
Duration: 2:08:23 h.
Temp: 21.71 c (min.) 27.68 c (max.) 
Depth: -26.79 m (max.)

date,temperature(c),depth(m)
2024-08-14 21:41:27,27.43,-1.85
2024-08-14 21:41:28,27.44,-2.0
2024-08-14 21:41:29,27.45,-2.21
2024-08-14 21:41:30,27.46,-2.42
2024-08-14 21:41:31,27.47,-2.66
2024-08-14 21:41:32,27.46,-2.99
2024-08-14 21:41:33,27.45,-3.28
2024-08-14 21:41:34,27.46,-3.56
2024-08-14 21:41:35,27.46,-3.76
2024-08-14 21:41:36,27.46,-4.04
2024-08-14 21:41:37,27.46,-4.33
2024-08-14 21:41:38,27.46,-4.63
2024-08-14 21:41:39,27.47,-4.87
2024-08-14 21:41:40,27.46,-5.11
2024-08-14 21:41:41,27.47,-5.35
2024-08-14 21:41:42,27.47,-5.62
2024-08-14 21:41:43,27.48,-5.74
2024-08-14 21:41:44,27.46,-5.98
2024-08-14 21:41:45,27.47,-6.16
2024-08-14 21:41:46,27.46,-6.42
2024-08-14 21:41:47,27.47,-6.61
2024-08-14 21:41:48,27.48,-6.76
2024-08-14 21:41:49,27.47,-6.84
2024-08-14 21:41:50,27.47,-6.9
2024-08-14 21:41:51,27.47,-7.03
2024-08-14 21:41:52,27.47,-7.21
2024-08-14 21:41:53,27.48,-7.35
2024-08-14 21:41:54,27.47,-7.51
2024-08-14 21:41:55,27.48,-7.63
2024-08-14 21:41:56,27.49,-7.8
2024-08-14 21:41:57,27.49,-7.89
2024-08-14 21:41:58,27.48,-7.98
2024-08-14 21:41:59,27.49,-8.08
2024-08-14 21:42:00,27.47,-8.17
2024-08-14 21:42:01,27.48,-8.19
2024-08-14 21:42:02,27.5,-8.25
2024-08-14 21:42:03,27.51,-8.37
2024-08-14 21:42:04,27.5,-8.49
2024-08-14 21:42:05,27.5,-8.49
2024-08-14 21:42:06,27.51,-8.53
2024-08-14 21:42:07,27.51,-8.64
2024-08-14 21:42:08,27.51,-8.76
2024-08-14 21:42:09,27.5,-8.82
2024-08-14 21:42:10,27.51,-8.85
2024-08-14 21:42:11,27.52,-8.85
2024-08-14 21:42:12,27.51,-8.85
2024-08-14 21:42:13,27.49,-8.88
2024-08-14 21:42:14,27.53,-8.97
2024-08-14 21:42:15,27.52,-9.03
2024-08-14 21:42:16,27.53,-9.07
2024-08-14 21:42:17,27.5,-9.12
2024-08-14 21:42:18,27.51,-9.07
2024-08-14 21:42:19,27.52,-9.09
2024-08-14 21:42:20,27.53,-9.03
2024-08-14 21:42:21,27.52,-9.03
2024-08-14 21:42:22,27.53,-9.0
2024-08-14 21:42:23,27.55,-8.88
2024-08-14 21:42:24,27.53,-8.79
2024-08-14 21:42:25,27.53,-8.85
2024-08-14 21:42:26,27.51,-9.0
2024-08-14 21:42:27,27.52,-9.0
2024-08-14 21:42:28,27.53,-8.97
2024-08-14 21:42:29,27.53,-8.91
2024-08-14 21:42:30,27.53,-8.94
2024-08-14 21:42:31,27.54,-9.0
2024-08-14 21:42:32,27.51,-9.03
2024-08-14 21:42:33,27.53,-9.0
2024-08-14 21:42:34,27.53,-8.97
2024-08-14 21:42:35,27.53,-8.97
2024-08-14 21:42:36,27.53,-8.97
2024-08-14 21:42:37,27.53,-9.03
2024-08-14 21:42:38,27.53,-9.03
2024-08-14 21:42:39,27.56,-8.82
2024-08-14 21:42:40,27.54,-8.67
2024-08-14 21:42:41,27.55,-8.76
2024-08-14 21:42:42,27.56,-8.79
2024-08-14 21:42:43,27.55,-8.82
2024-08-14 21:42:44,27.55,-8.88
2024-08-14 21:42:45,27.55,-8.79
2024-08-14 21:42:46,27.55,-8.79
2024-08-14 21:42:47,27.55,-8.85
2024-08-14 21:42:48,27.57,-8.79
2024-08-14 21:42:49,27.55,-8.85
2024-08-14 21:42:50,27.55,-8.79
2024-08-14 21:42:51,27.56,-8.82
2024-08-14 21:42:52,27.55,-8.85
2024-08-14 21:42:53,27.57,-8.88
2024-08-14 21:42:54,27.54,-8.94
2024-08-14 21:42:55,27.54,-9.07
2024-08-14 21:42:56,27.56,-9.07
2024-08-14 21:42:57,27.57,-9.03
2024-08-14 21:42:58,27.56,-9.07
2024-08-14 21:42:59,27.57,-9.24
2024-08-14 21:43:00,27.57,-9.12
2024-08-14 21:43:01,27.57,-8.88
2024-08-14 21:43:02,27.57,-8.76
2024-08-14 21:43:03,27.59,-8.76
2024-08-14 21:43:04,27.6,-8.79
2024-08-14 21:43:05,27.6,-8.82
2024-08-14 21:43:06,27.57,-8.94
2024-08-14 21:43:07,27.59,-8.94
2024-08-14 21:43:08,27.59,-9.0
2024-08-14 21:43:09,27.62,-9.12
2024-08-14 21:43:10,27.6,-9.21
2024-08-14 21:43:11,27.62,-9.24
2024-08-14 21:43:12,27.6,-9.21
2024-08-14 21:43:13,27.59,-9.21
2024-08-14 21:43:14,27.6,-9.12
2024-08-14 21:43:15,27.6,-9.12
2024-08-14 21:43:16,27.59,-9.21
2024-08-14 21:43:17,27.6,-9.21
2024-08-14 21:43:18,27.6,-9.15
2024-08-14 21:43:19,27.6,-9.15
2024-08-14 21:43:20,27.6,-9.12
2024-08-14 21:43:21,27.6,-9.18
2024-08-14 21:43:22,27.62,-9.15
2024-08-14 21:43:23,27.6,-9.21
2024-08-14 21:43:24,27.6,-9.24
2024-08-14 21:43:25,27.6,-9.27
2024-08-14 21:43:26,27.6,-9.3
2024-08-14 21:43:27,27.62,-9.27
2024-08-14 21:43:28,27.63,-9.27
2024-08-14 21:43:29,27.62,-9.24
2024-08-14 21:43:30,27.63,-9.27
2024-08-14 21:43:31,27.6,-9.27
2024-08-14 21:43:32,27.6,-9.24
2024-08-14 21:43:33,27.62,-9.18
2024-08-14 21:43:34,27.62,-9.12
2024-08-14 21:43:35,27.62,-9.15
2024-08-14 21:43:36,27.6,-9.07
2024-08-14 21:43:37,27.64,-8.97
2024-08-14 21:43:38,27.63,-8.82
2024-08-14 21:43:39,27.63,-8.76
2024-08-14 21:43:40,27.64,-8.7
2024-08-14 21:43:41,27.62,-8.7
2024-08-14 21:43:42,27.6,-8.61
2024-08-14 21:43:43,27.63,-8.64
2024-08-14 21:43:44,27.63,-8.82
2024-08-14 21:43:45,27.62,-8.88
2024-08-14 21:43:46,27.6,-8.79
2024-08-14 21:43:47,27.63,-8.82
2024-08-14 21:43:48,27.6,-8.82
2024-08-14 21:43:49,27.6,-8.79
2024-08-14 21:43:50,27.63,-8.79
2024-08-14 21:43:51,27.6,-8.85
2024-08-14 21:43:52,27.6,-8.85
2024-08-14 21:43:53,27.6,-8.88
2024-08-14 21:43:54,27.62,-8.94
2024-08-14 21:43:55,27.63,-8.91
2024-08-14 21:43:56,27.62,-8.97
2024-08-14 21:43:57,27.6,-9.0
2024-08-14 21:43:58,27.58,-9.12
2024-08-14 21:43:59,27.6,-9.07
2024-08-14 21:44:00,27.6,-9.03
2024-08-14 21:44:01,27.6,-9.03
2024-08-14 21:44:02,27.62,-9.15
2024-08-14 21:44:03,27.63,-9.27
2024-08-14 21:44:04,27.62,-9.27
2024-08-14 21:44:05,27.6,-9.21
2024-08-14 21:44:06,27.63,-9.24
2024-08-14 21:44:07,27.59,-9.24
2024-08-14 21:44:08,27.6,-9.3
2024-08-14 21:44:09,27.6,-9.3
2024-08-14 21:44:10,27.6,-9.39
2024-08-14 21:44:11,27.6,-9.45
2024-08-14 21:44:12,27.6,-9.54
2024-08-14 21:44:13,27.6,-9.51
2024-08-14 21:44:14,27.6,-9.51
2024-08-14 21:44:15,27.62,-9.6
2024-08-14 21:44:16,27.59,-9.72
2024-08-14 21:44:17,27.6,-9.81
2024-08-14 21:44:18,27.6,-9.87
2024-08-14 21:44:19,27.62,-9.99
2024-08-14 21:44:20,27.6,-10.08
2024-08-14 21:44:21,27.6,-10.04
2024-08-14 21:44:22,27.58,-10.04
2024-08-14 21:44:23,27.6,-10.04
2024-08-14 21:44:24,27.6,-10.04
2024-08-14 21:44:25,27.62,-10.01
2024-08-14 21:44:26,27.6,-10.08
2024-08-14 21:44:27,27.59,-10.01
2024-08-14 21:44:28,27.6,-10.04
2024-08-14 21:44:29,27.6,-10.01
2024-08-14 21:44:30,27.6,-10.08
2024-08-14 21:44:31,27.6,-10.08
2024-08-14 21:44:32,27.6,-10.04
2024-08-14 21:44:33,27.6,-10.04
2024-08-14 21:44:34,27.59,-10.01
2024-08-14 21:44:35,27.6,-10.04
2024-08-14 21:44:36,27.6,-10.04
2024-08-14 21:44:37,27.59,-10.04
2024-08-14 21:44:38,27.62,-10.01
2024-08-14 21:44:39,27.59,-10.01
2024-08-14 21:44:40,27.63,-9.96
2024-08-14 21:44:41,27.6,-9.84
2024-08-14 21:44:42,27.6,-9.81
2024-08-14 21:44:43,27.59,-9.81
2024-08-14 21:44:44,27.6,-9.84
2024-08-14 21:44:45,27.59,-9.87
2024-08-14 21:44:46,27.62,-9.81
2024-08-14 21:44:47,27.6,-9.78
2024-08-14 21:44:48,27.6,-9.72
2024-08-14 21:44:49,27.62,-9.72
2024-08-14 21:44:50,27.6,-9.78
2024-08-14 21:44:51,27.6,-9.78
2024-08-14 21:44:52,27.64,-9.66
2024-08-14 21:44:53,27.6,-9.57
2024-08-14 21:44:54,27.64,-9.6
2024-08-14 21:44:55,27.6,-9.53
2024-08-14 21:44:56,27.59,-9.6
2024-08-14 21:44:57,27.62,-9.63
2024-08-14 21:44:58,27.6,-9.66
2024-08-14 21:44:59,27.6,-9.72
2024-08-14 21:45:00,27.59,-9.75
2024-08-14 21:45:01,27.59,-9.69
2024-08-14 21:45:02,27.59,-9.75
2024-08-14 21:45:03,27.62,-9.75
2024-08-14 21:45:04,27.63,-9.81
2024-08-14 21:45:05,27.62,-9.84
2024-08-14 21:45:06,27.63,-9.81
2024-08-14 21:45:07,27.63,-9.78
2024-08-14 21:45:08,27.6,-9.6
2024-08-14 21:45:09,27.62,-9.6
2024-08-14 21:45:10,27.62,-9.57
2024-08-14 21:45:11,27.63,-9.57
2024-08-14 21:45:12,27.63,-9.53
2024-08-14 21:45:13,27.6,-9.51
2024-08-14 21:45:14,27.63,-9.51
2024-08-14 21:45:15,27.62,-9.57
2024-08-14 21:45:16,27.63,-9.66
2024-08-14 21:45:17,27.6,-9.72
2024-08-14 21:45:18,27.63,-9.69
2024-08-14 21:45:19,27.6,-9.69
2024-08-14 21:45:20,27.63,-9.75
2024-08-14 21:45:21,27.62,-9.78
2024-08-14 21:45:22,27.6,-9.93
2024-08-14 21:45:23,27.6,-9.99
2024-08-14 21:45:24,27.6,-10.08
2024-08-14 21:45:25,27.6,-10.08
2024-08-14 21:45:26,27.62,-10.14
2024-08-14 21:45:27,27.62,-10.2
2024-08-14 21:45:28,27.64,-10.26
2024-08-14 21:45:29,27.6,-10.35
2024-08-14 21:45:30,27.63,-10.41
2024-08-14 21:45:31,27.62,-10.49
2024-08-14 21:45:32,27.63,-10.65
2024-08-14 21:45:33,27.63,-10.62
2024-08-14 21:45:34,27.6,-10.74
2024-08-14 21:45:35,27.62,-10.8
2024-08-14 21:45:36,27.63,-10.89
2024-08-14 21:45:37,27.6,-10.97
2024-08-14 21:45:38,27.64,-11.16
2024-08-14 21:45:39,27.64,-11.31
2024-08-14 21:45:40,27.62,-11.37
2024-08-14 21:45:41,27.64,-11.45
2024-08-14 21:45:42,27.64,-11.51
2024-08-14 21:45:43,27.63,-11.51
2024-08-14 21:45:44,27.6,-11.57
2024-08-14 21:45:45,27.63,-11.73
2024-08-14 21:45:46,27.63,-11.88
2024-08-14 21:45:47,27.6,-11.96
2024-08-14 21:45:48,27.6,-12.05
2024-08-14 21:45:49,27.6,-12.02
2024-08-14 21:45:50,27.64,-11.99
2024-08-14 21:45:51,27.62,-12.02
2024-08-14 21:45:52,27.62,-12.05
2024-08-14 21:45:53,27.62,-11.96
2024-08-14 21:45:54,27.6,-11.99
2024-08-14 21:45:55,27.6,-11.99
2024-08-14 21:45:56,27.6,-11.91
2024-08-14 21:45:57,27.6,-11.94
2024-08-14 21:45:58,27.6,-11.85
2024-08-14 21:45:59,27.62,-11.67
2024-08-14 21:46:00,27.62,-11.64
2024-08-14 21:46:01,27.6,-11.48
2024-08-14 21:46:02,27.6,-11.46
2024-08-14 21:46:03,27.62,-11.46
2024-08-14 21:46:04,27.59,-11.37
2024-08-14 21:46:05,27.62,-11.34
2024-08-14 21:46:06,27.6,-11.31
2024-08-14 21:46:07,27.6,-11.34
2024-08-14 21:46:08,27.59,-11.37
2024-08-14 21:46:09,27.6,-11.4
2024-08-14 21:46:10,27.6,-11.48
2024-08-14 21:46:11,27.6,-11.48
2024-08-14 21:46:12,27.6,-11.57
2024-08-14 21:46:13,27.6,-11.57
2024-08-14 21:46:14,27.63,-11.57
2024-08-14 21:46:15,27.63,-11.54
2024-08-14 21:46:16,27.59,-11.48
2024-08-14 21:46:17,27.6,-11.51
2024-08-14 21:46:18,27.63,-11.57
2024-08-14 21:46:19,27.6,-11.48
2024-08-14 21:46:20,27.6,-11.48
2024-08-14 21:46:21,27.6,-11.46
2024-08-14 21:46:22,27.6,-11.46
2024-08-14 21:46:23,27.6,-11.54
2024-08-14 21:46:24,27.6,-11.57
2024-08-14 21:46:25,27.6,-11.54
2024-08-14 21:46:26,27.6,-11.54
2024-08-14 21:46:27,27.6,-11.51
2024-08-14 21:46:28,27.59,-11.54
2024-08-14 21:46:29,27.62,-11.54
2024-08-14 21:46:30,27.59,-11.57
2024-08-14 21:46:31,27.6,-11.54
2024-08-14 21:46:32,27.6,-11.46
2024-08-14 21:46:33,27.6,-11.37
2024-08-14 21:46:34,27.59,-11.31
2024-08-14 21:46:35,27.58,-11.28
2024-08-14 21:46:36,27.6,-11.16
2024-08-14 21:46:37,27.59,-11.03
2024-08-14 21:46:38,27.59,-11.06
2024-08-14 21:46:39,27.6,-11.13
2024-08-14 21:46:40,27.59,-11.16
2024-08-14 21:46:41,27.6,-11.28
2024-08-14 21:46:42,27.6,-11.28
2024-08-14 21:46:43,27.6,-11.25
2024-08-14 21:46:44,27.6,-11.22
2024-08-14 21:46:45,27.6,-11.25
2024-08-14 21:46:46,27.59,-11.25
2024-08-14 21:46:47,27.59,-11.28
2024-08-14 21:46:48,27.59,-11.25
2024-08-14 21:46:49,27.62,-11.22
2024-08-14 21:46:50,27.59,-11.22
2024-08-14 21:46:51,27.6,-11.16
2024-08-14 21:46:52,27.59,-11.19
2024-08-14 21:46:53,27.6,-11.19
2024-08-14 21:46:54,27.6,-11.16
2024-08-14 21:46:55,27.6,-11.16
2024-08-14 21:46:56,27.58,-11.19
2024-08-14 21:46:57,27.6,-11.19
2024-08-14 21:46:58,27.6,-11.16
