File name: mvilanova_n42csic_2024-08-25T08:58:51_2024-08-25T11:14:23

User: mvilanova

Sensor: n42csic[D6:55:61:A5:34:78]

Dive: Cala Margarida
Dive date range: 2024-08-25 08:58:51 - 2024-08-25 11:14:23 (UTC +02:00)

"Location: 41.848743,3.140475"

Summary: 
Duration: 2:15:32 h.
Temp: 18.97 c (min.) 28.27 c (max.) 
Depth: -29.47 m (max.)

date,temperature(c),depth(m)
2024-08-25 08:58:51,24.17,-2.03
2024-08-25 08:58:52,24.17,-2.01
2024-08-25 08:58:53,24.15,-2.12
2024-08-25 08:58:54,24.17,-2.12
2024-08-25 08:58:55,24.17,-2.09
2024-08-25 08:58:56,24.15,-2.06
2024-08-25 08:58:57,24.17,-2.18
2024-08-25 08:58:58,24.16,-2.15
2024-08-25 08:58:59,24.15,-2.18
2024-08-25 08:59:00,24.15,-2.12
2024-08-25 08:59:01,24.14,-2.15
2024-08-25 08:59:02,24.15,-2.21
2024-08-25 08:59:03,24.14,-2.29
2024-08-25 08:59:04,24.16,-2.27
2024-08-25 08:59:05,24.16,-2.29
2024-08-25 08:59:06,24.15,-2.39
2024-08-25 08:59:07,24.17,-2.42
2024-08-25 08:59:08,24.16,-2.42
2024-08-25 08:59:09,24.17,-2.36
2024-08-25 08:59:10,24.17,-2.29
2024-08-25 08:59:11,24.17,-2.33
2024-08-25 08:59:12,24.17,-2.45
2024-08-25 08:59:13,24.19,-2.48
2024-08-25 08:59:14,24.17,-2.45
2024-08-25 08:59:15,24.19,-2.45
2024-08-25 08:59:16,24.17,-2.56
2024-08-25 08:59:17,24.19,-2.68
2024-08-25 08:59:18,24.17,-2.71
2024-08-25 08:59:19,24.19,-2.59
2024-08-25 08:59:20,24.19,-2.56
2024-08-25 08:59:21,24.18,-2.53
2024-08-25 08:59:22,24.21,-2.51
2024-08-25 08:59:23,24.21,-2.48
2024-08-25 08:59:24,24.21,-2.42
2024-08-25 08:59:25,24.19,-2.45
2024-08-25 08:59:26,24.19,-2.48
2024-08-25 08:59:27,24.21,-2.53
2024-08-25 08:59:28,24.21,-2.62
2024-08-25 08:59:29,24.2,-2.74
2024-08-25 08:59:30,24.21,-2.71
2024-08-25 08:59:31,24.21,-2.71
2024-08-25 08:59:32,24.2,-2.65
2024-08-25 08:59:33,24.2,-2.71
2024-08-25 08:59:34,24.22,-2.74
2024-08-25 08:59:35,24.21,-2.71
2024-08-25 08:59:36,24.21,-2.71
2024-08-25 08:59:37,24.21,-2.68
2024-08-25 08:59:38,24.21,-2.71
2024-08-25 08:59:39,24.2,-2.74
2024-08-25 08:59:40,24.2,-2.76
2024-08-25 08:59:41,24.22,-2.77
2024-08-25 08:59:42,24.21,-2.77
