File name: mvilanova_n52csic_2024-08-25T08:27:30_2024-08-25T10:47:40

User: mvilanova

Sensor: n52csic[FD:44:65:43:93:19]

Dive: Cala Margarida
Dive date range: 2024-08-25 08:27:30 - 2024-08-25 10:47:40 (UTC +02:00)

"Location: 41.848806,3.14032"

Summary: 
Duration: 2:20:10 h.
Temp: 19.12 c (min.) 26.25 c (max.) 
Depth: -29.32 m (max.)

date,temperature(c),depth(m)
2024-08-25 08:27:30,26.09,-0.41
2024-08-25 08:27:31,26.08,-0.38
2024-08-25 08:27:32,26.07,-0.38
2024-08-25 08:27:33,26.08,-0.41
2024-08-25 08:27:34,26.09,-0.41
2024-08-25 08:27:35,26.09,-0.41
2024-08-25 08:27:36,26.07,-0.38
2024-08-25 08:27:37,26.1,-0.38
2024-08-25 08:27:38,26.1,-0.41
2024-08-25 08:27:39,26.14,-0.38
2024-08-25 08:27:40,26.14,-0.38
2024-08-25 08:27:41,26.14,-0.38
2024-08-25 08:27:42,26.14,-0.41
2024-08-25 08:27:43,26.15,-0.35
2024-08-25 08:27:44,26.13,-0.41
2024-08-25 08:27:45,26.12,-0.38
2024-08-25 08:27:46,26.11,-0.38
2024-08-25 08:27:47,26.12,-0.38
2024-08-25 08:27:48,26.12,-0.35
2024-08-25 08:27:49,26.11,-0.35
2024-08-25 08:27:50,26.11,-0.38
2024-08-25 08:27:51,26.13,-0.41
2024-08-25 08:27:52,26.14,-0.38
2024-08-25 08:27:53,26.12,-0.41
2024-08-25 08:27:54,26.11,-0.35
2024-08-25 08:27:55,26.11,-0.38
2024-08-25 08:27:56,26.12,-0.38
2024-08-25 08:27:57,26.11,-0.38
2024-08-25 08:27:58,26.12,-0.38
2024-08-25 08:27:59,26.11,-0.38
2024-08-25 08:28:00,26.11,-0.38
2024-08-25 08:28:01,26.12,-0.38
2024-08-25 08:28:02,26.12,-0.35
2024-08-25 08:28:03,26.13,-0.38
2024-08-25 08:28:04,26.13,-0.41
2024-08-25 08:28:05,26.14,-0.35
2024-08-25 08:28:06,26.12,-0.38
2024-08-25 08:28:07,26.13,-0.38
2024-08-25 08:28:08,26.14,-0.35
2024-08-25 08:28:09,26.14,-0.38
2024-08-25 08:28:10,26.14,-0.38
2024-08-25 08:28:11,26.11,-0.38
2024-08-25 08:28:12,26.13,-0.38
2024-08-25 08:28:13,26.14,-0.38
2024-08-25 08:28:14,26.12,-0.35
2024-08-25 08:28:15,26.11,-0.38
2024-08-25 08:28:16,26.14,-0.38
2024-08-25 08:28:17,26.11,-0.38
2024-08-25 08:28:18,26.11,-0.41
2024-08-25 08:28:19,26.13,-0.38
2024-08-25 08:28:20,26.1,-0.35
2024-08-25 08:28:21,26.12,-0.35
2024-08-25 08:28:22,26.13,-0.44
2024-08-25 08:28:23,26.11,-0.38
2024-08-25 08:28:24,26.12,-0.38
2024-08-25 08:28:25,26.1,-0.38
2024-08-25 08:28:26,26.1,-0.35
2024-08-25 08:28:27,26.11,-0.41
2024-08-25 08:28:28,26.11,-0.38
2024-08-25 08:28:29,26.1,-0.41
2024-08-25 08:28:30,26.12,-0.41
2024-08-25 08:28:31,26.11,-0.38
2024-08-25 08:28:32,26.11,-0.4
2024-08-25 08:28:33,26.11,-0.38
2024-08-25 08:28:34,26.11,-0.4
2024-08-25 08:28:35,26.11,-0.38
2024-08-25 08:28:36,26.1,-0.35
2024-08-25 08:28:37,26.11,-0.37
2024-08-25 08:28:38,26.1,-0.38
2024-08-25 08:28:39,26.07,-0.35
2024-08-25 08:28:40,26.1,-0.38
2024-08-25 08:28:41,26.09,-0.38
2024-08-25 08:28:42,26.08,-0.38
2024-08-25 08:28:43,26.09,-0.38
2024-08-25 08:28:44,26.08,-0.38
2024-08-25 08:28:45,26.09,-0.37
2024-08-25 08:28:46,26.07,-0.35
2024-08-25 08:28:47,26.07,-0.35
2024-08-25 08:28:48,26.07,-0.35
2024-08-25 08:28:49,26.08,-0.4
2024-08-25 08:28:50,26.04,-0.37
2024-08-25 08:28:51,26.07,-0.34
2024-08-25 08:28:52,26.07,-0.34
2024-08-25 08:28:53,26.07,-0.37
2024-08-25 08:28:54,26.07,-0.37
2024-08-25 08:28:55,26.06,-0.37
2024-08-25 08:28:56,26.04,-0.34
2024-08-25 08:28:57,26.03,-0.37
2024-08-25 08:28:58,26.03,-0.4
2024-08-25 08:28:59,26.03,-0.37
2024-08-25 08:29:00,26.03,-0.34
2024-08-25 08:29:01,26.03,-0.4
2024-08-25 08:29:02,26.02,-0.34
2024-08-25 08:29:03,26.02,-0.37
2024-08-25 08:29:04,26.03,-0.37
2024-08-25 08:29:05,26.03,-0.37
2024-08-25 08:29:06,26.01,-0.4
2024-08-25 08:29:07,26.02,-0.34
2024-08-25 08:29:08,26.01,-0.37
