File name: mvilanova_n52csic_2024-10-08T10:13:18_2024-10-08T10:50:20

User: mvilanova

Sensor: n52csic[FD:44:65:43:93:19]

Dive: Pota del Llop
Dive date range: 2024-10-08 10:13:18 - 2024-10-08 10:50:20 (UTC +02:00)

"Location: 42.0495,3.225655"

Summary: 
Duration: 0:37:02 h.
Temp: 16.39 c (min.) 19.62 c (max.) 
Depth: -50.51 m (max.)

date,temperature(c),depth(m)
2024-10-08 10:13:18,19.61,-1.68
2024-10-08 10:13:19,19.62,-1.87
2024-10-08 10:13:20,19.59,-2.13
2024-10-08 10:13:21,19.6,-2.44
2024-10-08 10:13:22,19.6,-2.7
2024-10-08 10:13:23,19.58,-3.04
2024-10-08 10:13:24,19.59,-3.27
2024-10-08 10:13:25,19.6,-3.46
2024-10-08 10:13:26,19.6,-3.61
2024-10-08 10:13:27,19.61,-3.78
2024-10-08 10:13:28,19.59,-4.03
2024-10-08 10:13:29,19.59,-4.26
2024-10-08 10:13:30,19.58,-4.51
2024-10-08 10:13:31,19.62,-4.72
2024-10-08 10:13:32,19.62,-4.96
2024-10-08 10:13:33,19.6,-5.14
2024-10-08 10:13:34,19.6,-5.37
2024-10-08 10:13:35,19.6,-5.68
2024-10-08 10:13:36,19.59,-6.04
2024-10-08 10:13:37,19.6,-6.31
2024-10-08 10:13:38,19.6,-6.52
2024-10-08 10:13:39,19.6,-6.73
2024-10-08 10:13:40,19.6,-6.9
2024-10-08 10:13:41,19.6,-7.09
2024-10-08 10:13:42,19.6,-7.27
2024-10-08 10:13:43,19.6,-7.57
2024-10-08 10:13:44,19.59,-7.81
2024-10-08 10:13:45,19.6,-8.05
2024-10-08 10:13:46,19.59,-7.96
2024-10-08 10:13:47,19.6,-7.98
2024-10-08 10:13:48,19.6,-8.08
2024-10-08 10:13:49,19.6,-8.2
2024-10-08 10:13:50,19.61,-8.38
2024-10-08 10:13:51,19.6,-8.65
2024-10-08 10:13:52,19.6,-8.8
2024-10-08 10:13:53,19.6,-8.83
2024-10-08 10:13:54,19.6,-9.01
2024-10-08 10:13:55,19.62,-9.28
2024-10-08 10:13:56,19.6,-9.67
2024-10-08 10:13:57,19.59,-9.97
2024-10-08 10:13:58,19.61,-10.27
2024-10-08 10:13:59,19.57,-10.48
2024-10-08 10:14:00,19.61,-10.67
2024-10-08 10:14:01,19.6,-10.81
2024-10-08 10:14:02,19.59,-10.93
2024-10-08 10:14:03,19.6,-11.21
2024-10-08 10:14:04,19.6,-11.47
2024-10-08 10:14:05,19.59,-11.78
2024-10-08 10:14:06,19.61,-11.98
2024-10-08 10:14:07,19.6,-12.2
2024-10-08 10:14:08,19.6,-12.43
2024-10-08 10:14:09,19.6,-12.71
2024-10-08 10:14:10,19.59,-12.97
2024-10-08 10:14:11,19.59,-13.15
2024-10-08 10:14:12,19.6,-13.25
2024-10-08 10:14:13,19.61,-13.48
2024-10-08 10:14:14,19.61,-13.73
2024-10-08 10:14:15,19.6,-13.99
2024-10-08 10:14:16,19.6,-14.24
2024-10-08 10:14:17,19.59,-14.53
2024-10-08 10:14:18,19.59,-14.9
2024-10-08 10:14:19,19.6,-15.22
2024-10-08 10:14:20,19.58,-15.53
2024-10-08 10:14:21,19.58,-15.73
2024-10-08 10:14:22,19.58,-16.13
2024-10-08 10:14:23,19.57,-16.52
2024-10-08 10:14:24,19.59,-16.88
2024-10-08 10:14:25,19.59,-17.29
2024-10-08 10:14:26,19.6,-17.69
2024-10-08 10:14:27,19.59,-17.99
2024-10-08 10:14:28,19.58,-18.44
2024-10-08 10:14:29,19.57,-18.86
2024-10-08 10:14:30,19.6,-19.25
2024-10-08 10:14:31,19.57,-19.61
2024-10-08 10:14:32,19.57,-20.06
2024-10-08 10:14:33,19.59,-20.43
2024-10-08 10:14:34,19.57,-20.87
2024-10-08 10:14:35,19.57,-21.26
2024-10-08 10:14:36,19.57,-21.57
2024-10-08 10:14:37,19.57,-21.96
2024-10-08 10:14:38,19.55,-22.28
2024-10-08 10:14:39,19.55,-22.65
2024-10-08 10:14:40,19.55,-23.04
2024-10-08 10:14:41,19.56,-23.45
2024-10-08 10:14:42,19.52,-23.84
2024-10-08 10:14:43,19.52,-24.24
2024-10-08 10:14:44,19.52,-24.66
2024-10-08 10:14:45,19.52,-24.9
2024-10-08 10:14:46,19.53,-24.89
2024-10-08 10:14:47,19.52,-25.11
2024-10-08 10:14:48,19.5,-25.23
2024-10-08 10:14:49,19.49,-25.46
2024-10-08 10:14:50,19.5,-25.71
