File name: mvilanova_n52csic_2024-10-09T20:00:27_2024-10-09T21:01:30

User: mvilanova

Sensor: n52csic[FD:44:65:43:93:19]

Dive: Sa Tuna
Dive date range: 2024-10-09 20:00:27 - 2024-10-09 21:01:30 (UTC +02:00)

"Location: 41.960966,3.231416"

Summary: 
Duration: 1:01:03 h.
Temp: 17.61 c (min.) 17.87 c (max.) 
Depth: -23.16 m (max.)

date,temperature(c),depth(m)
2024-10-09 20:00:27,17.84,-7.15
2024-10-09 20:00:28,17.85,-7.18
2024-10-09 20:00:29,17.84,-7.12
2024-10-09 20:00:30,17.85,-7.06
2024-10-09 20:00:31,17.85,-7.12
2024-10-09 20:00:32,17.85,-7.26
2024-10-09 20:00:33,17.83,-7.41
2024-10-09 20:00:34,17.85,-7.51
2024-10-09 20:00:35,17.83,-7.6
2024-10-09 20:00:36,17.85,-7.68
2024-10-09 20:00:37,17.83,-7.77
2024-10-09 20:00:38,17.84,-7.83
2024-10-09 20:00:39,17.84,-7.89
2024-10-09 20:00:40,17.84,-7.92
2024-10-09 20:00:41,17.82,-7.8
2024-10-09 20:00:42,17.85,-7.8
2024-10-09 20:00:43,17.84,-7.8
2024-10-09 20:00:44,17.83,-7.86
2024-10-09 20:00:45,17.85,-7.86
2024-10-09 20:00:46,17.84,-7.86
2024-10-09 20:00:47,17.83,-7.8
2024-10-09 20:00:48,17.83,-7.71
2024-10-09 20:00:49,17.85,-7.57
2024-10-09 20:00:50,17.85,-7.44
2024-10-09 20:00:51,17.84,-7.41
2024-10-09 20:00:52,17.84,-7.41
2024-10-09 20:00:53,17.85,-7.44
2024-10-09 20:00:54,17.84,-7.57
2024-10-09 20:00:55,17.83,-7.65
2024-10-09 20:00:56,17.83,-7.8
2024-10-09 20:00:57,17.85,-7.89
2024-10-09 20:00:58,17.85,-8.02
2024-10-09 20:00:59,17.85,-8.08
2024-10-09 20:01:00,17.85,-8.1
2024-10-09 20:01:01,17.83,-8.13
2024-10-09 20:01:02,17.84,-8.07
2024-10-09 20:01:03,17.85,-8.05
2024-10-09 20:01:04,17.84,-7.98
2024-10-09 20:01:05,17.84,-8.02
2024-10-09 20:01:06,17.83,-7.98
2024-10-09 20:01:07,17.85,-7.95
2024-10-09 20:01:08,17.84,-7.92
2024-10-09 20:01:09,17.85,-7.89
2024-10-09 20:01:10,17.85,-7.92
2024-10-09 20:01:11,17.85,-8.02
2024-10-09 20:01:12,17.82,-8.1
2024-10-09 20:01:13,17.85,-8.13
2024-10-09 20:01:14,17.84,-8.13
2024-10-09 20:01:15,17.84,-8.16
2024-10-09 20:01:16,17.82,-8.19
2024-10-09 20:01:17,17.84,-8.22
2024-10-09 20:01:18,17.83,-8.22
2024-10-09 20:01:19,17.82,-8.19
2024-10-09 20:01:20,17.82,-8.19
2024-10-09 20:01:21,17.84,-8.25
2024-10-09 20:01:22,17.82,-8.28
2024-10-09 20:01:23,17.84,-8.25
2024-10-09 20:01:24,17.83,-8.28
2024-10-09 20:01:25,17.82,-8.25
2024-10-09 20:01:26,17.84,-8.22
2024-10-09 20:01:27,17.84,-8.31
2024-10-09 20:01:28,17.83,-8.4
2024-10-09 20:01:29,17.83,-8.4
2024-10-09 20:01:30,17.82,-8.43
2024-10-09 20:01:31,17.82,-8.46
2024-10-09 20:01:32,17.8,-8.51
2024-10-09 20:01:33,17.83,-8.46
2024-10-09 20:01:34,17.83,-8.4
2024-10-09 20:01:35,17.83,-8.46
2024-10-09 20:01:36,17.8,-8.55
2024-10-09 20:01:37,17.82,-8.67
2024-10-09 20:01:38,17.84,-8.73
2024-10-09 20:01:39,17.83,-8.7
2024-10-09 20:01:40,17.82,-8.73
2024-10-09 20:01:41,17.79,-8.85
2024-10-09 20:01:42,17.82,-8.96
2024-10-09 20:01:43,17.8,-8.99
2024-10-09 20:01:44,17.84,-9.09
2024-10-09 20:01:45,17.83,-9.09
2024-10-09 20:01:46,17.85,-9.06
2024-10-09 20:01:47,17.82,-9.02
2024-10-09 20:01:48,17.8,-8.94
2024-10-09 20:01:49,17.82,-8.85
2024-10-09 20:01:50,17.82,-8.82
2024-10-09 20:01:51,17.84,-8.85
2024-10-09 20:01:52,17.84,-8.91
2024-10-09 20:01:53,17.82,-9.02
2024-10-09 20:01:54,17.82,-9.09
2024-10-09 20:01:55,17.83,-8.99
2024-10-09 20:01:56,17.83,-8.99
2024-10-09 20:01:57,17.85,-9.02
2024-10-09 20:01:58,17.83,-9.09
2024-10-09 20:01:59,17.82,-9.27
2024-10-09 20:02:00,17.82,-9.33
2024-10-09 20:02:01,17.82,-9.39
2024-10-09 20:02:02,17.82,-9.44
2024-10-09 20:02:03,17.82,-9.41
2024-10-09 20:02:04,17.82,-9.41
2024-10-09 20:02:05,17.84,-9.47
2024-10-09 20:02:06,17.82,-9.44
2024-10-09 20:02:07,17.82,-9.44
2024-10-09 20:02:08,17.83,-9.44
2024-10-09 20:02:09,17.8,-9.5
2024-10-09 20:02:10,17.82,-9.5
2024-10-09 20:02:11,17.8,-9.6
2024-10-09 20:02:12,17.82,-9.72
2024-10-09 20:02:13,17.82,-9.83
2024-10-09 20:02:14,17.8,-9.89
2024-10-09 20:02:15,17.82,-9.92
2024-10-09 20:02:16,17.82,-9.92
2024-10-09 20:02:17,17.82,-9.89
2024-10-09 20:02:18,17.8,-9.86
2024-10-09 20:02:19,17.84,-9.89
2024-10-09 20:02:20,17.82,-9.89
2024-10-09 20:02:21,17.82,-9.86
2024-10-09 20:02:22,17.79,-9.81
2024-10-09 20:02:23,17.8,-9.83
2024-10-09 20:02:24,17.83,-9.92
2024-10-09 20:02:25,17.82,-9.98
2024-10-09 20:02:26,17.82,-10.01
2024-10-09 20:02:27,17.83,-10.04
2024-10-09 20:02:28,17.82,-10.08
2024-10-09 20:02:29,17.82,-10.11
2024-10-09 20:02:30,17.82,-10.11
2024-10-09 20:02:31,17.82,-10.17
2024-10-09 20:02:32,17.8,-10.2
2024-10-09 20:02:33,17.82,-10.23
2024-10-09 20:02:34,17.8,-10.34
2024-10-09 20:02:35,17.78,-10.43
2024-10-09 20:02:36,17.8,-10.49
2024-10-09 20:02:37,17.79,-10.58
2024-10-09 20:02:38,17.82,-10.7
2024-10-09 20:02:39,17.82,-10.79
2024-10-09 20:02:40,17.8,-10.91
2024-10-09 20:02:41,17.8,-10.97
2024-10-09 20:02:42,17.82,-11.09
2024-10-09 20:02:43,17.79,-11.16
2024-10-09 20:02:44,17.79,-11.21
2024-10-09 20:02:45,17.79,-11.27
2024-10-09 20:02:46,17.82,-11.33
2024-10-09 20:02:47,17.82,-11.36
2024-10-09 20:02:48,17.82,-11.45
2024-10-09 20:02:49,17.82,-11.51
2024-10-09 20:02:50,17.82,-11.57
2024-10-09 20:02:51,17.8,-11.59
2024-10-09 20:02:52,17.82,-11.66
2024-10-09 20:02:53,17.83,-11.72
2024-10-09 20:02:54,17.8,-11.72
2024-10-09 20:02:55,17.79,-11.78
2024-10-09 20:02:56,17.79,-11.81
2024-10-09 20:02:57,17.79,-11.75
2024-10-09 20:02:58,17.79,-11.78
2024-10-09 20:02:59,17.78,-11.72
2024-10-09 20:03:00,17.82,-11.72
2024-10-09 20:03:01,17.79,-11.75
