File name: mvilanova_n53csic_2024-07-01T21:29:10_2024-07-31T23:47:22

User: mvilanova

Sensor: n53csic[FC:CB:2A:16:06:22]

Dive: 2 inmersiones. St Feliu / Sa Tuna
Dive date range: 2024-07-01 21:29:10 - 2024-07-31 23:47:22 (UTC +02:00)

"Location: 40.416775,-3.70379"

Summary: 
"Duration: 30 days, 2:18:12 h."
Temp: 20.21 c (min.) 26.22 c (max.) 
Depth: -21.34 m (max.)

date,temperature(c),depth(m)
2024-07-01 21:29:10,26.22,-1.13
2024-07-01 21:29:11,26.07,-1.04
2024-07-01 21:29:12,25.85,-1.01
2024-07-01 21:29:13,25.73,-1.07
2024-07-01 21:29:14,25.54,-1.07
2024-07-01 21:29:15,25.43,-1.07
2024-07-01 21:29:16,25.36,-1.01
2024-07-01 21:29:17,25.3,-1.01
2024-07-01 21:29:18,25.23,-0.95
2024-07-01 21:29:19,25.16,-0.95
2024-07-01 21:29:20,25.1,-1.07
2024-07-01 21:29:21,25.03,-1.04
2024-07-01 21:29:22,25.0,-1.01
2024-07-01 21:29:23,24.97,-1.01
2024-07-01 21:29:24,24.92,-1.01
2024-07-01 21:29:25,24.87,-0.95
2024-07-01 21:29:26,24.86,-0.98
2024-07-01 21:29:27,24.83,-1.07
2024-07-01 21:29:28,24.79,-1.04
2024-07-01 21:29:29,24.76,-0.98
2024-07-01 21:29:30,24.74,-0.98
2024-07-01 21:29:31,24.69,-0.92
2024-07-01 21:29:32,24.65,-1.11
2024-07-01 21:29:33,24.63,-0.99
2024-07-01 21:29:34,24.56,-1.08
2024-07-01 21:29:35,24.39,-1.14
2024-07-01 21:29:36,24.28,-1.11
2024-07-01 21:29:37,24.23,-1.11
2024-07-01 21:29:38,24.21,-1.08
2024-07-01 21:29:39,24.19,-1.08
2024-07-01 21:29:40,24.17,-1.11
2024-07-01 21:29:41,24.17,-1.14
2024-07-01 21:29:42,24.16,-1.08
2024-07-01 21:29:43,24.15,-1.08
2024-07-01 21:29:44,24.13,-1.05
2024-07-01 21:29:45,24.13,-1.02
2024-07-01 21:29:46,24.14,-1.11
2024-07-01 21:29:47,24.13,-1.05
2024-07-01 21:29:48,24.12,-1.08
2024-07-01 21:29:49,24.11,-1.02
2024-07-01 21:29:50,24.09,-1.05
