File name: mvilanova_n53csic_2024-08-25T08:58:45_2024-08-25T11:14:24

User: mvilanova

Sensor: n53csic[FC:CB:2A:16:06:22]

Dive: Cala Margarida
Dive date range: 2024-08-25 08:58:45 - 2024-08-25 11:14:24 (UTC +02:00)

"Location: 41.848271,3.140531"

Summary: 
Duration: 2:15:39 h.
Temp: 19.07 c (min.) 32.39 c (max.) 
Depth: -29.36 m (max.)

date,temperature(c),depth(m)
2024-08-25 08:58:45,24.1,-1.44
2024-08-25 08:58:46,24.11,-1.59
2024-08-25 08:58:47,24.11,-1.74
2024-08-25 08:58:48,24.14,-1.74
2024-08-25 08:58:49,24.1,-1.87
2024-08-25 08:58:50,24.1,-2.05
2024-08-25 08:58:51,24.12,-2.02
2024-08-25 08:58:52,24.12,-1.99
2024-08-25 08:58:53,24.13,-2.02
2024-08-25 08:58:54,24.12,-2.11
2024-08-25 08:58:55,24.12,-2.17
2024-08-25 08:58:56,24.1,-2.14
2024-08-25 08:58:57,24.12,-2.23
2024-08-25 08:58:58,24.11,-2.14
2024-08-25 08:58:59,24.12,-2.23
2024-08-25 08:59:00,24.11,-2.2
2024-08-25 08:59:01,24.11,-2.17
2024-08-25 08:59:02,24.1,-2.14
2024-08-25 08:59:03,24.12,-2.17
2024-08-25 08:59:04,24.13,-2.33
2024-08-25 08:59:05,24.12,-2.33
2024-08-25 08:59:06,24.13,-2.29
2024-08-25 08:59:07,24.12,-2.42
2024-08-25 08:59:08,24.13,-2.42
2024-08-25 08:59:09,24.12,-2.48
2024-08-25 08:59:10,24.13,-2.45
2024-08-25 08:59:11,24.14,-2.36
2024-08-25 08:59:12,24.12,-2.36
2024-08-25 08:59:13,24.14,-2.48
2024-08-25 08:59:14,24.11,-2.54
2024-08-25 08:59:15,24.13,-2.45
2024-08-25 08:59:16,24.12,-2.48
2024-08-25 08:59:17,24.12,-2.51
2024-08-25 08:59:18,24.12,-2.66
2024-08-25 08:59:19,24.12,-2.72
2024-08-25 08:59:20,24.13,-2.63
2024-08-25 08:59:21,24.13,-2.57
2024-08-25 08:59:22,24.14,-2.57
2024-08-25 08:59:23,24.14,-2.54
2024-08-25 08:59:24,24.12,-2.54
2024-08-25 08:59:25,24.13,-2.48
2024-08-25 08:59:26,24.12,-2.48
2024-08-25 08:59:27,24.14,-2.54
2024-08-25 08:59:28,24.14,-2.54
2024-08-25 08:59:29,24.14,-2.66
2024-08-25 08:59:30,24.13,-2.75
2024-08-25 08:59:31,24.14,-2.75
2024-08-25 08:59:32,24.14,-2.72
2024-08-25 08:59:33,24.15,-2.69
2024-08-25 08:59:34,24.14,-2.72
2024-08-25 08:59:35,24.14,-2.75
2024-08-25 08:59:36,24.14,-2.75
2024-08-25 08:59:37,24.13,-2.75
2024-08-25 08:59:38,24.14,-2.72
2024-08-25 08:59:39,24.14,-2.75
2024-08-25 08:59:40,24.14,-2.72
2024-08-25 08:59:41,24.14,-2.75
2024-08-25 08:59:42,24.14,-2.75
2024-08-25 08:59:43,24.14,-2.81
2024-08-25 08:59:44,24.14,-2.78
2024-08-25 08:59:45,24.14,-2.75
2024-08-25 08:59:46,24.16,-2.78
2024-08-25 08:59:47,24.16,-2.88
2024-08-25 08:59:48,24.14,-2.85
2024-08-25 08:59:49,24.14,-2.88
2024-08-25 08:59:50,24.15,-2.85
2024-08-25 08:59:51,24.12,-2.81
2024-08-25 08:59:52,24.17,-2.78
2024-08-25 08:59:53,24.15,-2.81
2024-08-25 08:59:54,24.15,-2.72
2024-08-25 08:59:55,24.17,-2.69
2024-08-25 08:59:56,24.16,-2.72
2024-08-25 08:59:57,24.16,-2.72
2024-08-25 08:59:58,24.16,-2.81
2024-08-25 08:59:59,24.17,-2.91
2024-08-25 09:00:00,24.17,-3.03
2024-08-25 09:00:01,24.17,-3.09
2024-08-25 09:00:02,24.17,-3.28
2024-08-25 09:00:03,24.15,-3.37
2024-08-25 09:00:04,24.16,-3.56
2024-08-25 09:00:05,24.17,-3.8
2024-08-25 09:00:06,24.17,-4.14
2024-08-25 09:00:07,24.18,-4.45
2024-08-25 09:00:08,24.17,-4.63
2024-08-25 09:00:09,24.17,-4.78
2024-08-25 09:00:10,24.16,-4.97
2024-08-25 09:00:11,24.17,-5.15
2024-08-25 09:00:12,24.17,-5.21
2024-08-25 09:00:13,24.17,-5.15
2024-08-25 09:00:14,24.17,-5.06
2024-08-25 09:00:15,24.19,-5.06
2024-08-25 09:00:16,24.17,-5.09
2024-08-25 09:00:17,24.19,-5.15
2024-08-25 09:00:18,24.17,-5.12
2024-08-25 09:00:19,24.17,-5.12
2024-08-25 09:00:20,24.18,-5.12
2024-08-25 09:00:21,24.17,-5.06
2024-08-25 09:00:22,24.17,-5.12
2024-08-25 09:00:23,24.19,-5.12
2024-08-25 09:00:24,24.19,-5.18
2024-08-25 09:00:25,24.17,-5.12
