File name: mvilanova_n57inaki1_2024-09-18T16:45:50_2024-09-18T18:00:11

User: mvilanova

Sensor: n57inaki1[DC:DD:4B:7F:C4:95]

Dive: Pere Grau
Dive date range: 2024-09-18 16:45:50 - 2024-09-18 18:00:11 (UTC +02:00)

"Location: 41.842273,3.128186"

Summary: 
Duration: 1:14:21 h.
Temp: 21.77 c (min.) 23.64 c (max.) 
Depth: -20.72 m (max.)

date,temperature(c),depth(m)
2024-09-18 16:45:50,23.6,-1.13
2024-09-18 16:45:51,23.6,-1.37
2024-09-18 16:45:52,23.62,-1.55
2024-09-18 16:45:53,23.59,-1.7
2024-09-18 16:45:54,23.62,-1.83
2024-09-18 16:45:55,23.6,-1.92
2024-09-18 16:45:56,23.6,-2.04
2024-09-18 16:45:57,23.62,-2.1
2024-09-18 16:45:58,23.62,-2.16
2024-09-18 16:45:59,23.62,-2.25
2024-09-18 16:46:00,23.63,-2.41
2024-09-18 16:46:01,23.63,-2.41
2024-09-18 16:46:02,23.6,-2.31
2024-09-18 16:46:03,23.6,-2.25
2024-09-18 16:46:04,23.6,-2.19
2024-09-18 16:46:05,23.64,-2.22
2024-09-18 16:46:06,23.62,-2.28
2024-09-18 16:46:07,23.63,-2.31
2024-09-18 16:46:08,23.62,-2.19
2024-09-18 16:46:09,23.62,-2.1
2024-09-18 16:46:10,23.63,-2.04
2024-09-18 16:46:11,23.63,-2.07
2024-09-18 16:46:12,23.62,-2.13
2024-09-18 16:46:13,23.6,-2.1
2024-09-18 16:46:14,23.63,-2.04
2024-09-18 16:46:15,23.6,-2.1
2024-09-18 16:46:16,23.6,-2.13
2024-09-18 16:46:17,23.6,-2.16
2024-09-18 16:46:18,23.6,-2.25
2024-09-18 16:46:19,23.6,-2.25
2024-09-18 16:46:20,23.62,-2.25
2024-09-18 16:46:21,23.62,-2.22
2024-09-18 16:46:22,23.62,-2.31
2024-09-18 16:46:23,23.63,-2.38
2024-09-18 16:46:24,23.6,-2.31
2024-09-18 16:46:25,23.62,-2.25
2024-09-18 16:46:26,23.6,-2.25
2024-09-18 16:46:27,23.64,-2.16
2024-09-18 16:46:28,23.63,-2.16
2024-09-18 16:46:29,23.6,-2.22
2024-09-18 16:46:30,23.62,-2.35
2024-09-18 16:46:31,23.62,-2.35
2024-09-18 16:46:32,23.63,-2.28
2024-09-18 16:46:33,23.6,-2.22
2024-09-18 16:46:34,23.62,-2.13
2024-09-18 16:46:35,23.6,-2.1
2024-09-18 16:46:36,23.62,-2.1
2024-09-18 16:46:37,23.6,-2.07
2024-09-18 16:46:38,23.6,-2.28
2024-09-18 16:46:39,23.6,-2.28
2024-09-18 16:46:40,23.6,-2.13
2024-09-18 16:46:41,23.59,-2.07
2024-09-18 16:46:42,23.62,-2.04
2024-09-18 16:46:43,23.62,-2.07
2024-09-18 16:46:44,23.6,-2.13
2024-09-18 16:46:45,23.62,-2.31
2024-09-18 16:46:46,23.6,-2.41
2024-09-18 16:46:47,23.6,-2.41
2024-09-18 16:46:48,23.6,-2.28
2024-09-18 16:46:49,23.6,-2.28
2024-09-18 16:46:50,23.6,-2.28
2024-09-18 16:46:51,23.6,-2.41
2024-09-18 16:46:52,23.59,-2.47
2024-09-18 16:46:53,23.6,-2.47
2024-09-18 16:46:54,23.57,-2.53
2024-09-18 16:46:55,23.6,-2.5
2024-09-18 16:46:56,23.6,-2.44
2024-09-18 16:46:57,23.6,-2.41
2024-09-18 16:46:58,23.6,-2.5
2024-09-18 16:46:59,23.62,-2.56
2024-09-18 16:47:00,23.6,-2.68
2024-09-18 16:47:01,23.62,-2.74
2024-09-18 16:47:02,23.6,-2.71
2024-09-18 16:47:03,23.6,-2.71
2024-09-18 16:47:04,23.58,-2.65
2024-09-18 16:47:05,23.58,-2.65
2024-09-18 16:47:06,23.58,-2.74
2024-09-18 16:47:07,23.62,-2.77
2024-09-18 16:47:08,23.58,-2.8
2024-09-18 16:47:09,23.6,-2.83
2024-09-18 16:47:10,23.6,-2.9
2024-09-18 16:47:11,23.58,-2.87
2024-09-18 16:47:12,23.57,-2.83
2024-09-18 16:47:13,23.58,-2.87
2024-09-18 16:47:14,23.58,-3.05
2024-09-18 16:47:15,23.59,-3.11
2024-09-18 16:47:16,23.57,-3.08
2024-09-18 16:47:17,23.59,-3.08
2024-09-18 16:47:18,23.59,-3.11
2024-09-18 16:47:19,23.58,-3.11
2024-09-18 16:47:20,23.57,-3.16
2024-09-18 16:47:21,23.57,-3.14
2024-09-18 16:47:22,23.57,-3.22
2024-09-18 16:47:23,23.56,-3.31
2024-09-18 16:47:24,23.57,-3.38
2024-09-18 16:47:25,23.57,-3.41
2024-09-18 16:47:26,23.57,-3.44
2024-09-18 16:47:27,23.56,-3.59
2024-09-18 16:47:28,23.57,-3.74
2024-09-18 16:47:29,23.59,-3.74
2024-09-18 16:47:30,23.57,-3.68
2024-09-18 16:47:31,23.57,-3.68
2024-09-18 16:47:32,23.56,-3.74
2024-09-18 16:47:33,23.57,-3.8
2024-09-18 16:47:34,23.56,-3.9
2024-09-18 16:47:35,23.58,-3.9
2024-09-18 16:47:36,23.56,-3.83
2024-09-18 16:47:37,23.6,-3.77
2024-09-18 16:47:38,23.57,-3.83
2024-09-18 16:47:39,23.57,-3.96
2024-09-18 16:47:40,23.58,-4.05
2024-09-18 16:47:41,23.57,-3.99
2024-09-18 16:47:42,23.57,-3.93
2024-09-18 16:47:43,23.56,-3.99
2024-09-18 16:47:44,23.57,-4.14
2024-09-18 16:47:45,23.57,-4.26
2024-09-18 16:47:46,23.57,-4.26
2024-09-18 16:47:47,23.57,-4.23
2024-09-18 16:47:48,23.58,-4.05
2024-09-18 16:47:49,23.56,-4.02
2024-09-18 16:47:50,23.57,-3.99
2024-09-18 16:47:51,23.57,-4.08
2024-09-18 16:47:52,23.56,-4.2
2024-09-18 16:47:53,23.56,-4.38
2024-09-18 16:47:54,23.56,-4.42
2024-09-18 16:47:55,23.56,-4.45
2024-09-18 16:47:56,23.56,-4.42
2024-09-18 16:47:57,23.56,-4.38
2024-09-18 16:47:58,23.56,-4.38
2024-09-18 16:47:59,23.55,-4.48
2024-09-18 16:48:00,23.55,-4.51
2024-09-18 16:48:01,23.55,-4.48
2024-09-18 16:48:02,23.55,-4.45
2024-09-18 16:48:03,23.55,-4.42
2024-09-18 16:48:04,23.55,-4.42
2024-09-18 16:48:05,23.53,-4.51
2024-09-18 16:48:06,23.55,-4.51
2024-09-18 16:48:07,23.54,-4.54
2024-09-18 16:48:08,23.55,-4.54
2024-09-18 16:48:09,23.53,-4.66
2024-09-18 16:48:10,23.54,-4.72
2024-09-18 16:48:11,23.56,-4.81
2024-09-18 16:48:12,23.57,-4.94
2024-09-18 16:48:13,23.56,-5.0
2024-09-18 16:48:14,23.53,-4.9
2024-09-18 16:48:15,23.55,-4.84
2024-09-18 16:48:16,23.54,-4.94
2024-09-18 16:48:17,23.53,-5.08
2024-09-18 16:48:18,23.53,-5.11
2024-09-18 16:48:19,23.54,-5.0
2024-09-18 16:48:20,23.54,-4.9
2024-09-18 16:48:21,23.56,-4.84
2024-09-18 16:48:22,23.56,-4.94
2024-09-18 16:48:23,23.54,-5.05
2024-09-18 16:48:24,23.53,-5.08
2024-09-18 16:48:25,23.54,-5.08
2024-09-18 16:48:26,23.54,-5.0
2024-09-18 16:48:27,23.54,-5.08
2024-09-18 16:48:28,23.56,-5.08
2024-09-18 16:48:29,23.53,-5.17
2024-09-18 16:48:30,23.56,-5.26
2024-09-18 16:48:31,23.53,-5.29
2024-09-18 16:48:32,23.53,-5.26
2024-09-18 16:48:33,23.54,-5.26
2024-09-18 16:48:34,23.55,-5.35
2024-09-18 16:48:35,23.53,-5.41
2024-09-18 16:48:36,23.53,-5.54
2024-09-18 16:48:37,23.53,-5.63
2024-09-18 16:48:38,23.53,-5.63
2024-09-18 16:48:39,23.54,-5.57
2024-09-18 16:48:40,23.54,-5.6
2024-09-18 16:48:41,23.54,-5.72
2024-09-18 16:48:42,23.54,-5.78
2024-09-18 16:48:43,23.53,-5.87
2024-09-18 16:48:44,23.53,-5.87
2024-09-18 16:48:45,23.53,-5.75
2024-09-18 16:48:46,23.53,-5.72
2024-09-18 16:48:47,23.56,-5.72
2024-09-18 16:48:48,23.55,-5.84
2024-09-18 16:48:49,23.55,-6.06
2024-09-18 16:48:50,23.54,-6.06
2024-09-18 16:48:51,23.53,-5.97
2024-09-18 16:48:52,23.52,-5.97
2024-09-18 16:48:53,23.53,-5.93
2024-09-18 16:48:54,23.55,-6.0
2024-09-18 16:48:55,23.53,-6.09
2024-09-18 16:48:56,23.55,-6.06
2024-09-18 16:48:57,23.53,-5.97
2024-09-18 16:48:58,23.54,-5.93
2024-09-18 16:48:59,23.53,-5.9
2024-09-18 16:49:00,23.53,-5.97
2024-09-18 16:49:01,23.55,-5.93
2024-09-18 16:49:02,23.54,-6.0
2024-09-18 16:49:03,23.54,-6.03
2024-09-18 16:49:04,23.53,-6.0
2024-09-18 16:49:05,23.54,-5.97
2024-09-18 16:49:06,23.53,-5.97
2024-09-18 16:49:07,23.54,-6.0
2024-09-18 16:49:08,23.56,-6.03
2024-09-18 16:49:09,23.54,-6.0
2024-09-18 16:49:10,23.53,-6.06
2024-09-18 16:49:11,23.54,-6.12
2024-09-18 16:49:12,23.54,-6.15
2024-09-18 16:49:13,23.54,-6.15
2024-09-18 16:49:14,23.54,-6.18
2024-09-18 16:49:15,23.54,-6.03
2024-09-18 16:49:16,23.55,-5.81
2024-09-18 16:49:17,23.54,-5.63
2024-09-18 16:49:18,23.56,-5.6
2024-09-18 16:49:19,23.53,-5.54
2024-09-18 16:49:20,23.53,-5.45
2024-09-18 16:49:21,23.54,-5.48
2024-09-18 16:49:22,23.54,-5.38
2024-09-18 16:49:23,23.55,-5.23
2024-09-18 16:49:24,23.53,-5.17
2024-09-18 16:49:25,23.53,-5.02
2024-09-18 16:49:26,23.54,-5.02
2024-09-18 16:49:27,23.53,-4.97
2024-09-18 16:49:28,23.53,-4.9
2024-09-18 16:49:29,23.54,-4.97
2024-09-18 16:49:30,23.54,-4.94
2024-09-18 16:49:31,23.53,-4.81
2024-09-18 16:49:32,23.54,-4.78
2024-09-18 16:49:33,23.55,-4.81
2024-09-18 16:49:34,23.53,-4.81
2024-09-18 16:49:35,23.54,-4.78
2024-09-18 16:49:36,23.55,-4.81
2024-09-18 16:49:37,23.56,-4.87
2024-09-18 16:49:38,23.54,-4.87
2024-09-18 16:49:39,23.53,-4.84
2024-09-18 16:49:40,23.55,-4.78
2024-09-18 16:49:41,23.53,-4.75
2024-09-18 16:49:42,23.55,-4.72
2024-09-18 16:49:43,23.57,-4.63
2024-09-18 16:49:44,23.57,-4.69
2024-09-18 16:49:45,23.55,-4.78
2024-09-18 16:49:46,23.56,-4.81
2024-09-18 16:49:47,23.55,-4.75
2024-09-18 16:49:48,23.54,-4.57
2024-09-18 16:49:49,23.56,-4.48
2024-09-18 16:49:50,23.56,-4.38
2024-09-18 16:49:51,23.55,-4.32
2024-09-18 16:49:52,23.57,-4.26
2024-09-18 16:49:53,23.57,-4.26
2024-09-18 16:49:54,23.53,-4.23
2024-09-18 16:49:55,23.55,-4.29
2024-09-18 16:49:56,23.55,-4.35
2024-09-18 16:49:57,23.56,-4.32
2024-09-18 16:49:58,23.55,-4.26
2024-09-18 16:49:59,23.56,-4.23
2024-09-18 16:50:00,23.55,-4.26
2024-09-18 16:50:01,23.55,-4.29
