File name: mvilanova_n57inaki1_2024-09-19T10:17:52_2024-09-19T11:09:42

User: mvilanova

Sensor: n57inaki1[DC:DD:4B:7F:C4:95]

Dive: Ullastres 3
Dive date range: 2024-09-19 10:17:52 - 2024-09-19 11:09:42 (UTC +02:00)

"Location: 41.887852,3.19908"

Summary: 
Duration: 0:51:50 h.
Temp: 19.07 c (min.) 22.25 c (max.) 
Depth: -27.96 m (max.)

date,temperature(c),depth(m)
2024-09-19 10:17:52,22.24,-1.73
2024-09-19 10:17:53,22.25,-1.83
2024-09-19 10:17:54,22.23,-1.92
2024-09-19 10:17:55,22.24,-2.16
2024-09-19 10:17:56,22.15,-2.31
2024-09-19 10:17:57,22.12,-2.41
2024-09-19 10:17:58,22.1,-2.5
2024-09-19 10:17:59,22.09,-2.64
2024-09-19 10:18:00,22.1,-2.76
2024-09-19 10:18:01,22.07,-2.92
2024-09-19 10:18:02,22.08,-3.04
2024-09-19 10:18:03,22.07,-3.19
2024-09-19 10:18:04,22.07,-3.22
2024-09-19 10:18:05,22.07,-3.28
2024-09-19 10:18:06,22.07,-3.34
2024-09-19 10:18:07,22.07,-3.44
2024-09-19 10:18:08,22.02,-3.56
2024-09-19 10:18:09,22.0,-3.82
2024-09-19 10:18:10,21.92,-3.95
2024-09-19 10:18:11,21.89,-4.07
2024-09-19 10:18:12,21.86,-4.13
2024-09-19 10:18:13,21.85,-4.13
2024-09-19 10:18:14,21.84,-4.1
2024-09-19 10:18:15,21.78,-4.16
2024-09-19 10:18:16,21.73,-4.19
2024-09-19 10:18:17,21.61,-4.22
2024-09-19 10:18:18,21.57,-4.37
2024-09-19 10:18:19,21.53,-4.53
2024-09-19 10:18:20,21.48,-4.62
2024-09-19 10:18:21,21.44,-4.71
2024-09-19 10:18:22,21.4,-4.88
2024-09-19 10:18:23,21.38,-5.01
2024-09-19 10:18:24,21.32,-5.16
2024-09-19 10:18:25,21.25,-5.31
2024-09-19 10:18:26,21.2,-5.5
2024-09-19 10:18:27,21.07,-5.68
2024-09-19 10:18:28,20.91,-5.74
2024-09-19 10:18:29,20.88,-5.8
2024-09-19 10:18:30,20.84,-5.71
2024-09-19 10:18:31,20.82,-5.65
2024-09-19 10:18:32,20.84,-5.62
2024-09-19 10:18:33,20.85,-5.65
2024-09-19 10:18:34,20.88,-5.62
2024-09-19 10:18:35,20.86,-5.74
2024-09-19 10:18:36,20.87,-5.89
2024-09-19 10:18:37,20.87,-6.01
2024-09-19 10:18:38,20.87,-6.13
2024-09-19 10:18:39,20.89,-6.19
2024-09-19 10:18:40,20.85,-6.31
2024-09-19 10:18:41,20.82,-6.56
2024-09-19 10:18:42,20.73,-6.77
2024-09-19 10:18:43,20.67,-6.89
2024-09-19 10:18:44,20.69,-6.99
2024-09-19 10:18:45,20.75,-7.13
2024-09-19 10:18:46,20.75,-7.16
2024-09-19 10:18:47,20.74,-7.16
2024-09-19 10:18:48,20.74,-7.13
2024-09-19 10:18:49,20.75,-7.16
2024-09-19 10:18:50,20.73,-7.07
2024-09-19 10:18:51,20.75,-7.07
2024-09-19 10:18:52,20.73,-7.22
2024-09-19 10:18:53,20.7,-7.31
2024-09-19 10:18:54,20.67,-7.34
2024-09-19 10:18:55,20.63,-7.31
2024-09-19 10:18:56,20.63,-7.46
2024-09-19 10:18:57,20.61,-7.56
2024-09-19 10:18:58,20.57,-7.68
2024-09-19 10:18:59,20.58,-7.74
2024-09-19 10:19:00,20.55,-7.74
2024-09-19 10:19:01,20.54,-7.89
2024-09-19 10:19:02,20.53,-7.98
2024-09-19 10:19:03,20.5,-8.05
2024-09-19 10:19:04,20.46,-8.13
2024-09-19 10:19:05,20.46,-8.19
2024-09-19 10:19:06,20.45,-8.28
2024-09-19 10:19:07,20.44,-8.4
2024-09-19 10:19:08,20.45,-8.53
