File name: mvilanova_n60inaki1_2024-10-16T10:14:05_2024-10-16T11:04:05

User: mvilanova

Sensor: n60inaki1[FC:E2:EE:7F:28:8B]

Dive: Prueba
Dive date range: 2024-10-16 10:14:05 - 2024-10-16 11:04:05 (UTC +02:00)

"Location: 40.416775,-3.70379"

Summary: 
Duration: 0:50:00 h.
Temp: 22.92 c (min.) 23.19 c (max.) 
Depth: -0.3 m (max.)

date,temperature(c),depth(m)
2024-10-16 10:14:05,22.92,-0.3
2024-10-16 10:24:05,22.93,-0.27
2024-10-16 10:34:05,23.0,-0.3
2024-10-16 10:44:05,23.15,-0.29
2024-10-16 10:54:05,23.19,-0.25
2024-10-16 11:04:05,23.17,-0.25
