File name: paula_lopez_n52csic_2024-10-15T10:18:57_2024-10-15T11:03:22

User: paula_lopez

Sensor: n52csic[None]

Dive: Jardín de la gorgonia
Dive date range: 2024-10-15 10:18:57 - 2024-10-15 11:03:22 (UTC +02:00)

"Location: 35.927669,-5.373572"

Summary: 
Duration: 0:44:25 h.
Temp: 17.53 c (min.) 18.63 c (max.) 
Depth: -30.46 m (max.)

date,temperature(c),depth(m)
2024-10-15 10:18:57,18.35,-1.44
2024-10-15 10:18:58,18.32,-1.71
2024-10-15 10:18:59,18.27,-1.79
2024-10-15 10:19:00,18.21,-2.07
2024-10-15 10:19:01,18.15,-2.27
2024-10-15 10:19:02,18.1,-2.55
2024-10-15 10:19:03,18.08,-2.75
2024-10-15 10:19:04,18.03,-2.94
2024-10-15 10:19:05,17.97,-3.09
2024-10-15 10:19:06,17.97,-3.09
2024-10-15 10:19:07,17.96,-3.23
2024-10-15 10:19:08,17.94,-3.51
2024-10-15 10:19:09,17.92,-3.66
2024-10-15 10:19:10,17.94,-3.77
2024-10-15 10:19:11,17.92,-3.74
2024-10-15 10:19:12,17.9,-3.83
2024-10-15 10:19:13,17.89,-4.08
2024-10-15 10:19:14,17.89,-4.19
2024-10-15 10:19:15,17.88,-4.34
2024-10-15 10:19:16,17.88,-4.41
2024-10-15 10:19:17,17.87,-4.34
2024-10-15 10:19:18,17.85,-4.37
2024-10-15 10:19:19,17.85,-4.47
2024-10-15 10:19:20,17.85,-4.41
2024-10-15 10:19:21,17.85,-4.41
2024-10-15 10:19:22,17.85,-4.25
2024-10-15 10:19:23,17.85,-4.25
2024-10-15 10:19:24,17.84,-4.22
2024-10-15 10:19:25,17.85,-4.37
2024-10-15 10:19:26,17.84,-4.58
2024-10-15 10:19:27,17.82,-4.73
2024-10-15 10:19:28,17.83,-4.85
2024-10-15 10:19:29,17.83,-4.88
2024-10-15 10:19:30,17.83,-4.82
2024-10-15 10:19:31,17.83,-4.64
2024-10-15 10:19:32,17.83,-4.67
2024-10-15 10:19:33,17.82,-4.82
2024-10-15 10:19:34,17.82,-5.03
2024-10-15 10:19:35,17.82,-5.18
2024-10-15 10:19:36,17.84,-5.33
2024-10-15 10:19:37,17.82,-5.54
2024-10-15 10:19:38,17.8,-5.81
2024-10-15 10:19:39,17.83,-5.99
2024-10-15 10:19:40,17.78,-6.02
2024-10-15 10:19:41,17.83,-5.99
2024-10-15 10:19:42,17.82,-6.11
2024-10-15 10:19:43,17.82,-6.34
2024-10-15 10:19:44,17.83,-6.53
2024-10-15 10:19:45,17.83,-6.79
2024-10-15 10:19:46,17.82,-7.01
2024-10-15 10:19:47,17.82,-7.19
2024-10-15 10:19:48,17.82,-7.24
2024-10-15 10:19:49,17.82,-7.3
2024-10-15 10:19:50,17.82,-7.33
2024-10-15 10:19:51,17.82,-7.33
2024-10-15 10:19:52,17.82,-7.45
2024-10-15 10:19:53,17.82,-7.64
2024-10-15 10:19:54,17.82,-7.84
2024-10-15 10:19:55,17.82,-8.06
2024-10-15 10:19:56,17.8,-8.12
2024-10-15 10:19:57,17.8,-8.26
2024-10-15 10:19:58,17.8,-8.5
2024-10-15 10:19:59,17.79,-8.77
2024-10-15 10:20:00,17.79,-8.68
2024-10-15 10:20:01,17.78,-8.77
2024-10-15 10:20:02,17.79,-8.92
2024-10-15 10:20:03,17.79,-9.03
2024-10-15 10:20:04,17.77,-9.07
2024-10-15 10:20:05,17.77,-9.4
2024-10-15 10:20:06,17.78,-9.64
2024-10-15 10:20:07,17.78,-9.91
2024-10-15 10:20:08,17.78,-10.27
2024-10-15 10:20:09,17.76,-10.27
2024-10-15 10:20:10,17.76,-10.38
2024-10-15 10:20:11,17.78,-10.47
2024-10-15 10:20:12,17.75,-10.6
