File name: paula_lopez_n55inaki1_2024-10-16T10:12:00_2024-10-16T10:52:27

User: paula_lopez

Sensor: n55inaki1[None]

Dive: Ciclón de fuera
Dive date range: 2024-10-16 10:12:00 - 2024-10-16 10:52:27 (UTC +02:00)

"Location: 35.899332,-5.302319"

Summary: 
Duration: 0:40:27 h.
Temp: 16.98 c (min.) 18.07 c (max.) 
Depth: -33.67 m (max.)

date,temperature(c),depth(m)
2024-10-16 10:12:00,18.06,-2.47
2024-10-16 10:12:01,18.07,-2.86
2024-10-16 10:12:02,18.05,-3.1
2024-10-16 10:12:03,18.06,-3.24
2024-10-16 10:12:04,18.03,-3.55
2024-10-16 10:12:05,18.03,-3.84
2024-10-16 10:12:06,18.03,-4.0
2024-10-16 10:12:07,18.03,-4.09
2024-10-16 10:12:08,18.04,-4.15
2024-10-16 10:12:09,18.02,-4.29
2024-10-16 10:12:10,18.04,-4.63
2024-10-16 10:12:11,18.05,-4.86
2024-10-16 10:12:12,18.03,-4.96
2024-10-16 10:12:13,18.02,-5.05
2024-10-16 10:12:14,18.02,-5.17
2024-10-16 10:12:15,18.02,-5.47
2024-10-16 10:12:16,18.03,-5.71
2024-10-16 10:12:17,18.03,-5.74
2024-10-16 10:12:18,18.02,-6.01
2024-10-16 10:12:19,18.02,-6.34
2024-10-16 10:12:20,17.98,-6.61
2024-10-16 10:12:21,18.01,-6.79
2024-10-16 10:12:22,17.99,-7.06
2024-10-16 10:12:23,18.0,-7.44
2024-10-16 10:12:24,18.0,-7.78
2024-10-16 10:12:25,17.96,-8.14
2024-10-16 10:12:26,17.99,-8.38
2024-10-16 10:12:27,17.98,-8.56
2024-10-16 10:12:28,17.99,-8.68
2024-10-16 10:12:29,17.97,-8.8
2024-10-16 10:12:30,17.99,-8.92
2024-10-16 10:12:31,17.97,-9.13
2024-10-16 10:12:32,17.97,-9.34
2024-10-16 10:12:33,17.97,-9.46
2024-10-16 10:12:34,17.97,-9.46
2024-10-16 10:12:35,17.96,-9.43
2024-10-16 10:12:36,17.97,-9.4
2024-10-16 10:12:37,17.97,-9.51
2024-10-16 10:12:38,17.95,-9.61
2024-10-16 10:12:39,17.95,-9.73
2024-10-16 10:12:40,17.96,-9.76
2024-10-16 10:12:41,17.96,-9.91
2024-10-16 10:12:42,17.95,-10.05
2024-10-16 10:12:43,17.93,-10.27
2024-10-16 10:12:44,17.93,-10.5
2024-10-16 10:12:45,17.92,-10.69
2024-10-16 10:12:46,17.92,-10.78
2024-10-16 10:12:47,17.91,-10.78
2024-10-16 10:12:48,17.9,-10.87
2024-10-16 10:12:49,17.93,-10.93
2024-10-16 10:12:50,17.91,-10.98
2024-10-16 10:12:51,17.91,-11.11
2024-10-16 10:12:52,17.91,-11.14
2024-10-16 10:12:53,17.91,-11.29
2024-10-16 10:12:54,17.9,-11.43
2024-10-16 10:12:55,17.89,-11.55
2024-10-16 10:12:56,17.9,-11.61
2024-10-16 10:12:57,17.88,-11.74
2024-10-16 10:12:58,17.88,-11.83
2024-10-16 10:12:59,17.89,-11.83
2024-10-16 10:13:00,17.89,-11.71
2024-10-16 10:13:01,17.89,-11.52
2024-10-16 10:13:02,17.89,-11.4
2024-10-16 10:13:03,17.89,-11.43
2024-10-16 10:13:04,17.89,-11.4
2024-10-16 10:13:05,17.89,-11.4
2024-10-16 10:13:06,17.88,-11.46
