File name: sd_tossa_n33csic_1970-01-01T02:23:40_1970-01-01T03:33:40

User: sd_tossa

Sensor: n33csic[DA:4B:8D:59:24:D0]

Dive: mar menuda 24/09
Dive date range: 1970-01-01 02:23:40 - 1970-01-01 03:33:40 (UTC +02:00)

"Location: 41.721676,2.939587"

Summary: 
Duration: 1:10:00 h.
Temp: 22.26 c (min.) 24.17 c (max.) 
Depth: -6.44 m (max.)

date,temperature(c),depth(m)
1970-01-01 02:23:40,23.35,-1.07
1970-01-01 02:24:40,23.39,-1.68
1970-01-01 02:25:40,23.38,-2.75
1970-01-01 02:26:40,23.32,-1.5
1970-01-01 02:27:40,23.34,-2.69
1970-01-01 02:28:40,23.32,-2.72
1970-01-01 02:29:40,23.32,-2.75
1970-01-01 02:30:40,23.32,-3.03
1970-01-01 02:31:40,23.35,-3.27
1970-01-01 02:32:40,23.35,-3.12
1970-01-01 02:33:40,23.31,-3.06
1970-01-01 02:34:40,23.3,-3.06
1970-01-01 02:35:40,23.34,-1.41
1970-01-01 02:36:40,23.29,-2.94
1970-01-01 02:37:40,23.29,-3.7
1970-01-01 02:38:40,23.28,-2.72
1970-01-01 02:39:40,23.31,-4.36
1970-01-01 02:40:40,23.3,-5.01
1970-01-01 02:41:40,23.3,-5.34
1970-01-01 02:42:40,23.29,-5.53
1970-01-01 02:43:40,23.28,-5.77
1970-01-01 02:44:40,23.28,-5.86
1970-01-01 02:45:40,23.28,-5.86
1970-01-01 02:46:40,23.27,-5.07
1970-01-01 02:47:40,23.29,-6.05
1970-01-01 02:48:40,23.26,-5.13
1970-01-01 02:49:40,23.29,-4.82
1970-01-01 02:50:40,23.28,-4.79
1970-01-01 02:51:40,23.28,-5.22
1970-01-01 02:52:40,23.31,-5.37
1970-01-01 02:53:40,23.32,-5.44
1970-01-01 02:54:40,23.3,-4.95
1970-01-01 02:55:40,23.32,-5.59
1970-01-01 02:56:40,23.28,-5.99
1970-01-01 02:57:40,23.28,-6.32
1970-01-01 02:58:40,23.27,-6.44
1970-01-01 02:59:40,23.27,-6.29
1970-01-01 03:00:40,23.29,-6.14
1970-01-01 03:01:40,23.3,-5.96
1970-01-01 03:02:40,23.31,-5.13
1970-01-01 03:03:40,23.32,-4.92
1970-01-01 03:04:40,23.32,-3.91
1970-01-01 03:05:40,23.32,-3.81
1970-01-01 03:06:40,23.32,-3.64
1970-01-01 03:07:40,23.34,-0.76
1970-01-01 03:08:40,23.46,-0.61
1970-01-01 03:09:40,23.45,-0.44
1970-01-01 03:10:40,23.2,-0.22
1970-01-01 03:11:40,22.86,-0.19
1970-01-01 03:12:40,22.67,-0.19
1970-01-01 03:13:40,22.45,-0.19
1970-01-01 03:14:40,22.32,-0.18
1970-01-01 03:15:40,22.34,-0.21
1970-01-01 03:16:40,22.26,-0.18
1970-01-01 03:17:40,22.49,-0.21
1970-01-01 03:18:40,22.77,-0.22
1970-01-01 03:19:40,23.1,-0.22
1970-01-01 03:20:40,22.9,-0.19
1970-01-01 03:21:40,23.58,-0.19
1970-01-01 03:22:40,23.86,-0.13
1970-01-01 03:23:40,24.01,-0.16
1970-01-01 03:24:40,24.17,-0.16
1970-01-01 03:25:40,23.88,-0.19
1970-01-01 03:26:40,23.35,-0.19
1970-01-01 03:27:40,23.3,-0.16
1970-01-01 03:28:40,23.16,-0.19
1970-01-01 03:29:40,23.09,-0.19
1970-01-01 03:30:40,23.1,-0.19
1970-01-01 03:31:40,23.21,-0.19
1970-01-01 03:32:40,23.61,-0.19
1970-01-01 03:33:40,23.52,-0.19
