File name: sd_tossa_n33csic_2024-09-06T17:28:07_2024-09-06T18:22:14

User: sd_tossa

Sensor: n33csic[DA:4B:8D:59:24:D0]

Dive: mar menuda
Dive date range: 2024-09-06 17:28:07 - 2024-09-06 18:22:14 (UTC +02:00)

"Location: 41.72176,2.938883"

Summary: 
Duration: 0:54:07 h.
Temp: 23.54 c (min.) 25.79 c (max.) 
Depth: -5.77 m (max.)

date,temperature(c),depth(m)
2024-09-06 17:28:07,25.73,-1.36
2024-09-06 17:28:08,25.72,-1.14
2024-09-06 17:28:09,25.73,-1.17
2024-09-06 17:28:10,25.72,-1.17
2024-09-06 17:28:11,25.72,-1.2
2024-09-06 17:28:12,25.72,-0.96
2024-09-06 17:28:13,25.71,-0.78
2024-09-06 17:28:14,25.72,-0.81
2024-09-06 17:28:15,25.72,-0.84
2024-09-06 17:28:16,25.71,-0.99
2024-09-06 17:28:17,25.71,-1.08
2024-09-06 17:28:18,25.74,-1.2
2024-09-06 17:28:19,25.74,-1.05
2024-09-06 17:28:20,25.72,-0.93
2024-09-06 17:28:21,25.72,-0.96
2024-09-06 17:28:22,25.72,-0.93
2024-09-06 17:28:23,25.73,-0.9
2024-09-06 17:28:24,25.72,-0.93
2024-09-06 17:28:25,25.73,-1.02
2024-09-06 17:28:26,25.74,-1.08
2024-09-06 17:28:27,25.71,-1.02
2024-09-06 17:28:28,25.73,-0.96
2024-09-06 17:28:29,25.73,-0.96
2024-09-06 17:28:30,25.72,-1.02
2024-09-06 17:28:31,25.72,-0.99
2024-09-06 17:28:32,25.72,-0.87
2024-09-06 17:28:33,25.71,-0.87
2024-09-06 17:28:34,25.73,-0.96
2024-09-06 17:28:35,25.72,-1.05
2024-09-06 17:28:36,25.71,-1.2
2024-09-06 17:28:37,25.74,-1.36
2024-09-06 17:28:38,25.73,-1.54
2024-09-06 17:28:39,25.73,-1.63
2024-09-06 17:28:40,25.72,-1.72
2024-09-06 17:28:41,25.71,-1.85
2024-09-06 17:28:42,25.72,-2.06
2024-09-06 17:28:43,25.73,-2.3
2024-09-06 17:28:44,25.73,-2.49
2024-09-06 17:28:45,25.71,-2.58
2024-09-06 17:28:46,25.73,-2.52
2024-09-06 17:28:47,25.74,-2.61
2024-09-06 17:28:48,25.75,-2.76
2024-09-06 17:28:49,25.74,-2.89
2024-09-06 17:28:50,25.72,-2.92
2024-09-06 17:28:51,25.74,-3.1
2024-09-06 17:28:52,25.73,-3.32
2024-09-06 17:28:53,25.72,-3.29
2024-09-06 17:28:54,25.72,-3.01
2024-09-06 17:28:55,25.74,-2.98
2024-09-06 17:28:56,25.75,-3.2
2024-09-06 17:28:57,25.75,-3.35
2024-09-06 17:28:58,25.73,-3.35
2024-09-06 17:28:59,25.71,-3.32
2024-09-06 17:29:00,25.72,-3.26
2024-09-06 17:29:01,25.74,-3.2
2024-09-06 17:29:02,25.73,-3.23
2024-09-06 17:29:03,25.72,-3.17
2024-09-06 17:29:04,25.73,-3.23
2024-09-06 17:29:05,25.74,-3.45
2024-09-06 17:29:06,25.75,-3.45
2024-09-06 17:29:07,25.74,-3.51
2024-09-06 17:29:08,25.74,-3.45
2024-09-06 17:29:09,25.75,-3.32
2024-09-06 17:29:10,25.76,-3.32
2024-09-06 17:29:11,25.75,-3.39
2024-09-06 17:29:12,25.74,-3.48
2024-09-06 17:29:13,25.74,-3.39
2024-09-06 17:29:14,25.74,-3.29
2024-09-06 17:29:15,25.73,-3.26
2024-09-06 17:29:16,25.73,-3.48
2024-09-06 17:29:17,25.74,-3.51
2024-09-06 17:29:18,25.73,-3.35
2024-09-06 17:29:19,25.75,-3.32
2024-09-06 17:29:20,25.72,-3.42
2024-09-06 17:29:21,25.75,-3.54
2024-09-06 17:29:22,25.76,-3.54
2024-09-06 17:29:23,25.75,-3.48
2024-09-06 17:29:24,25.75,-3.26
2024-09-06 17:29:25,25.74,-3.26
2024-09-06 17:29:26,25.73,-3.48
2024-09-06 17:29:27,25.74,-3.66
2024-09-06 17:29:28,25.75,-3.6
2024-09-06 17:29:29,25.75,-3.35
2024-09-06 17:29:30,25.75,-3.2
2024-09-06 17:29:31,25.75,-3.35
2024-09-06 17:29:32,25.75,-3.48
2024-09-06 17:29:33,25.74,-3.42
2024-09-06 17:29:34,25.75,-3.42
2024-09-06 17:29:35,25.75,-3.6
2024-09-06 17:29:36,25.75,-3.66
2024-09-06 17:29:37,25.74,-3.57
2024-09-06 17:29:38,25.75,-3.42
2024-09-06 17:29:39,25.74,-3.32
2024-09-06 17:29:40,25.74,-3.39
2024-09-06 17:29:41,25.75,-3.57
2024-09-06 17:29:42,25.75,-3.69
2024-09-06 17:29:43,25.74,-3.51
2024-09-06 17:29:44,25.73,-3.23
2024-09-06 17:29:45,25.75,-3.23
2024-09-06 17:29:46,25.75,-3.48
2024-09-06 17:29:47,25.78,-3.66
2024-09-06 17:29:48,25.75,-3.51
2024-09-06 17:29:49,25.75,-3.32
2024-09-06 17:29:50,25.75,-3.51
