File name: sd_tossa_n41csic_2024-09-15T10:11:58_2024-09-15T10:15:27

User: sd_tossa

Sensor: n41csic[FB:D7:2F:BB:0F:E1]

Dive: mar menuda 15/09
Dive date range: 2024-09-15 10:11:58 - 2024-09-15 10:15:27 (UTC +02:00)

"Location: 41.721614,2.939636"

Summary: 
Duration: 0:03:29 h.
Temp: 21.53 c (min.) 25.26 c (max.) 
Depth: -21.44 m (max.)

date,temperature(c),depth(m)
2024-09-15 10:11:58,23.19,-1.59
2024-09-15 10:11:59,23.24,-1.0
2024-09-15 10:12:00,23.24,-1.5
2024-09-15 10:12:01,23.28,-2.03
2024-09-15 10:12:02,23.3,-1.44
2024-09-15 10:12:03,23.32,-1.41
2024-09-15 10:12:04,23.34,-2.81
2024-09-15 10:12:05,23.35,-2.35
2024-09-15 10:12:06,23.38,-3.23
2024-09-15 10:12:07,23.37,-1.26
2024-09-15 10:12:08,23.35,-2.67
2024-09-15 10:12:09,23.38,-3.05
2024-09-15 10:12:10,23.39,-3.61
2024-09-15 10:12:11,23.41,-4.61
2024-09-15 10:12:12,23.43,-5.11
2024-09-15 10:12:13,23.44,-5.47
2024-09-15 10:12:14,23.46,-5.59
2024-09-15 10:12:15,23.45,-6.0
2024-09-15 10:12:16,23.47,-6.43
2024-09-15 10:12:17,23.47,-6.23
2024-09-15 10:12:18,23.47,-6.56
2024-09-15 10:12:19,23.46,-7.14
2024-09-15 10:12:20,23.13,-9.09
2024-09-15 10:12:21,22.61,-9.7
2024-09-15 10:12:22,22.34,-11.17
2024-09-15 10:12:23,22.19,-12.84
2024-09-15 10:12:24,22.03,-11.31
2024-09-15 10:12:25,21.96,-13.78
2024-09-15 10:12:26,21.89,-16.0
2024-09-15 10:12:27,21.8,-16.39
2024-09-15 10:12:28,21.76,-16.53
2024-09-15 10:12:29,21.68,-17.58
2024-09-15 10:12:30,21.62,-17.52
2024-09-15 10:12:31,21.6,-17.35
2024-09-15 10:12:32,21.58,-17.22
2024-09-15 10:12:33,21.58,-15.61
2024-09-15 10:12:34,21.6,-14.24
2024-09-15 10:12:35,21.64,-15.2
2024-09-15 10:12:36,21.66,-14.42
2024-09-15 10:12:37,21.66,-14.03
2024-09-15 10:12:38,21.67,-13.45
2024-09-15 10:12:39,21.65,-12.39
2024-09-15 10:12:40,21.67,-11.48
2024-09-15 10:12:41,21.7,-2.4
2024-09-15 10:12:42,21.85,-11.31
2024-09-15 10:12:43,21.86,-9.14
2024-09-15 10:12:44,21.82,-9.64
2024-09-15 10:12:45,21.83,-7.88
2024-09-15 10:12:46,21.92,-6.71
2024-09-15 10:12:47,22.2,-5.18
2024-09-15 10:12:48,22.56,-4.62
2024-09-15 10:12:49,22.77,-5.68
2024-09-15 10:12:50,23.04,-6.15
2024-09-15 10:12:51,23.12,-5.79
2024-09-15 10:12:52,23.15,-5.82
2024-09-15 10:12:53,23.26,-4.73
2024-09-15 10:12:54,23.3,-3.41
2024-09-15 10:12:55,23.3,-1.94
2024-09-15 10:12:56,23.37,-0.85
2024-09-15 10:12:57,23.39,-0.58
2024-09-15 10:12:58,23.39,-0.67
2024-09-15 10:12:59,23.41,-0.67
2024-09-15 10:13:00,23.46,-0.58
2024-09-15 10:13:01,23.45,-0.47
2024-09-15 10:13:02,23.3,-0.41
2024-09-15 10:13:03,23.17,-0.44
2024-09-15 10:13:04,23.08,-0.44
2024-09-15 10:13:05,23.02,-0.41
2024-09-15 10:13:06,22.97,-0.42
2024-09-15 10:13:07,22.98,-0.39
2024-09-15 10:13:08,22.99,-0.42
2024-09-15 10:13:09,22.96,-0.42
2024-09-15 10:13:10,22.99,-0.42
2024-09-15 10:13:11,23.02,-0.42
2024-09-15 10:13:12,22.96,-0.39
2024-09-15 10:13:13,22.88,-0.42
2024-09-15 10:13:14,22.8,-0.39
2024-09-15 10:13:15,22.75,-0.39
2024-09-15 10:13:16,22.7,-0.42
2024-09-15 10:13:17,22.69,-0.39
2024-09-15 10:13:18,22.67,-0.42
2024-09-15 10:13:19,22.65,-0.36
2024-09-15 10:13:20,22.65,-0.39
2024-09-15 10:13:21,22.67,-0.42
2024-09-15 10:13:22,22.68,-0.39
2024-09-15 10:13:23,22.67,-0.39
2024-09-15 10:13:24,22.65,-0.39
2024-09-15 10:13:25,22.57,-0.42
2024-09-15 10:13:26,22.46,-0.42
2024-09-15 10:13:27,22.33,-0.4
2024-09-15 10:13:28,22.2,-0.4
2024-09-15 10:13:29,22.02,-0.4
2024-09-15 10:13:30,21.85,-0.37
2024-09-15 10:13:31,21.78,-0.38
2024-09-15 10:13:32,21.77,-0.41
2024-09-15 10:13:33,21.64,-0.41
2024-09-15 10:13:34,21.57,-0.44
2024-09-15 10:13:35,23.6,-0.69
2024-09-15 10:13:36,23.71,-0.76
2024-09-15 10:13:37,23.78,-0.61
2024-09-15 10:13:38,23.83,-0.75
2024-09-15 10:13:39,23.85,-3.31
2024-09-15 10:13:40,23.86,-3.58
2024-09-15 10:13:41,23.91,-4.78
2024-09-15 10:13:42,23.96,-5.7
2024-09-15 10:13:43,23.96,-5.97
2024-09-15 10:13:44,24.0,-5.87
2024-09-15 10:13:45,24.03,-6.23
2024-09-15 10:13:46,24.03,-6.03
2024-09-15 10:13:47,24.0,-6.47
2024-09-15 10:13:48,24.0,-8.56
2024-09-15 10:13:49,23.62,-9.65
2024-09-15 10:13:50,23.37,-9.12
2024-09-15 10:13:51,23.25,-11.18
2024-09-15 10:13:52,23.2,-10.05
