"Título de trazado: 21145698_L10"
"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 21145698, SEN S/N: 21145698)"	"Acoplador separado (LGR S/N: 21145698, SEN S/N: 21145698)"	"Acoplador adjunto (LGR S/N: 21145698, SEN S/N: 21145698)"	"Host conectado (LGR S/N: 21145698, SEN S/N: 21145698)"	"Parado (LGR S/N: 21145698, SEN S/N: 21145698)"	"Final de archivo (LGR S/N: 21145698, SEN S/N: 21145698)"
1	30/01/24	14:00:00	14.242	Registrado				
2	30/01/24	15:00:00	14.242					
3	30/01/24	16:00:00	14.242					
4	30/01/24	17:00:00	14.242					
5	30/01/24	18:00:00	14.242					
6	30/01/24	19:00:00	14.242					
7	30/01/24	20:00:00	14.290					
8	30/01/24	21:00:00	14.290					
9	30/01/24	22:00:00	14.290					
10	30/01/24	23:00:00	14.290					
11	31/01/24	00:00:00	14.290					
12	31/01/24	01:00:00	14.266					
13	31/01/24	02:00:00	14.266					
14	31/01/24	03:00:00	14.242					
15	31/01/24	04:00:00	14.242					
16	31/01/24	05:00:00	14.218					
17	31/01/24	06:00:00	14.194					
18	31/01/24	07:00:00	14.194					
19	31/01/24	08:00:00	14.194					
20	31/01/24	09:00:00	14.218					
21	31/01/24	10:00:00	14.218					
22	31/01/24	11:00:00	14.218					
23	31/01/24	12:00:00	14.242					
24	31/01/24	13:00:00	14.290					
25	31/01/24	14:00:00	14.314					
26	31/01/24	15:00:00	14.266					
27	31/01/24	16:00:00	14.266					
28	31/01/24	17:00:00	14.314					
29	31/01/24	18:00:00	14.290					
30	31/01/24	19:00:00	14.266					
31	31/01/24	20:00:00	14.218					
32	31/01/24	21:00:00	14.194					
33	31/01/24	22:00:00	14.194					
34	31/01/24	23:00:00	14.170					
35	01/02/24	00:00:00	14.194					
36	01/02/24	01:00:00	14.194					
37	01/02/24	02:00:00	14.170					
38	01/02/24	03:00:00	14.194					
39	01/02/24	04:00:00	14.194					
40	01/02/24	05:00:00	14.194					
41	01/02/24	06:00:00	14.170					
42	01/02/24	07:00:00	14.146					
43	01/02/24	08:00:00	14.146					
44	01/02/24	09:00:00	14.122					
45	01/02/24	10:00:00	14.122					
46	01/02/24	11:00:00	14.122					
47	01/02/24	12:00:00	14.050					
48	01/02/24	13:00:00	13.930					
49	01/02/24	14:00:00	13.906					
50	01/02/24	15:00:00	13.930					
51	01/02/24	16:00:00	13.930					
52	01/02/24	17:00:00	13.954					
53	01/02/24	18:00:00	13.978					
54	01/02/24	19:00:00	14.026					
55	01/02/24	20:00:00	14.026					
56	01/02/24	21:00:00	14.002					
57	01/02/24	22:00:00	13.954					
58	01/02/24	23:00:00	13.930					
59	02/02/24	00:00:00	13.954					
60	02/02/24	01:00:00	13.930					
61	02/02/24	02:00:00	13.930					
62	02/02/24	03:00:00	13.930					
63	02/02/24	04:00:00	13.954					
64	02/02/24	05:00:00	13.978					
65	02/02/24	06:00:00	13.978					
66	02/02/24	07:00:00	14.002					
67	02/02/24	08:00:00	13.978					
68	02/02/24	09:00:00	13.978					
69	02/02/24	10:00:00	13.978					
70	02/02/24	11:00:00	13.978					
71	02/02/24	12:00:00	14.002					
72	02/02/24	13:00:00	14.050					
73	02/02/24	14:00:00	14.074					
74	02/02/24	15:00:00	14.122					
75	02/02/24	16:00:00	14.146					
76	02/02/24	17:00:00	14.146					
77	02/02/24	18:00:00	14.170					
78	02/02/24	19:00:00	14.170					
79	02/02/24	20:00:00	14.146					
80	02/02/24	21:00:00	14.146					
81	02/02/24	22:00:00	14.146					
82	02/02/24	23:00:00	14.122					
83	03/02/24	00:00:00	14.146					
84	03/02/24	01:00:00	14.146					
85	03/02/24	02:00:00	14.170					
86	03/02/24	03:00:00	14.194					
