"Título de trazado: 21145689_R5"
"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 21145689, SEN S/N: 21145689)"	"Acoplador separado (LGR S/N: 21145689, SEN S/N: 21145689)"	"Acoplador adjunto (LGR S/N: 21145689, SEN S/N: 21145689)"	"Host conectado (LGR S/N: 21145689, SEN S/N: 21145689)"	"Parado (LGR S/N: 21145689, SEN S/N: 21145689)"	"Final de archivo (LGR S/N: 21145689, SEN S/N: 21145689)"
1	31/01/24	11:00:00	11.224	Registrado				
2	31/01/24	12:00:00	16.606					
3	31/01/24	13:00:00	17.486					
4	31/01/24	14:00:00	14.337					
5	31/01/24	15:00:00	14.361					
6	31/01/24	16:00:00	14.361					
7	31/01/24	17:00:00	14.337					
8	31/01/24	18:00:00	14.361					
9	31/01/24	19:00:00	14.337					
10	31/01/24	20:00:00	14.337					
11	31/01/24	21:00:00	14.337					
12	31/01/24	22:00:00	14.337					
13	31/01/24	23:00:00	14.337					
14	01/02/24	00:00:00	14.314					
15	01/02/24	01:00:00	14.314					
16	01/02/24	02:00:00	14.314					
17	01/02/24	03:00:00	14.314					
18	01/02/24	04:00:00	14.314					
19	01/02/24	05:00:00	14.314					
20	01/02/24	06:00:00	14.314					
21	01/02/24	07:00:00	14.290					
22	01/02/24	08:00:00	14.266					
23	01/02/24	09:00:00	14.266					
24	01/02/24	10:00:00	14.266					
25	01/02/24	11:00:00	14.266					
26	01/02/24	12:00:00	14.266					
27	01/02/24	13:00:00	14.266					
28	01/02/24	14:00:00	14.266					
29	01/02/24	15:00:00	14.266					
30	01/02/24	16:00:00	14.266					
31	01/02/24	17:00:00	14.266					
32	01/02/24	18:00:00	14.266					
33	01/02/24	19:00:00	14.266					
34	01/02/24	20:00:00	14.266					
35	01/02/24	21:00:00	14.266					
36	01/02/24	22:00:00	14.266					
37	01/02/24	23:00:00	14.266					
38	02/02/24	00:00:00	14.242					
39	02/02/24	01:00:00	14.266					
40	02/02/24	02:00:00	14.266					
41	02/02/24	03:00:00	14.266					
42	02/02/24	04:00:00	14.266					
43	02/02/24	05:00:00	14.266					
44	02/02/24	06:00:00	14.242					
45	02/02/24	07:00:00	14.242					
46	02/02/24	08:00:00	14.242					
47	02/02/24	09:00:00	14.242					
48	02/02/24	10:00:00	14.242					
49	02/02/24	11:00:00	14.242					
50	02/02/24	12:00:00	14.242					
51	02/02/24	13:00:00	14.409					
52	02/02/24	14:00:00	14.409					
53	02/02/24	15:00:00	14.361					
54	02/02/24	16:00:00	14.337					
55	02/02/24	17:00:00	14.314					
56	02/02/24	18:00:00	14.314					
57	02/02/24	19:00:00	14.314					
58	02/02/24	20:00:00	14.290					
59	02/02/24	21:00:00	14.290					
60	02/02/24	22:00:00	14.266					
61	02/02/24	23:00:00	14.314					
62	03/02/24	00:00:00	14.337					
63	03/02/24	01:00:00	14.337					
64	03/02/24	02:00:00	14.337					
65	03/02/24	03:00:00	14.314					
66	03/02/24	04:00:00	14.314					
67	03/02/24	05:00:00	14.314					
68	03/02/24	06:00:00	14.290					
69	03/02/24	07:00:00	14.290					
