"Título de trazado: 21145691_N20"
"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21145691, SEN S/N: 21145691)"	"Acoplador separado (LGR S/N: 21145691, SEN S/N: 21145691)"	"Acoplador adjunto (LGR S/N: 21145691, SEN S/N: 21145691)"	"Host conectado (LGR S/N: 21145691, SEN S/N: 21145691)"	"Parado (LGR S/N: 21145691, SEN S/N: 21145691)"	"Final de archivo (LGR S/N: 21145691, SEN S/N: 21145691)"
1	13/05/24	09:00:00	18.985	Registrado				
2	13/05/24	10:00:00	15.581					
3	13/05/24	11:00:00	15.629					
4	13/05/24	12:00:00	15.867					
5	13/05/24	13:00:00	15.843					
6	13/05/24	14:00:00	15.796					
7	13/05/24	15:00:00	15.724					
8	13/05/24	16:00:00	15.700					
9	13/05/24	17:00:00	15.986					
10	13/05/24	18:00:00	15.748					
11	13/05/24	19:00:00	15.652					
12	13/05/24	20:00:00	15.652					
13	13/05/24	21:00:00	15.748					
14	13/05/24	22:00:00	15.605					
15	13/05/24	23:00:00	15.605					
16	14/05/24	00:00:00	15.557					
17	14/05/24	01:00:00	15.581					
18	14/05/24	02:00:00	15.700					
19	14/05/24	03:00:00	15.748					
20	14/05/24	04:00:00	15.963					
21	14/05/24	05:00:00	16.106					
22	14/05/24	06:00:00	16.106					
23	14/05/24	07:00:00	16.201					
24	14/05/24	08:00:00	15.963					
25	14/05/24	09:00:00	15.867					
26	14/05/24	10:00:00	15.772					
27	14/05/24	11:00:00	15.700					
28	14/05/24	12:00:00	15.867					
29	14/05/24	13:00:00	15.867					
30	14/05/24	14:00:00	16.606					
31	14/05/24	15:00:00	17.082					
32	14/05/24	16:00:00	17.748					
33	14/05/24	17:00:00	16.225					
34	14/05/24	18:00:00	16.058					
35	14/05/24	19:00:00	15.939					
36	14/05/24	20:00:00	15.843					
37	14/05/24	21:00:00	15.772					
38	14/05/24	22:00:00	15.843					
39	14/05/24	23:00:00	15.986					
40	15/05/24	00:00:00	16.320					
41	15/05/24	01:00:00	16.796					
42	15/05/24	02:00:00	17.534					
43	15/05/24	03:00:00	17.463					
44	15/05/24	04:00:00	17.368					
45	15/05/24	05:00:00	17.368					
46	15/05/24	06:00:00	17.272					
47	15/05/24	07:00:00	16.439					
48	15/05/24	08:00:00	17.249					
49	15/05/24	09:00:00	17.391					
50	15/05/24	10:00:00	17.605					
51	15/05/24	11:00:00	17.249					
52	15/05/24	12:00:00	17.296					
53	15/05/24	13:00:00	17.605					
54	15/05/24	14:00:00	16.892					
55	15/05/24	15:00:00	17.272					
56	15/05/24	16:00:00	17.320					
57	15/05/24	17:00:00	17.558					
58	15/05/24	18:00:00	17.296					
59	15/05/24	19:00:00	16.939					
60	15/05/24	20:00:00	16.654					
61	15/05/24	21:00:00	16.963					
62	15/05/24	22:00:00	17.153					
63	15/05/24	23:00:00	17.034					
64	16/05/24	00:00:00	17.058					
65	16/05/24	01:00:00	17.130					
66	16/05/24	02:00:00	17.177					
67	16/05/24	03:00:00	17.106					
68	16/05/24	04:00:00	17.225					
69	16/05/24	05:00:00	17.296					
70	16/05/24	06:00:00	17.344					
71	16/05/24	07:00:00	17.106					
72	16/05/24	08:00:00	17.130					
73	16/05/24	09:00:00	17.344					
74	16/05/24	10:00:00	17.558					
75	16/05/24	11:00:00	17.724					
76	16/05/24	12:00:00	17.534					
