"Título de trazado: 10587881_S55"
"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 10808709, SEN S/N: 10808709)"	"Acoplador separado (LGR S/N: 10808709, SEN S/N: 10808709)"	"Batería mala (LGR S/N: 10808709, SEN S/N: 10808709)"	"Final de archivo (LGR S/N: 10808709, SEN S/N: 10808709)"
1	06/06/23	15:00:00	28.196	Registrado		
2	06/06/23	16:00:00	22.202			
3	06/06/23	17:00:00	23.208			
4	06/06/23	18:00:00	24.677			
5	06/06/23	19:00:00	25.744			
6	06/06/23	20:00:00	26.451			
7	06/06/23	21:00:00	26.916			
8	06/06/23	22:00:00	27.210			
9	06/06/23	23:00:00	27.481			
10	07/06/23	00:00:00	27.653			
11	07/06/23	01:00:00	27.653			
12	07/06/23	02:00:00	27.653			
13	07/06/23	03:00:00	27.653			
14	07/06/23	04:00:00	27.604			
15	07/06/23	05:00:00	27.579			
16	07/06/23	06:00:00	27.554			
17	07/06/23	07:00:00	27.505			
18	07/06/23	08:00:00	25.210			
19	07/06/23	09:00:00	20.460			
20	07/06/23	10:00:00	22.369			
21	07/06/23	11:00:00	15.294			
22	07/06/23	12:00:00	15.223			
23	07/06/23	13:00:00	15.223			
24	07/06/23	14:00:00	15.366			
25	07/06/23	15:00:00	15.151			
26	07/06/23	16:00:00	15.294			
27	07/06/23	17:00:00	15.294			
28	07/06/23	18:00:00	15.127			
29	07/06/23	19:00:00	15.151			
30	07/06/23	20:00:00	15.151			
31	07/06/23	21:00:00	15.151			
32	07/06/23	22:00:00	15.175			
33	07/06/23	23:00:00	15.151			
34	08/06/23	00:00:00	15.055			
35	08/06/23	01:00:00	14.936			
36	08/06/23	02:00:00	14.888			
37	08/06/23	03:00:00	15.055			
38	08/06/23	04:00:00	14.936			
39	08/06/23	05:00:00	14.936			
40	08/06/23	06:00:00	15.055			
41	08/06/23	07:00:00	15.199			
42	08/06/23	08:00:00	15.127			
43	08/06/23	09:00:00	15.175			
44	08/06/23	10:00:00	15.127			
45	08/06/23	11:00:00	15.103			
46	08/06/23	12:00:00	15.055			
47	08/06/23	13:00:00	15.103			
48	08/06/23	14:00:00	15.055			
49	08/06/23	15:00:00	14.888			
50	08/06/23	16:00:00	14.888			
51	08/06/23	17:00:00	14.912			
52	08/06/23	18:00:00	14.912			
53	08/06/23	19:00:00	14.936			
54	08/06/23	20:00:00	15.079			
55	08/06/23	21:00:00	14.984			
56	08/06/23	22:00:00	14.936			
57	08/06/23	23:00:00	14.912			
58	09/06/23	00:00:00	14.888			
59	09/06/23	01:00:00	14.984			
60	09/06/23	02:00:00	15.055			
61	09/06/23	03:00:00	14.888			
62	09/06/23	04:00:00	14.960			
63	09/06/23	05:00:00	14.840			
64	09/06/23	06:00:00	14.816			
65	09/06/23	07:00:00	14.816			
66	09/06/23	08:00:00	15.031			
67	09/06/23	09:00:00	14.912			
68	09/06/23	10:00:00	15.055			
69	09/06/23	11:00:00	14.984			
70	09/06/23	12:00:00	14.721			
71	09/06/23	13:00:00	14.768			
72	09/06/23	14:00:00	14.745			
73	09/06/23	15:00:00	14.840			
74	09/06/23	16:00:00	14.792			
75	09/06/23	17:00:00	14.840			
76	09/06/23	18:00:00	14.840			
77	09/06/23	19:00:00	14.960			
78	09/06/23	20:00:00	14.888			
79	09/06/23	21:00:00	14.864			
80	09/06/23	22:00:00	14.888			
81	09/06/23	23:00:00	14.816			
82	10/06/23	00:00:00	14.864			
83	10/06/23	01:00:00	14.649			
84	10/06/23	02:00:00	14.553			
85	10/06/23	03:00:00	14.745			
86	10/06/23	04:00:00	14.768			
87	10/06/23	05:00:00	14.840			
88	10/06/23	06:00:00	14.912			
89	10/06/23	07:00:00	14.984			
90	10/06/23	08:00:00	15.031			
91	10/06/23	09:00:00	14.912			
92	10/06/23	10:00:00	15.055		Registrado	
93	10/06/23	11:00:00	15.008			
94	10/06/23	12:00:00	15.008			
95	10/06/23	13:00:00	15.031			
96	10/06/23	14:00:00	15.008			
97	10/06/23	15:00:00	15.008			
98	10/06/23	16:00:00	14.984			
99	10/06/23	17:00:00	15.031			
100	10/06/23	18:00:00	15.031			
101	10/06/23	19:00:00	14.936			
102	10/06/23	20:00:00	0.495			
103	10/06/23	21:00:00	14.912			
104	10/06/23	22:00:00	0.135			
105	10/06/23	23:00:00	0.079			Registrado
