"Título de trazado: 9993935_S60"
"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 10808725, SEN S/N: 10808725)"	"Batería buena (LGR S/N: 10808725, SEN S/N: 10808725)"	"Acoplador separado (LGR S/N: 10808725, SEN S/N: 10808725)"	"Acoplador adjunto (LGR S/N: 10808725, SEN S/N: 10808725)"	"Host conectado (LGR S/N: 10808725, SEN S/N: 10808725)"	"Parado (LGR S/N: 10808725, SEN S/N: 10808725)"	"Final de archivo (LGR S/N: 10808725, SEN S/N: 10808725)"
1	06/06/23	15:00:00	27.727	Registrado	Registrado				
2	06/06/23	16:00:00	21.939						
3	06/06/23	17:00:00	22.968						
4	06/06/23	18:00:00	24.436						
5	06/06/23	19:00:00	25.525						
6	06/06/23	20:00:00	26.256						
7	06/06/23	21:00:00	26.720						
8	06/06/23	22:00:00	27.063						
9	06/06/23	23:00:00	27.284						
10	07/06/23	00:00:00	27.382						
11	07/06/23	01:00:00	27.431						
12	07/06/23	02:00:00	27.456						
13	07/06/23	03:00:00	27.456						
14	07/06/23	04:00:00	27.431						
15	07/06/23	05:00:00	27.382						
16	07/06/23	06:00:00	27.358						
17	07/06/23	07:00:00	27.333						
18	07/06/23	08:00:00	25.113						
19	07/06/23	09:00:00	20.246						
20	07/06/23	10:00:00	22.058						
21	07/06/23	11:00:00	14.960						
22	07/06/23	12:00:00	14.721						
23	07/06/23	13:00:00	14.721						
24	07/06/23	14:00:00	14.697						
25	07/06/23	15:00:00	14.721						
26	07/06/23	16:00:00	14.673						
27	07/06/23	17:00:00	14.912						
28	07/06/23	18:00:00	14.816						
29	07/06/23	19:00:00	14.960						
30	07/06/23	20:00:00	14.960						
31	07/06/23	21:00:00	14.792						
32	07/06/23	22:00:00	14.816						
33	07/06/23	23:00:00	14.840						
34	08/06/23	00:00:00	14.577						
35	08/06/23	01:00:00	14.649						
36	08/06/23	02:00:00	14.553						
37	08/06/23	03:00:00	14.553						
38	08/06/23	04:00:00	14.577						
39	08/06/23	05:00:00	14.649						
40	08/06/23	06:00:00	14.721						
41	08/06/23	07:00:00	14.745						
42	08/06/23	08:00:00	14.673						
43	08/06/23	09:00:00	14.697						
44	08/06/23	10:00:00	14.864						
45	08/06/23	11:00:00	14.721						
46	08/06/23	12:00:00	14.577						
47	08/06/23	13:00:00	14.721						
48	08/06/23	14:00:00	14.673						
49	08/06/23	15:00:00	14.601						
50	08/06/23	16:00:00	14.673						
51	08/06/23	17:00:00	14.721						
52	08/06/23	18:00:00	14.673						
53	08/06/23	19:00:00	14.721						
54	08/06/23	20:00:00	14.721						
55	08/06/23	21:00:00	14.721						
56	08/06/23	22:00:00	14.697						
57	08/06/23	23:00:00	14.697						
58	09/06/23	00:00:00	14.697						
59	09/06/23	01:00:00	14.505						
60	09/06/23	02:00:00	14.625						
61	09/06/23	03:00:00	14.529						
62	09/06/23	04:00:00	14.649						
63	09/06/23	05:00:00	14.649						
64	09/06/23	06:00:00	14.577						
65	09/06/23	07:00:00	14.601						
66	09/06/23	08:00:00	14.601						
67	09/06/23	09:00:00	14.577						
68	09/06/23	10:00:00	14.625						
69	09/06/23	11:00:00	14.553						
70	09/06/23	12:00:00	14.529						
71	09/06/23	13:00:00	14.529						
72	09/06/23	14:00:00	14.457						
73	09/06/23	15:00:00	14.553						
74	09/06/23	16:00:00	14.481						
75	09/06/23	17:00:00	14.481						
