"Título de trazado: 21011582_A45"
"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 21011582, SEN S/N: 21011582)"	"Acoplador separado (LGR S/N: 21011582, SEN S/N: 21011582)"	"Acoplador adjunto (LGR S/N: 21011582, SEN S/N: 21011582)"	"Host conectado (LGR S/N: 21011582, SEN S/N: 21011582)"	"Parado (LGR S/N: 21011582, SEN S/N: 21011582)"	"Final de archivo (LGR S/N: 21011582, SEN S/N: 21011582)"
1	16/02/24	11:00:00	14.170	Registrado				
2	16/02/24	12:00:00	14.170					
3	16/02/24	13:00:00	14.194					
4	16/02/24	14:00:00	14.146					
5	16/02/24	15:00:00	14.146					
6	16/02/24	16:00:00	14.122					
7	16/02/24	17:00:00	14.146					
8	16/02/24	18:00:00	14.194					
9	16/02/24	19:00:00	14.194					
10	16/02/24	20:00:00	14.194					
11	16/02/24	21:00:00	14.194					
12	16/02/24	22:00:00	14.194					
13	16/02/24	23:00:00	14.194					
14	17/02/24	00:00:00	14.194					
15	17/02/24	01:00:00	14.218					
16	17/02/24	02:00:00	14.218					
17	17/02/24	03:00:00	14.218					
18	17/02/24	04:00:00	14.218					
19	17/02/24	05:00:00	14.218					
20	17/02/24	06:00:00	14.218					
21	17/02/24	07:00:00	14.218					
22	17/02/24	08:00:00	14.218					
23	17/02/24	09:00:00	14.218					
24	17/02/24	10:00:00	14.218					
25	17/02/24	11:00:00	14.218					
26	17/02/24	12:00:00	14.218					
27	17/02/24	13:00:00	14.218					
28	17/02/24	14:00:00	14.218					
29	17/02/24	15:00:00	14.218					
30	17/02/24	16:00:00	14.218					
31	17/02/24	17:00:00	14.218					
32	17/02/24	18:00:00	14.218					
33	17/02/24	19:00:00	14.218					
34	17/02/24	20:00:00	14.242					
35	17/02/24	21:00:00	14.242					
36	17/02/24	22:00:00	14.242					
37	17/02/24	23:00:00	14.242					
38	18/02/24	00:00:00	14.242					
39	18/02/24	01:00:00	14.242					
40	18/02/24	02:00:00	14.242					
41	18/02/24	03:00:00	14.242					
42	18/02/24	04:00:00	14.242					
43	18/02/24	05:00:00	14.242					
44	18/02/24	06:00:00	14.242					
45	18/02/24	07:00:00	14.266					
46	18/02/24	08:00:00	14.266					
47	18/02/24	09:00:00	14.266					
48	18/02/24	10:00:00	14.266					
49	18/02/24	11:00:00	14.266					
50	18/02/24	12:00:00	14.266					
51	18/02/24	13:00:00	14.266					
52	18/02/24	14:00:00	14.266					
53	18/02/24	15:00:00	14.266					
54	18/02/24	16:00:00	14.266					
55	18/02/24	17:00:00	14.266					
56	18/02/24	18:00:00	14.266					
57	18/02/24	19:00:00	14.266					
58	18/02/24	20:00:00	14.290					
59	18/02/24	21:00:00	14.266					
60	18/02/24	22:00:00	14.266					
61	18/02/24	23:00:00	14.266					
62	19/02/24	00:00:00	14.242					
63	19/02/24	01:00:00	14.242					
64	19/02/24	02:00:00	14.242					
65	19/02/24	03:00:00	14.242					
66	19/02/24	04:00:00	14.242					
67	19/02/24	05:00:00	14.242					
68	19/02/24	06:00:00	14.242					
69	19/02/24	07:00:00	14.242					
70	19/02/24	08:00:00	14.218					
71	19/02/24	09:00:00	14.218					
72	19/02/24	10:00:00	14.218					
73	19/02/24	11:00:00	14.218					
74	19/02/24	12:00:00	14.218					
75	19/02/24	13:00:00	14.218					
76	19/02/24	14:00:00	14.218					
77	19/02/24	15:00:00	14.218					
78	19/02/24	16:00:00	14.218					
79	19/02/24	17:00:00	14.218					
80	19/02/24	18:00:00	14.242					
81	19/02/24	19:00:00	14.218					
82	19/02/24	20:00:00	14.242					
83	19/02/24	21:00:00	14.242					
84	19/02/24	22:00:00	14.242					
85	19/02/24	23:00:00	14.242					
86	20/02/24	00:00:00	14.242					
87	20/02/24	01:00:00	14.218					
88	20/02/24	02:00:00	14.218					
89	20/02/24	03:00:00	14.218					
90	20/02/24	04:00:00	14.218					
91	20/02/24	05:00:00	14.218					
92	20/02/24	06:00:00	14.218					
93	20/02/24	07:00:00	14.218					
94	20/02/24	08:00:00	14.218					
95	20/02/24	09:00:00	14.218					
96	20/02/24	10:00:00	14.242					
97	20/02/24	11:00:00	14.242					
98	20/02/24	12:00:00	14.242					
99	20/02/24	13:00:00	14.242					
100	20/02/24	14:00:00	14.242					
101	20/02/24	15:00:00	14.242					
102	20/02/24	16:00:00	14.266					
103	20/02/24	17:00:00	14.242					
104	20/02/24	18:00:00	14.290					
105	20/02/24	19:00:00	14.266					
106	20/02/24	20:00:00	14.242					
107	20/02/24	21:00:00	14.242					
108	20/02/24	22:00:00	14.242					
109	20/02/24	23:00:00	14.242					
110	21/02/24	00:00:00	14.242					
111	21/02/24	01:00:00	14.242					
112	21/02/24	02:00:00	14.242					
113	21/02/24	03:00:00	14.242					
114	21/02/24	04:00:00	14.242					
115	21/02/24	05:00:00	14.242					
116	21/02/24	06:00:00	14.242					
117	21/02/24	07:00:00	14.218					
118	21/02/24	08:00:00	14.242					
119	21/02/24	09:00:00	14.218					
120	21/02/24	10:00:00	14.242					
121	21/02/24	11:00:00	14.242					
122	21/02/24	12:00:00	14.242					
123	21/02/24	13:00:00	14.242					
124	21/02/24	14:00:00	14.242					
125	21/02/24	15:00:00	14.290					
126	21/02/24	16:00:00	14.361					
127	21/02/24	17:00:00	14.385					
128	21/02/24	18:00:00	14.385					
129	21/02/24	19:00:00	14.385					
130	21/02/24	20:00:00	14.385					
131	21/02/24	21:00:00	14.361					
132	21/02/24	22:00:00	14.361					
133	21/02/24	23:00:00	14.361					
134	22/02/24	00:00:00	14.361					
135	22/02/24	01:00:00	14.361					
136	22/02/24	02:00:00	14.337					
137	22/02/24	03:00:00	14.337					
138	22/02/24	04:00:00	14.337					
139	22/02/24	05:00:00	14.314					
140	22/02/24	06:00:00	14.337					
141	22/02/24	07:00:00	14.337					
142	22/02/24	08:00:00	14.337					
143	22/02/24	09:00:00	14.337					
144	22/02/24	10:00:00	14.337					
145	22/02/24	11:00:00	14.337					
146	22/02/24	12:00:00	14.337					
147	22/02/24	13:00:00	14.314					
148	22/02/24	14:00:00	14.290					
149	22/02/24	15:00:00	14.290					
150	22/02/24	16:00:00	14.290					
151	22/02/24	17:00:00	14.290					
152	22/02/24	18:00:00	14.266					
153	22/02/24	19:00:00	14.290					
154	22/02/24	20:00:00	14.266					
155	22/02/24	21:00:00	14.266					
156	22/02/24	22:00:00	14.290					
157	22/02/24	23:00:00	14.290					
158	23/02/24	00:00:00	14.290					
159	23/02/24	01:00:00	14.266					
160	23/02/24	02:00:00	14.242					
161	23/02/24	03:00:00	14.242					
162	23/02/24	04:00:00	14.242					
163	23/02/24	05:00:00	14.242					
164	23/02/24	06:00:00	14.242					
165	23/02/24	07:00:00	14.242					
166	23/02/24	08:00:00	14.242					
167	23/02/24	09:00:00	14.242					
168	23/02/24	10:00:00	14.242					
169	23/02/24	11:00:00	14.266					
170	23/02/24	12:00:00	14.266					
171	23/02/24	13:00:00	14.266					
172	23/02/24	14:00:00	14.266					
173	23/02/24	15:00:00	14.266					
174	23/02/24	16:00:00	14.290					
175	23/02/24	17:00:00	14.290					
176	23/02/24	18:00:00	14.290					
177	23/02/24	19:00:00	14.266					
178	23/02/24	20:00:00	14.266					
179	23/02/24	21:00:00	14.266					
180	23/02/24	22:00:00	14.266					
181	23/02/24	23:00:00	14.242					
182	24/02/24	00:00:00	14.242					
183	24/02/24	01:00:00	14.266					
184	24/02/24	02:00:00	14.242					
185	24/02/24	03:00:00	14.242					
186	24/02/24	04:00:00	14.242					
187	24/02/24	05:00:00	14.242					
188	24/02/24	06:00:00	14.242					
189	24/02/24	07:00:00	14.242					
190	24/02/24	08:00:00	14.242					
191	24/02/24	09:00:00	14.242					
192	24/02/24	10:00:00	14.218					
193	24/02/24	11:00:00	14.242					
194	24/02/24	12:00:00	14.242					
195	24/02/24	13:00:00	14.242					
196	24/02/24	14:00:00	14.242					
197	24/02/24	15:00:00	14.242					
198	24/02/24	16:00:00	14.218					
199	24/02/24	17:00:00	14.218					
200	24/02/24	18:00:00	14.242					
201	24/02/24	19:00:00	14.242					
202	24/02/24	20:00:00	14.242					
203	24/02/24	21:00:00	14.242					
204	24/02/24	22:00:00	14.218					
205	24/02/24	23:00:00	14.218					
206	25/02/24	00:00:00	14.218					
207	25/02/24	01:00:00	14.218					
208	25/02/24	02:00:00	14.218					
209	25/02/24	03:00:00	14.218					
210	25/02/24	04:00:00	14.194					
211	25/02/24	05:00:00	14.194					
212	25/02/24	06:00:00	14.218					
213	25/02/24	07:00:00	14.218					
214	25/02/24	08:00:00	14.194					
215	25/02/24	09:00:00	14.194					
216	25/02/24	10:00:00	14.194					
217	25/02/24	11:00:00	14.194					
218	25/02/24	12:00:00	14.218					
219	25/02/24	13:00:00	14.194					
220	25/02/24	14:00:00	14.194					
221	25/02/24	15:00:00	14.194					
222	25/02/24	16:00:00	14.194					
223	25/02/24	17:00:00	14.194					
224	25/02/24	18:00:00	14.194					
225	25/02/24	19:00:00	14.194					
226	25/02/24	20:00:00	14.194					
227	25/02/24	21:00:00	14.194					
228	25/02/24	22:00:00	14.194					
229	25/02/24	23:00:00	14.194					
230	26/02/24	00:00:00	14.218					
231	26/02/24	01:00:00	14.218					
232	26/02/24	02:00:00	14.218					
233	26/02/24	03:00:00	14.218					
234	26/02/24	04:00:00	14.194					
235	26/02/24	05:00:00	14.194					
236	26/02/24	06:00:00	14.194					
237	26/02/24	07:00:00	14.194					
238	26/02/24	08:00:00	14.194					
239	26/02/24	09:00:00	14.194					
240	26/02/24	10:00:00	14.194					
241	26/02/24	11:00:00	14.218					
242	26/02/24	12:00:00	14.194					
243	26/02/24	13:00:00	14.194					
244	26/02/24	14:00:00	14.194					
245	26/02/24	15:00:00	14.194					
246	26/02/24	16:00:00	14.218					
247	26/02/24	17:00:00	14.218					
248	26/02/24	18:00:00	14.218					
249	26/02/24	19:00:00	14.218					
250	26/02/24	20:00:00	14.218					
251	26/02/24	21:00:00	14.194					
252	26/02/24	22:00:00	14.194					
253	26/02/24	23:00:00	14.194					
254	27/02/24	00:00:00	14.194					
255	27/02/24	01:00:00	14.194					
256	27/02/24	02:00:00	14.194					
257	27/02/24	03:00:00	14.194					
258	27/02/24	04:00:00	14.170					
259	27/02/24	05:00:00	14.122					
260	27/02/24	06:00:00	14.146					
261	27/02/24	07:00:00	14.170					
262	27/02/24	08:00:00	14.146					
263	27/02/24	09:00:00	14.146					
264	27/02/24	10:00:00	14.146					
265	27/02/24	11:00:00	14.146					
266	27/02/24	12:00:00	14.146					
267	27/02/24	13:00:00	14.146					
268	27/02/24	14:00:00	14.146					
269	27/02/24	15:00:00	14.146					
270	27/02/24	16:00:00	14.146					
