"Título de trazado: foradada_10m_29052024"
"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20954375, SEN S/N: 20954375, LBL: foradada_10m_29052024)"	"Acoplador separado (LGR S/N: 20954375, SEN S/N: 20954375)"	"Acoplador adjunto (LGR S/N: 20954375, SEN S/N: 20954375)"	"Host conectado (LGR S/N: 20954375, SEN S/N: 20954375)"	"Parado (LGR S/N: 20954375, SEN S/N: 20954375)"	"Final de archivo (LGR S/N: 20954375, SEN S/N: 20954375)"
1	29/05/24	12:00:00	20.674	Registrado				
2	29/05/24	13:00:00	20.722					
3	29/05/24	14:00:00	20.770					
4	29/05/24	15:00:00	20.627					
5	29/05/24	16:00:00	20.817					
6	29/05/24	17:00:00	20.603					
7	29/05/24	18:00:00	21.032					
8	29/05/24	19:00:00	21.175					
9	29/05/24	20:00:00	20.889					
10	29/05/24	21:00:00	21.151					
11	29/05/24	22:00:00	20.889					
12	29/05/24	23:00:00	21.103					
13	30/05/24	00:00:00	21.008					
14	30/05/24	01:00:00	20.960					
15	30/05/24	02:00:00	21.056					
16	30/05/24	03:00:00	21.079					
17	30/05/24	04:00:00	20.817					
18	30/05/24	05:00:00	20.817					
19	30/05/24	06:00:00	20.936					
20	30/05/24	07:00:00	20.984					
21	30/05/24	08:00:00	21.008					
22	30/05/24	09:00:00	21.032					
23	30/05/24	10:00:00	21.103					
24	30/05/24	11:00:00	21.103					
25	30/05/24	12:00:00	20.793					
26	30/05/24	13:00:00	20.889					
27	30/05/24	14:00:00	20.936					
28	30/05/24	15:00:00	20.913					
29	30/05/24	16:00:00	20.865					
30	30/05/24	17:00:00	20.817					
31	30/05/24	18:00:00	20.841					
32	30/05/24	19:00:00	21.056					
33	30/05/24	20:00:00	21.246					
34	30/05/24	21:00:00	21.056					
35	30/05/24	22:00:00	21.056					
36	30/05/24	23:00:00	20.841					
37	31/05/24	00:00:00	20.793					
38	31/05/24	01:00:00	21.008					
39	31/05/24	02:00:00	21.151					
40	31/05/24	03:00:00	21.103					
41	31/05/24	04:00:00	21.151					
42	31/05/24	05:00:00	21.103					
43	31/05/24	06:00:00	20.960					
44	31/05/24	07:00:00	20.960					
45	31/05/24	08:00:00	20.579					
46	31/05/24	09:00:00	20.507					
47	31/05/24	10:00:00	20.436					
48	31/05/24	11:00:00	20.317					
49	31/05/24	12:00:00	20.246					
50	31/05/24	13:00:00	20.150					
51	31/05/24	14:00:00	20.365					
52	31/05/24	15:00:00	20.555					
53	31/05/24	16:00:00	20.436					
54	31/05/24	17:00:00	20.555					
55	31/05/24	18:00:00	20.793					
56	31/05/24	19:00:00	20.889					
57	31/05/24	20:00:00	20.436					
58	31/05/24	21:00:00	20.341					
59	31/05/24	22:00:00	20.341					
60	31/05/24	23:00:00	20.531					
61	01/06/24	00:00:00	20.531					
62	01/06/24	01:00:00	20.579					
63	01/06/24	02:00:00	20.531					
64	01/06/24	03:00:00	20.555					
65	01/06/24	04:00:00	20.531					
66	01/06/24	05:00:00	20.531					
67	01/06/24	06:00:00	20.460					
68	01/06/24	07:00:00	20.460					
69	01/06/24	08:00:00	20.436					
70	01/06/24	09:00:00	20.317					
71	01/06/24	10:00:00	19.865					
72	01/06/24	11:00:00	20.246					
73	01/06/24	12:00:00	20.317					
74	01/06/24	13:00:00	20.436					
75	01/06/24	14:00:00	20.388					
76	01/06/24	15:00:00	20.198					
77	01/06/24	16:00:00	20.436					
78	01/06/24	17:00:00	20.555					
79	01/06/24	18:00:00	20.388					
80	01/06/24	19:00:00	20.412					
81	01/06/24	20:00:00	20.460					
82	01/06/24	21:00:00	20.460					
83	01/06/24	22:00:00	20.484					
84	01/06/24	23:00:00	20.293					
85	02/06/24	00:00:00	20.388					
86	02/06/24	01:00:00	20.412					
87	02/06/24	02:00:00	20.484					
88	02/06/24	03:00:00	20.484					
89	02/06/24	04:00:00	20.507					
90	02/06/24	05:00:00	20.388					
91	02/06/24	06:00:00	20.460					
92	02/06/24	07:00:00	20.436					
93	02/06/24	08:00:00	20.436					
94	02/06/24	09:00:00	20.365					
95	02/06/24	10:00:00	20.388					
96	02/06/24	11:00:00	20.388					
97	02/06/24	12:00:00	20.388					
98	02/06/24	13:00:00	20.341					
99	02/06/24	14:00:00	20.246					
100	02/06/24	15:00:00	20.484					
101	02/06/24	16:00:00	20.531					
102	02/06/24	17:00:00	20.627					
103	02/06/24	18:00:00	20.579					
104	02/06/24	19:00:00	20.460					
105	02/06/24	20:00:00	20.650					
106	02/06/24	21:00:00	20.698					
107	02/06/24	22:00:00	20.650					
108	02/06/24	23:00:00	20.627					
109	03/06/24	00:00:00	20.579					
110	03/06/24	01:00:00	20.674					
