"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 20987434, SEN S/N: 20987434)"	"Acoplador separado (LGR S/N: 20987434, SEN S/N: 20987434)"	"Acoplador adjunto (LGR S/N: 20987434, SEN S/N: 20987434)"	"Host conectado (LGR S/N: 20987434, SEN S/N: 20987434)"	"Parado (LGR S/N: 20987434, SEN S/N: 20987434)"	"Final de archivo (LGR S/N: 20987434, SEN S/N: 20987434)"
1	15/03/24	11:00:00	16.129	Registrado				
2	15/03/24	11:30:00	17.344					
3	15/03/24	12:00:00	18.390					
4	15/03/24	12:30:00	14.074					
5	15/03/24	13:00:00	14.122					
6	15/03/24	13:30:00	14.098					
7	15/03/24	14:00:00	14.098					
8	15/03/24	14:30:00	14.098					
9	15/03/24	15:00:00	14.098					
10	15/03/24	15:30:00	14.098					
11	15/03/24	16:00:00	14.098					
12	15/03/24	16:30:00	14.170					
13	15/03/24	17:00:00	14.194					
14	15/03/24	17:30:00	14.194					
15	15/03/24	18:00:00	14.218					
16	15/03/24	18:30:00	14.218					
17	15/03/24	19:00:00	14.242					
18	15/03/24	19:30:00	14.218					
19	15/03/24	20:00:00	14.194					
20	15/03/24	20:30:00	14.194					
21	15/03/24	21:00:00	14.146					
22	15/03/24	21:30:00	14.170					
23	15/03/24	22:00:00	14.170					
24	15/03/24	22:30:00	14.146					
25	15/03/24	23:00:00	14.146					
26	15/03/24	23:30:00	14.146					
27	16/03/24	00:00:00	14.146					
28	16/03/24	00:30:00	14.146					
29	16/03/24	01:00:00	14.146					
30	16/03/24	01:30:00	14.146					
31	16/03/24	02:00:00	14.146					
32	16/03/24	02:30:00	14.122					
33	16/03/24	03:00:00	14.122					
34	16/03/24	03:30:00	14.122					
35	16/03/24	04:00:00	14.122					
36	16/03/24	04:30:00	14.122					
37	16/03/24	05:00:00	14.122					
38	16/03/24	05:30:00	14.194					
39	16/03/24	06:00:00	14.194					
40	16/03/24	06:30:00	14.242					
41	16/03/24	07:00:00	14.242					
42	16/03/24	07:30:00	14.242					
43	16/03/24	08:00:00	14.242					
44	16/03/24	08:30:00	14.218					
45	16/03/24	09:00:00	14.218					
