"N.º"	"Fecha"	"Tiempo, GMT+03:00"	"Temp, °C (LGR S/N: 20700322, SEN S/N: 20700322, LBL: G40)"	"Acoplador separado (LGR S/N: 20700322, SEN S/N: 20700322)"	"Acoplador adjunto (LGR S/N: 20700322, SEN S/N: 20700322)"	"Host conectado (LGR S/N: 20700322, SEN S/N: 20700322)"	"Parado (LGR S/N: 20700322, SEN S/N: 20700322)"	"Final de archivo (LGR S/N: 20700322, SEN S/N: 20700322)"
1	26/10/22	16:00:00	21.199	Registrado				
2	26/10/22	17:00:00	21.175					
3	26/10/22	18:00:00	21.223					
4	26/10/22	19:00:00	21.223					
5	26/10/22	20:00:00	21.223					
6	26/10/22	21:00:00	21.223					
7	26/10/22	22:00:00	21.199					
8	26/10/22	23:00:00	21.294					
9	27/10/22	00:00:00	21.294					
10	27/10/22	01:00:00	21.270					
11	27/10/22	02:00:00	21.318					
12	27/10/22	03:00:00	21.223					
13	27/10/22	04:00:00	21.270					
14	27/10/22	05:00:00	21.270					
15	27/10/22	06:00:00	21.246					
16	27/10/22	07:00:00	21.294					
17	27/10/22	08:00:00	21.318					
18	27/10/22	09:00:00	21.175					
19	27/10/22	10:00:00	21.199					
20	27/10/22	11:00:00	21.223					
21	27/10/22	12:00:00	21.270					
22	27/10/22	13:00:00	21.294					
23	27/10/22	14:00:00	21.294					
24	27/10/22	15:00:00	21.294					
25	27/10/22	16:00:00	21.270					
26	27/10/22	17:00:00	21.366					
27	27/10/22	18:00:00	21.390					
28	27/10/22	19:00:00	21.390					
29	27/10/22	20:00:00	21.390					
30	27/10/22	21:00:00	21.366					
31	27/10/22	22:00:00	21.366					
32	27/10/22	23:00:00	21.366					
33	28/10/22	00:00:00	21.390					
34	28/10/22	01:00:00	21.390					
35	28/10/22	02:00:00	21.390					
36	28/10/22	03:00:00	21.390					
37	28/10/22	04:00:00	21.390					
38	28/10/22	05:00:00	21.318					
39	28/10/22	06:00:00	21.294					
40	28/10/22	07:00:00	21.294					
41	28/10/22	08:00:00	21.294					
42	28/10/22	09:00:00	21.294					
