"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20987460, SEN S/N: 20987460, LBL: Cannelle 15m)"	"Acoplador separado (LGR S/N: 20987460, SEN S/N: 20987460)"	"Acoplador adjunto (LGR S/N: 20987460, SEN S/N: 20987460)"	"Host conectado (LGR S/N: 20987460, SEN S/N: 20987460)"	"Parado (LGR S/N: 20987460, SEN S/N: 20987460)"	"Final de archivo (LGR S/N: 20987460, SEN S/N: 20987460)"
1	05/04/23	10:00:00	14.337	Registrado				
2	05/04/23	11:00:00	15.270					
3	05/04/23	12:00:00	15.175					
4	05/04/23	13:00:00	14.673					
5	05/04/23	14:00:00	14.745					
6	05/04/23	15:00:00	14.792					
7	05/04/23	16:00:00	14.721					
8	05/04/23	17:00:00	14.625					
9	05/04/23	18:00:00	14.553					
10	05/04/23	19:00:00	14.457					
11	05/04/23	20:00:00	14.433					
12	05/04/23	21:00:00	14.457					
13	05/04/23	22:00:00	14.457					
14	05/04/23	23:00:00	14.433					
15	06/04/23	00:00:00	14.433					
16	06/04/23	01:00:00	14.433					
17	06/04/23	02:00:00	14.457					
18	06/04/23	03:00:00	14.457					
19	06/04/23	04:00:00	14.457					
20	06/04/23	05:00:00	14.457					
21	06/04/23	06:00:00	14.457					
22	06/04/23	07:00:00	14.457					
23	06/04/23	08:00:00	14.457					
24	06/04/23	09:00:00	14.457					
25	06/04/23	10:00:00	14.481					
26	06/04/23	11:00:00	14.481					
27	06/04/23	12:00:00	14.553					
28	06/04/23	13:00:00	14.601					
29	06/04/23	14:00:00	14.673					
30	06/04/23	15:00:00	14.697					
31	06/04/23	16:00:00	14.721					
32	06/04/23	17:00:00	14.577					
33	06/04/23	18:00:00	14.649					
34	06/04/23	19:00:00	14.577					
35	06/04/23	20:00:00	14.577					
36	06/04/23	21:00:00	14.553					
37	06/04/23	22:00:00	14.577					
38	06/04/23	23:00:00	14.553					
39	07/04/23	00:00:00	14.553					
40	07/04/23	01:00:00	14.577					
41	07/04/23	02:00:00	14.577					
42	07/04/23	03:00:00	14.577					
43	07/04/23	04:00:00	14.577					
44	07/04/23	05:00:00	14.577					
45	07/04/23	06:00:00	14.553					
46	07/04/23	07:00:00	14.553					
47	07/04/23	08:00:00	14.529					
48	07/04/23	09:00:00	14.529					
49	07/04/23	10:00:00	14.529					
50	07/04/23	11:00:00	14.577					
51	07/04/23	12:00:00	14.697					
52	07/04/23	13:00:00	14.816					
53	07/04/23	14:00:00	14.912					
54	07/04/23	15:00:00	14.960					
55	07/04/23	16:00:00	14.912					
56	07/04/23	17:00:00	14.745					
57	07/04/23	18:00:00	14.673					
58	07/04/23	19:00:00	14.601					
59	07/04/23	20:00:00	14.601					
60	07/04/23	21:00:00	14.577					
61	07/04/23	22:00:00	14.577					
62	07/04/23	23:00:00	14.577					
63	08/04/23	00:00:00	14.553					
64	08/04/23	01:00:00	14.553					
65	08/04/23	02:00:00	14.553					
66	08/04/23	03:00:00	14.529					
67	08/04/23	04:00:00	14.529					
68	08/04/23	05:00:00	14.505					
69	08/04/23	06:00:00	14.457					
70	08/04/23	07:00:00	14.481					
71	08/04/23	08:00:00	14.481					
72	08/04/23	09:00:00	14.481					
73	08/04/23	10:00:00	14.505					
74	08/04/23	11:00:00	14.553					
75	08/04/23	12:00:00	14.625					
76	08/04/23	13:00:00	14.768					
77	08/04/23	14:00:00	14.792					
78	08/04/23	15:00:00	14.768					
79	08/04/23	16:00:00	14.768					
80	08/04/23	17:00:00	14.673					
81	08/04/23	18:00:00	14.625					
82	08/04/23	19:00:00	14.553					
83	08/04/23	20:00:00	14.529					
84	08/04/23	21:00:00	14.553					
85	08/04/23	22:00:00	14.529					
86	08/04/23	23:00:00	14.553					
87	09/04/23	00:00:00	14.553					
88	09/04/23	01:00:00	14.553					
89	09/04/23	02:00:00	14.553					
90	09/04/23	03:00:00	14.529					
91	09/04/23	04:00:00	14.505					
92	09/04/23	05:00:00	14.481					
93	09/04/23	06:00:00	14.481					
94	09/04/23	07:00:00	14.457					
95	09/04/23	08:00:00	14.457					
96	09/04/23	09:00:00	14.457					
97	09/04/23	10:00:00	14.481					
98	09/04/23	11:00:00	14.505					
99	09/04/23	12:00:00	14.625					
100	09/04/23	13:00:00	14.792					
101	09/04/23	14:00:00	14.888					
102	09/04/23	15:00:00	14.984					
103	09/04/23	16:00:00	14.960					
104	09/04/23	17:00:00	14.888					
105	09/04/23	18:00:00	14.768					
106	09/04/23	19:00:00	14.697					
107	09/04/23	20:00:00	14.649					
108	09/04/23	21:00:00	14.649					
109	09/04/23	22:00:00	14.625					
110	09/04/23	23:00:00	14.625					
111	10/04/23	00:00:00	14.601					
112	10/04/23	01:00:00	14.577					
113	10/04/23	02:00:00	14.577					
114	10/04/23	03:00:00	14.577					
115	10/04/23	04:00:00	14.577					
116	10/04/23	05:00:00	14.553					
117	10/04/23	06:00:00	14.577					
118	10/04/23	07:00:00	14.577					
119	10/04/23	08:00:00	14.577					
120	10/04/23	09:00:00	14.577					
121	10/04/23	10:00:00	14.601					
122	10/04/23	11:00:00	14.625					
123	10/04/23	12:00:00	14.768					
124	10/04/23	13:00:00	15.079					
125	10/04/23	14:00:00	15.175					
126	10/04/23	15:00:00	15.055					
127	10/04/23	16:00:00	15.031					
128	10/04/23	17:00:00	14.984					
129	10/04/23	18:00:00	14.888					
130	10/04/23	19:00:00	14.840					
131	10/04/23	20:00:00	14.816					
132	10/04/23	21:00:00	14.960					
133	10/04/23	22:00:00	14.960					
134	10/04/23	23:00:00	14.936					
135	11/04/23	00:00:00	14.864					
136	11/04/23	01:00:00	14.840					
137	11/04/23	02:00:00	14.840					
138	11/04/23	03:00:00	14.840					
139	11/04/23	04:00:00	14.840					
140	11/04/23	05:00:00	14.840					
141	11/04/23	06:00:00	14.816					
142	11/04/23	07:00:00	14.792					
143	11/04/23	08:00:00	14.816					
144	11/04/23	09:00:00	14.840					
145	11/04/23	10:00:00	14.888					
146	11/04/23	11:00:00	14.864					
147	11/04/23	12:00:00	14.888					
148	11/04/23	13:00:00	14.936					
149	11/04/23	14:00:00	14.984					
150	11/04/23	15:00:00	15.103					
151	11/04/23	16:00:00	15.151					
152	11/04/23	17:00:00	14.936					
153	11/04/23	18:00:00	14.745					
154	11/04/23	19:00:00	14.697					
155	11/04/23	20:00:00	14.625					
156	11/04/23	21:00:00	14.625					
157	11/04/23	22:00:00	14.625					
158	11/04/23	23:00:00	14.601					
159	12/04/23	00:00:00	14.768					
160	12/04/23	01:00:00	14.912					
161	12/04/23	02:00:00	14.888					
162	12/04/23	03:00:00	14.864					
163	12/04/23	04:00:00	14.888					
164	12/04/23	05:00:00	14.888					
165	12/04/23	06:00:00	14.888					
166	12/04/23	07:00:00	14.888					
167	12/04/23	08:00:00	14.888					
168	12/04/23	09:00:00	14.888					
169	12/04/23	10:00:00	14.912					
170	12/04/23	11:00:00	14.936					
171	12/04/23	12:00:00	14.888					
172	12/04/23	13:00:00	14.936					
173	12/04/23	14:00:00	14.936					
174	12/04/23	15:00:00	14.936					
175	12/04/23	16:00:00	14.888					
176	12/04/23	17:00:00	14.816					
177	12/04/23	18:00:00	14.768					
178	12/04/23	19:00:00	14.816					
179	12/04/23	20:00:00	14.840					
180	12/04/23	21:00:00	14.816					
181	12/04/23	22:00:00	14.840					
182	12/04/23	23:00:00	14.816					
183	13/04/23	00:00:00	14.864					
184	13/04/23	01:00:00	14.864					
