"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21151962, SEN S/N: 21151962, LBL: Sagro 05m)"	"Acoplador separado (LGR S/N: 21151962, SEN S/N: 21151962)"	"Acoplador adjunto (LGR S/N: 21151962, SEN S/N: 21151962)"	"Host conectado (LGR S/N: 21151962, SEN S/N: 21151962)"	"Parado (LGR S/N: 21151962, SEN S/N: 21151962)"	"Final de archivo (LGR S/N: 21151962, SEN S/N: 21151962)"
1	02/05/23	13:00:00	22.082	Registrado				
2	02/05/23	14:00:00	23.593					
3	02/05/23	15:00:00	17.463					
4	02/05/23	16:00:00	15.915					
5	02/05/23	17:00:00	15.915					
6	02/05/23	18:00:00	15.915					
7	02/05/23	19:00:00	15.867					
8	02/05/23	20:00:00	15.867					
9	02/05/23	21:00:00	15.915					
10	02/05/23	22:00:00	15.939					
11	02/05/23	23:00:00	15.939					
12	03/05/23	00:00:00	15.939					
13	03/05/23	01:00:00	15.939					
14	03/05/23	02:00:00	15.939					
15	03/05/23	03:00:00	15.939					
16	03/05/23	04:00:00	15.915					
17	03/05/23	05:00:00	15.915					
18	03/05/23	06:00:00	15.915					
19	03/05/23	07:00:00	15.915					
20	03/05/23	08:00:00	15.915					
21	03/05/23	09:00:00	15.939					
22	03/05/23	10:00:00	15.963					
23	03/05/23	11:00:00	16.058					
24	03/05/23	12:00:00	16.082					
25	03/05/23	13:00:00	16.177					
26	03/05/23	14:00:00	16.225					
27	03/05/23	15:00:00	16.320					
28	03/05/23	16:00:00	16.320					
29	03/05/23	17:00:00	16.249					
30	03/05/23	18:00:00	16.272					
31	03/05/23	19:00:00	16.249					
32	03/05/23	20:00:00	16.249					
33	03/05/23	21:00:00	16.320					
34	03/05/23	22:00:00	16.392					
35	03/05/23	23:00:00	16.368					
36	04/05/23	00:00:00	16.368					
37	04/05/23	01:00:00	16.392					
38	04/05/23	02:00:00	16.415					
39	04/05/23	03:00:00	16.392					
40	04/05/23	04:00:00	16.368					
41	04/05/23	05:00:00	16.344					
42	04/05/23	06:00:00	16.272					
43	04/05/23	07:00:00	16.201					
44	04/05/23	08:00:00	16.272					
45	04/05/23	09:00:00	16.272					
46	04/05/23	10:00:00	16.344					
47	04/05/23	11:00:00	16.368					
48	04/05/23	12:00:00	16.487					
49	04/05/23	13:00:00	16.558					
50	04/05/23	14:00:00	16.463					
51	04/05/23	15:00:00	16.939					
52	04/05/23	16:00:00	17.344					
53	04/05/23	17:00:00	17.130					
54	04/05/23	18:00:00	17.486					
55	04/05/23	19:00:00	16.892					
56	04/05/23	20:00:00	16.725					
57	04/05/23	21:00:00	16.630					
58	04/05/23	22:00:00	16.582					
59	04/05/23	23:00:00	16.534					
60	05/05/23	00:00:00	16.487					
61	05/05/23	01:00:00	16.511					
62	05/05/23	02:00:00	16.606					
63	05/05/23	03:00:00	16.415					
64	05/05/23	04:00:00	16.534					
65	05/05/23	05:00:00	16.558					
66	05/05/23	06:00:00	16.415					
67	05/05/23	07:00:00	16.534					
68	05/05/23	08:00:00	16.582					
69	05/05/23	09:00:00	16.487					
70	05/05/23	10:00:00	16.487					
71	05/05/23	11:00:00	16.439					
72	05/05/23	12:00:00	16.463					
73	05/05/23	13:00:00	16.534					
74	05/05/23	14:00:00	16.606					
75	05/05/23	15:00:00	16.606					
76	05/05/23	16:00:00	17.130					
77	05/05/23	17:00:00	17.249					
78	05/05/23	18:00:00	17.106					
79	05/05/23	19:00:00	18.176					
80	05/05/23	20:00:00	17.272					
81	05/05/23	21:00:00	16.677					
82	05/05/23	22:00:00	16.630					
83	05/05/23	23:00:00	16.582					
84	06/05/23	00:00:00	16.606					
85	06/05/23	01:00:00	16.630					
86	06/05/23	02:00:00	16.534					
87	06/05/23	03:00:00	16.392					
88	06/05/23	04:00:00	16.534					
89	06/05/23	05:00:00	16.534					
90	06/05/23	06:00:00	16.630					
91	06/05/23	07:00:00	16.511					
92	06/05/23	08:00:00	16.582					
93	06/05/23	09:00:00	16.582					
94	06/05/23	10:00:00	16.487					
95	06/05/23	11:00:00	16.463					
96	06/05/23	12:00:00	16.606					
97	06/05/23	13:00:00	16.725					
98	06/05/23	14:00:00	16.749					
99	06/05/23	15:00:00	16.701					
100	06/05/23	16:00:00	16.654					
101	06/05/23	17:00:00	16.820					
102	06/05/23	18:00:00	16.796					
103	06/05/23	19:00:00	16.534					
104	06/05/23	20:00:00	16.415					
105	06/05/23	21:00:00	16.249					
106	06/05/23	22:00:00	16.225					
107	06/05/23	23:00:00	16.010					
108	07/05/23	00:00:00	16.010					
109	07/05/23	01:00:00	16.201					
110	07/05/23	02:00:00	16.415					
111	07/05/23	03:00:00	16.272					
112	07/05/23	04:00:00	16.296					
113	07/05/23	05:00:00	16.344					
114	07/05/23	06:00:00	16.368					
115	07/05/23	07:00:00	16.534					
116	07/05/23	08:00:00	16.392					
117	07/05/23	09:00:00	16.201					
118	07/05/23	10:00:00	16.201					
119	07/05/23	11:00:00	16.153					
120	07/05/23	12:00:00	16.082					
121	07/05/23	13:00:00	15.891					
122	07/05/23	14:00:00	15.796					
123	07/05/23	15:00:00	15.605					
124	07/05/23	16:00:00	15.986					
125	07/05/23	17:00:00	16.249					
126	07/05/23	18:00:00	16.511					
127	07/05/23	19:00:00	16.558					
128	07/05/23	20:00:00	16.320					
129	07/05/23	21:00:00	16.582					
130	07/05/23	22:00:00	16.415					
131	07/05/23	23:00:00	16.320					
132	08/05/23	00:00:00	16.272					
133	08/05/23	01:00:00	16.177					
134	08/05/23	02:00:00	16.082					
135	08/05/23	03:00:00	15.939					
136	08/05/23	04:00:00	15.843					
137	08/05/23	05:00:00	15.915					
138	08/05/23	06:00:00	15.939					
139	08/05/23	07:00:00	15.963					
140	08/05/23	08:00:00	15.939					
141	08/05/23	09:00:00	16.177					
142	08/05/23	10:00:00	16.177					
143	08/05/23	11:00:00	16.320					
144	08/05/23	12:00:00	16.201					
145	08/05/23	13:00:00	16.320					
146	08/05/23	14:00:00	16.272					
147	08/05/23	15:00:00	16.153					
148	08/05/23	16:00:00	16.272					
149	08/05/23	17:00:00	16.082					
150	08/05/23	18:00:00	15.652					
151	08/05/23	19:00:00	15.724					
152	08/05/23	20:00:00	16.368					
153	08/05/23	21:00:00	16.201					
154	08/05/23	22:00:00	16.034					
155	08/05/23	23:00:00	16.106					
156	09/05/23	00:00:00	15.891					
157	09/05/23	01:00:00	15.891					
158	09/05/23	02:00:00	15.652					
159	09/05/23	03:00:00	15.557					
160	09/05/23	04:00:00	15.915					
161	09/05/23	05:00:00	15.676					
162	09/05/23	06:00:00	15.700					
163	09/05/23	07:00:00	15.986					
164	09/05/23	08:00:00	16.010					
165	09/05/23	09:00:00	16.272					
166	09/05/23	10:00:00	16.225					
167	09/05/23	11:00:00	16.296					
168	09/05/23	12:00:00	16.344					
169	09/05/23	13:00:00	16.296					
170	09/05/23	14:00:00	16.463					
171	09/05/23	15:00:00	16.249					
172	09/05/23	16:00:00	15.939					
173	09/05/23	17:00:00	16.534					
174	09/05/23	18:00:00	16.701					
175	09/05/23	19:00:00	16.725					
176	09/05/23	20:00:00	16.487					
177	09/05/23	21:00:00	16.201					
178	09/05/23	22:00:00	16.320					
179	09/05/23	23:00:00	16.320					
180	10/05/23	00:00:00	16.320					
181	10/05/23	01:00:00	16.320					
182	10/05/23	02:00:00	16.344					
183	10/05/23	03:00:00	16.320					
184	10/05/23	04:00:00	16.296					
185	10/05/23	05:00:00	17.153					
