"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20235962, SEN S/N: 20235962)"	"Acoplador separado (LGR S/N: 20235962, SEN S/N: 20235962)"	"Acoplador adjunto (LGR S/N: 20235962, SEN S/N: 20235962)"	"Host conectado (LGR S/N: 20235962, SEN S/N: 20235962)"	"Final de archivo (LGR S/N: 20235962, SEN S/N: 20235962)"
1	21/09/22	10:00:00	22.705	Registrado			
2	21/09/22	11:00:00	25.210				
3	21/09/22	12:00:00	32.278				
4	21/09/22	13:00:00	29.840				
5	21/09/22	14:00:00	24.823				
6	21/09/22	15:00:00	24.871				
7	21/09/22	16:00:00	24.871				
8	21/09/22	17:00:00	24.871				
9	21/09/22	18:00:00	24.798				
10	21/09/22	19:00:00	24.798				
11	21/09/22	20:00:00	24.774				
12	21/09/22	21:00:00	24.726				
13	21/09/22	22:00:00	24.653				
14	21/09/22	23:00:00	24.605				
15	22/09/22	00:00:00	24.532				
16	22/09/22	01:00:00	24.532				
17	22/09/22	02:00:00	24.532				
18	22/09/22	03:00:00	24.484				
19	22/09/22	04:00:00	24.388				
20	22/09/22	05:00:00	24.363				
21	22/09/22	06:00:00	24.339				
22	22/09/22	07:00:00	24.315				
23	22/09/22	08:00:00	24.243				
24	22/09/22	09:00:00	24.171				
25	22/09/22	10:00:00	24.171				
26	22/09/22	11:00:00	24.243				
27	22/09/22	12:00:00	24.315				
28	22/09/22	13:00:00	24.412				
29	22/09/22	14:00:00	24.339				
30	22/09/22	15:00:00	24.315				
31	22/09/22	16:00:00	24.363				
32	22/09/22	17:00:00	24.339				
33	22/09/22	18:00:00	24.074				
34	22/09/22	19:00:00	24.074				
35	22/09/22	20:00:00	24.050				
36	22/09/22	21:00:00	24.074				
37	22/09/22	22:00:00	24.098				
38	22/09/22	23:00:00	24.146				
39	23/09/22	00:00:00	24.098				
40	23/09/22	01:00:00	24.002				
41	23/09/22	02:00:00	23.905				
42	23/09/22	03:00:00	23.881				
43	23/09/22	04:00:00	23.833				
44	23/09/22	05:00:00	23.833				
45	23/09/22	06:00:00	23.809				
46	23/09/22	07:00:00	23.761				
47	23/09/22	08:00:00	23.737				
48	23/09/22	09:00:00	23.713				
49	23/09/22	10:00:00	23.785				
50	23/09/22	11:00:00	23.809				
51	23/09/22	12:00:00	23.833				
52	23/09/22	13:00:00	23.881				
53	23/09/22	14:00:00	23.930				
54	23/09/22	15:00:00	23.905				
55	23/09/22	16:00:00	24.026				
56	23/09/22	17:00:00	23.978				
57	23/09/22	18:00:00	23.881				
58	23/09/22	19:00:00	23.857				
59	23/09/22	20:00:00	23.785				
60	23/09/22	21:00:00	23.785				
61	23/09/22	22:00:00	23.785				
62	23/09/22	23:00:00	23.713				
63	24/09/22	00:00:00	23.665				
64	24/09/22	01:00:00	23.641				
65	24/09/22	02:00:00	23.617				
66	24/09/22	03:00:00	23.617				
67	24/09/22	04:00:00	23.569				
68	24/09/22	05:00:00	23.472				
69	24/09/22	06:00:00	23.472				
70	24/09/22	07:00:00	23.448				
71	24/09/22	08:00:00	23.497				
72	24/09/22	09:00:00	23.545				
73	24/09/22	10:00:00	23.569				
74	24/09/22	11:00:00	23.569				
75	24/09/22	12:00:00	23.569				
76	24/09/22	13:00:00	23.569				
77	24/09/22	14:00:00	23.569				
78	24/09/22	15:00:00	23.569				
79	24/09/22	16:00:00	23.569				
80	24/09/22	17:00:00	23.545				
81	24/09/22	18:00:00	23.545				
82	24/09/22	19:00:00	23.545				
83	24/09/22	20:00:00	23.497				
84	24/09/22	21:00:00	23.472				
85	24/09/22	22:00:00	23.472				
86	24/09/22	23:00:00	23.424				
87	25/09/22	00:00:00	23.208				
88	25/09/22	01:00:00	23.088				
89	25/09/22	02:00:00	23.064				
90	25/09/22	03:00:00	23.136				
91	25/09/22	04:00:00	23.256				
92	25/09/22	05:00:00	23.232				
93	25/09/22	06:00:00	23.184				
94	25/09/22	07:00:00	23.184				
