"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20987454, SEN S/N: 20987454)"	"Acoplador separado (LGR S/N: 20987454, SEN S/N: 20987454)"	"Acoplador adjunto (LGR S/N: 20987454, SEN S/N: 20987454)"	"Host conectado (LGR S/N: 20987454, SEN S/N: 20987454)"	"Parado (LGR S/N: 20987454, SEN S/N: 20987454)"	"Final de archivo (LGR S/N: 20987454, SEN S/N: 20987454)"
1	21/09/22	10:00:00	23.400	Registrado				
2	21/09/22	11:00:00	24.944					
3	21/09/22	12:00:00	30.925					
4	21/09/22	13:00:00	28.147					
5	21/09/22	14:00:00	24.774					
6	21/09/22	15:00:00	24.798					
7	21/09/22	16:00:00	24.798					
8	21/09/22	17:00:00	24.171					
9	21/09/22	18:00:00	23.497					
10	21/09/22	19:00:00	24.098					
11	21/09/22	20:00:00	24.146					
12	21/09/22	21:00:00	24.388					
13	21/09/22	22:00:00	24.484					
14	21/09/22	23:00:00	24.436					
15	22/09/22	00:00:00	24.171					
16	22/09/22	01:00:00	24.315					
17	22/09/22	02:00:00	21.939					
18	22/09/22	03:00:00	18.771					
19	22/09/22	04:00:00	18.057					
20	22/09/22	05:00:00	16.987					
21	22/09/22	06:00:00	18.414					
22	22/09/22	07:00:00	20.174					
23	22/09/22	08:00:00	17.582					
24	22/09/22	09:00:00	17.534					
25	22/09/22	10:00:00	17.439					
26	22/09/22	11:00:00	18.628					
27	22/09/22	12:00:00	18.628					
28	22/09/22	13:00:00	17.772					
29	22/09/22	14:00:00	19.746					
30	22/09/22	15:00:00	17.677					
31	22/09/22	16:00:00	17.938					
32	22/09/22	17:00:00	17.011					
33	22/09/22	18:00:00	19.579					
34	22/09/22	19:00:00	21.676					
35	22/09/22	20:00:00	16.558					
36	22/09/22	21:00:00	16.558					
37	22/09/22	22:00:00	17.177					
38	22/09/22	23:00:00	18.414					
39	23/09/22	00:00:00	16.820					
40	23/09/22	01:00:00	18.319					
41	23/09/22	02:00:00	18.152					
42	23/09/22	03:00:00	17.653					
43	23/09/22	04:00:00	20.317					
44	23/09/22	05:00:00	18.366					
45	23/09/22	06:00:00	23.400					
46	23/09/22	07:00:00	23.593					
47	23/09/22	08:00:00	19.056					
48	23/09/22	09:00:00	17.986					
49	23/09/22	10:00:00	22.585					
50	23/09/22	11:00:00	17.582					
51	23/09/22	12:00:00	17.249					
52	23/09/22	13:00:00	16.844					
53	23/09/22	14:00:00	17.677					
54	23/09/22	15:00:00	17.415					
55	23/09/22	16:00:00	18.771					
56	23/09/22	17:00:00	18.033					
57	23/09/22	18:00:00	20.103					
58	23/09/22	19:00:00	19.175					
59	23/09/22	20:00:00	22.417					
60	23/09/22	21:00:00	21.294					
61	23/09/22	22:00:00	23.208					
62	23/09/22	23:00:00	23.208					
63	24/09/22	00:00:00	23.304					
64	24/09/22	01:00:00	23.448					
65	24/09/22	02:00:00	23.376					
66	24/09/22	03:00:00	23.545					
67	24/09/22	04:00:00	23.569					
68	24/09/22	05:00:00	23.521					
