"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21152198, SEN S/N: 21152198, LBL: 35m)"	"Acoplador separado (LGR S/N: 21152198, SEN S/N: 21152198)"	"Acoplador adjunto (LGR S/N: 21152198, SEN S/N: 21152198)"	"Host conectado (LGR S/N: 21152198, SEN S/N: 21152198)"	"Parado (LGR S/N: 21152198, SEN S/N: 21152198)"	"Final de archivo (LGR S/N: 21152198, SEN S/N: 21152198)"
1	05/04/23	10:00:00	16.082	Registrado				
2	05/04/23	11:00:00	14.290					
3	05/04/23	12:00:00	14.505					
4	05/04/23	13:00:00	14.505					
5	05/04/23	14:00:00	14.505					
6	05/04/23	15:00:00	14.481					
7	05/04/23	16:00:00	14.433					
8	05/04/23	17:00:00	14.433					
9	05/04/23	18:00:00	14.433					
10	05/04/23	19:00:00	14.433					
11	05/04/23	20:00:00	14.457					
12	05/04/23	21:00:00	14.385					
13	05/04/23	22:00:00	14.409					
14	05/04/23	23:00:00	14.409					
15	06/04/23	00:00:00	14.409					
16	06/04/23	01:00:00	14.409					
17	06/04/23	02:00:00	14.433					
18	06/04/23	03:00:00	14.433					
19	06/04/23	04:00:00	14.385					
20	06/04/23	05:00:00	14.409					
21	06/04/23	06:00:00	14.409					
22	06/04/23	07:00:00	14.409					
23	06/04/23	08:00:00	14.409					
24	06/04/23	09:00:00	14.409					
25	06/04/23	10:00:00	14.385					
26	06/04/23	11:00:00	14.385					
27	06/04/23	12:00:00	14.385					
28	06/04/23	13:00:00	14.385					
29	06/04/23	14:00:00	14.385					
30	06/04/23	15:00:00	14.385					
31	06/04/23	16:00:00	14.409					
32	06/04/23	17:00:00	14.385					
33	06/04/23	18:00:00	14.385					
34	06/04/23	19:00:00	14.385					
35	06/04/23	20:00:00	14.385					
36	06/04/23	21:00:00	14.409					
37	06/04/23	22:00:00	14.457					
38	06/04/23	23:00:00	14.457					
39	07/04/23	00:00:00	14.481					
