"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20987455, SEN S/N: 20987455, LBL: Cannelle 05m)"	"Acoplador separado (LGR S/N: 20987455, SEN S/N: 20987455)"	"Acoplador adjunto (LGR S/N: 20987455, SEN S/N: 20987455)"	"Host conectado (LGR S/N: 20987455, SEN S/N: 20987455)"	"Parado (LGR S/N: 20987455, SEN S/N: 20987455)"	"Final de archivo (LGR S/N: 20987455, SEN S/N: 20987455)"
1	05/04/23	10:00:00	15.127	Registrado				
2	05/04/23	11:00:00	14.409					
3	05/04/23	12:00:00	15.103					
4	05/04/23	13:00:00	14.816					
5	05/04/23	14:00:00	14.888					
6	05/04/23	15:00:00	14.936					
7	05/04/23	16:00:00	14.840					
8	05/04/23	17:00:00	14.673					
9	05/04/23	18:00:00	14.673					
10	05/04/23	19:00:00	14.577					
11	05/04/23	20:00:00	14.481					
12	05/04/23	21:00:00	14.481					
13	05/04/23	22:00:00	14.481					
14	05/04/23	23:00:00	14.457					
15	06/04/23	00:00:00	14.481					
16	06/04/23	01:00:00	14.481					
17	06/04/23	02:00:00	14.481					
18	06/04/23	03:00:00	14.433					
19	06/04/23	04:00:00	14.433					
20	06/04/23	05:00:00	14.409					
21	06/04/23	06:00:00	14.385					
22	06/04/23	07:00:00	14.385					
23	06/04/23	08:00:00	14.385					
24	06/04/23	09:00:00	14.409					
25	06/04/23	10:00:00	14.481					
26	06/04/23	11:00:00	14.601					
27	06/04/23	12:00:00	14.745					
28	06/04/23	13:00:00	14.816					
29	06/04/23	14:00:00	14.888					
30	06/04/23	15:00:00	15.031					
31	06/04/23	16:00:00	15.031					
32	06/04/23	17:00:00	14.960					
33	06/04/23	18:00:00	14.984					
34	06/04/23	19:00:00	14.912					
35	06/04/23	20:00:00	14.816					
36	06/04/23	21:00:00	14.792					
37	06/04/23	22:00:00	14.745					
38	06/04/23	23:00:00	14.745					
39	07/04/23	00:00:00	14.697					
40	07/04/23	01:00:00	14.625					
41	07/04/23	02:00:00	14.601					
42	07/04/23	03:00:00	14.577					
43	07/04/23	04:00:00	14.577					
44	07/04/23	05:00:00	14.553					
45	07/04/23	06:00:00	14.529					
46	07/04/23	07:00:00	14.505					
47	07/04/23	08:00:00	14.529					
48	07/04/23	09:00:00	14.529					
49	07/04/23	10:00:00	14.601					
50	07/04/23	11:00:00	14.721					
51	07/04/23	12:00:00	14.888					
52	07/04/23	13:00:00	14.984					
53	07/04/23	14:00:00	15.031					
54	07/04/23	15:00:00	15.031					
55	07/04/23	16:00:00	14.960					
56	07/04/23	17:00:00	14.936					
57	07/04/23	18:00:00	14.888					
58	07/04/23	19:00:00	14.673					
59	07/04/23	20:00:00	14.768					
60	07/04/23	21:00:00	14.768					
61	07/04/23	22:00:00	14.792					
62	07/04/23	23:00:00	14.601					
63	08/04/23	00:00:00	14.673					
64	08/04/23	01:00:00	14.577					
65	08/04/23	02:00:00	14.577					
66	08/04/23	03:00:00	14.553					
67	08/04/23	04:00:00	14.481					
68	08/04/23	05:00:00	14.481					
69	08/04/23	06:00:00	14.457					
70	08/04/23	07:00:00	14.481					
71	08/04/23	08:00:00	14.481					
72	08/04/23	09:00:00	14.481					
73	08/04/23	10:00:00	14.481					
74	08/04/23	11:00:00	14.721					
75	08/04/23	12:00:00	14.888					
76	08/04/23	13:00:00	14.960					
77	08/04/23	14:00:00	15.031					
78	08/04/23	15:00:00	14.936					
79	08/04/23	16:00:00	14.936					
80	08/04/23	17:00:00	14.840					
81	08/04/23	18:00:00	14.697					
82	08/04/23	19:00:00	14.649					
83	08/04/23	20:00:00	14.625					
84	08/04/23	21:00:00	14.625					
85	08/04/23	22:00:00	14.577					
86	08/04/23	23:00:00	14.577					
87	09/04/23	00:00:00	14.553					
88	09/04/23	01:00:00	14.529					
89	09/04/23	02:00:00	14.505					
90	09/04/23	03:00:00	14.481					
91	09/04/23	04:00:00	14.457					
92	09/04/23	05:00:00	14.433					
93	09/04/23	06:00:00	14.409					
94	09/04/23	07:00:00	14.361					
95	09/04/23	08:00:00	14.409					
96	09/04/23	09:00:00	14.457					
97	09/04/23	10:00:00	14.529					
98	09/04/23	11:00:00	14.697					
99	09/04/23	12:00:00	14.816					
100	09/04/23	13:00:00	15.031					
101	09/04/23	14:00:00	15.055					
102	09/04/23	15:00:00	15.055					
103	09/04/23	16:00:00	15.008					
104	09/04/23	17:00:00	14.984					
105	09/04/23	18:00:00	14.912					
106	09/04/23	19:00:00	14.816					
107	09/04/23	20:00:00	14.768					
108	09/04/23	21:00:00	14.745					
109	09/04/23	22:00:00	14.721					
110	09/04/23	23:00:00	14.697					
111	10/04/23	00:00:00	14.673					
112	10/04/23	01:00:00	14.649					
113	10/04/23	02:00:00	14.625					
114	10/04/23	03:00:00	14.601					
115	10/04/23	04:00:00	14.601					
116	10/04/23	05:00:00	14.577					
117	10/04/23	06:00:00	14.553					
118	10/04/23	07:00:00	14.529					
119	10/04/23	08:00:00	14.529					
120	10/04/23	09:00:00	14.577					
121	10/04/23	10:00:00	14.625					
122	10/04/23	11:00:00	14.768					
123	10/04/23	12:00:00	15.031					
124	10/04/23	13:00:00	15.270					
125	10/04/23	14:00:00	15.366					
126	10/04/23	15:00:00	15.342					
127	10/04/23	16:00:00	15.175					
128	10/04/23	17:00:00	15.175					
129	10/04/23	18:00:00	15.127					
130	10/04/23	19:00:00	15.390					
131	10/04/23	20:00:00	15.247					
132	10/04/23	21:00:00	15.199					
133	10/04/23	22:00:00	15.175					
