"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20987441, SEN S/N: 20987441, LBL: Cannelle 10m)"	"Acoplador separado (LGR S/N: 20987441, SEN S/N: 20987441)"	"Acoplador adjunto (LGR S/N: 20987441, SEN S/N: 20987441)"	"Host conectado (LGR S/N: 20987441, SEN S/N: 20987441)"	"Parado (LGR S/N: 20987441, SEN S/N: 20987441)"	"Final de archivo (LGR S/N: 20987441, SEN S/N: 20987441)"
1	05/04/23	10:00:00	14.146	Registrado				
2	05/04/23	11:00:00	14.409					
3	05/04/23	12:00:00	15.103					
4	05/04/23	13:00:00	14.768					
5	05/04/23	14:00:00	14.816					
6	05/04/23	15:00:00	14.816					
7	05/04/23	16:00:00	14.721					
8	05/04/23	17:00:00	14.625					
9	05/04/23	18:00:00	14.601					
10	05/04/23	19:00:00	14.529					
11	05/04/23	20:00:00	14.481					
12	05/04/23	21:00:00	14.505					
13	05/04/23	22:00:00	14.481					
14	05/04/23	23:00:00	14.457					
15	06/04/23	00:00:00	14.457					
16	06/04/23	01:00:00	14.481					
17	06/04/23	02:00:00	14.481					
18	06/04/23	03:00:00	14.481					
19	06/04/23	04:00:00	14.481					
20	06/04/23	05:00:00	14.481					
21	06/04/23	06:00:00	14.481					
22	06/04/23	07:00:00	14.433					
23	06/04/23	08:00:00	14.433					
24	06/04/23	09:00:00	14.457					
25	06/04/23	10:00:00	14.529					
26	06/04/23	11:00:00	14.649					
27	06/04/23	12:00:00	14.673					
28	06/04/23	13:00:00	14.673					
29	06/04/23	14:00:00	14.721					
30	06/04/23	15:00:00	14.745					
31	06/04/23	16:00:00	14.745					
32	06/04/23	17:00:00	14.697					
33	06/04/23	18:00:00	14.768					
34	06/04/23	19:00:00	14.673					
35	06/04/23	20:00:00	14.625					
36	06/04/23	21:00:00	14.601					
37	06/04/23	22:00:00	14.601					
38	06/04/23	23:00:00	14.601					
39	07/04/23	00:00:00	14.601					
40	07/04/23	01:00:00	14.625					
41	07/04/23	02:00:00	14.625					
42	07/04/23	03:00:00	14.625					
43	07/04/23	04:00:00	14.601					
44	07/04/23	05:00:00	14.601					
45	07/04/23	06:00:00	14.601					
46	07/04/23	07:00:00	14.577					
47	07/04/23	08:00:00	14.577					
48	07/04/23	09:00:00	14.601					
49	07/04/23	10:00:00	14.649					
50	07/04/23	11:00:00	14.768					
51	07/04/23	12:00:00	14.888					
52	07/04/23	13:00:00	14.936					
53	07/04/23	14:00:00	14.960					
54	07/04/23	15:00:00	14.960					
55	07/04/23	16:00:00	14.936					
56	07/04/23	17:00:00	14.792					
57	07/04/23	18:00:00	14.745					
58	07/04/23	19:00:00	14.649					
59	07/04/23	20:00:00	14.649					
60	07/04/23	21:00:00	14.625					
61	07/04/23	22:00:00	14.625					
62	07/04/23	23:00:00	14.601					
63	08/04/23	00:00:00	14.601					
64	08/04/23	01:00:00	14.577					
65	08/04/23	02:00:00	14.577					
66	08/04/23	03:00:00	14.577					
67	08/04/23	04:00:00	14.529					
68	08/04/23	05:00:00	14.529					
69	08/04/23	06:00:00	14.505					
70	08/04/23	07:00:00	14.505					
71	08/04/23	08:00:00	14.529					
72	08/04/23	09:00:00	14.529					
73	08/04/23	10:00:00	14.553					
74	08/04/23	11:00:00	14.721					
75	08/04/23	12:00:00	14.792					
76	08/04/23	13:00:00	14.888					
77	08/04/23	14:00:00	14.888					
78	08/04/23	15:00:00	14.768					
79	08/04/23	16:00:00	14.768					
80	08/04/23	17:00:00	14.697					
81	08/04/23	18:00:00	14.625					
82	08/04/23	19:00:00	14.601					
83	08/04/23	20:00:00	14.577					
84	08/04/23	21:00:00	14.601					
85	08/04/23	22:00:00	14.577					
86	08/04/23	23:00:00	14.577					
87	09/04/23	00:00:00	14.601					
88	09/04/23	01:00:00	14.577					
89	09/04/23	02:00:00	14.553					
90	09/04/23	03:00:00	14.529					
91	09/04/23	04:00:00	14.529					
92	09/04/23	05:00:00	14.505					
93	09/04/23	06:00:00	14.481					
94	09/04/23	07:00:00	14.433					
95	09/04/23	08:00:00	14.457					
96	09/04/23	09:00:00	14.505					
97	09/04/23	10:00:00	14.577					
98	09/04/23	11:00:00	14.721					
99	09/04/23	12:00:00	14.816					
100	09/04/23	13:00:00	14.960					
101	09/04/23	14:00:00	15.008					
102	09/04/23	15:00:00	15.079					
103	09/04/23	16:00:00	15.055					
104	09/04/23	17:00:00	14.960					
105	09/04/23	18:00:00	14.816					
106	09/04/23	19:00:00	14.768					
107	09/04/23	20:00:00	14.721					
108	09/04/23	21:00:00	14.697					
109	09/04/23	22:00:00	14.697					
110	09/04/23	23:00:00	14.649					
111	10/04/23	00:00:00	14.649					
112	10/04/23	01:00:00	14.649					
113	10/04/23	02:00:00	14.649					
114	10/04/23	03:00:00	14.625					
115	10/04/23	04:00:00	14.625					
116	10/04/23	05:00:00	14.625					
117	10/04/23	06:00:00	14.625					
118	10/04/23	07:00:00	14.601					
119	10/04/23	08:00:00	14.601					
120	10/04/23	09:00:00	14.649					
121	10/04/23	10:00:00	14.673					
122	10/04/23	11:00:00	14.816					
123	10/04/23	12:00:00	14.960					
124	10/04/23	13:00:00	15.247					
125	10/04/23	14:00:00	15.294					
126	10/04/23	15:00:00	15.199					
127	10/04/23	16:00:00	15.103					
128	10/04/23	17:00:00	15.079					
129	10/04/23	18:00:00	14.984					
130	10/04/23	19:00:00	15.175					
131	10/04/23	20:00:00	15.103					
132	10/04/23	21:00:00	15.079					
133	10/04/23	22:00:00	15.055					
134	10/04/23	23:00:00	15.031					
135	11/04/23	00:00:00	15.008					
136	11/04/23	01:00:00	14.984					
137	11/04/23	02:00:00	14.984					
138	11/04/23	03:00:00	14.912					
139	11/04/23	04:00:00	14.912					
140	11/04/23	05:00:00	14.864					
141	11/04/23	06:00:00	14.864					
142	11/04/23	07:00:00	14.840					
143	11/04/23	08:00:00	14.864					
144	11/04/23	09:00:00	14.936					
145	11/04/23	10:00:00	15.008					
146	11/04/23	11:00:00	15.079					
147	11/04/23	12:00:00	15.031					
148	11/04/23	13:00:00	15.031					
149	11/04/23	14:00:00	15.055					
150	11/04/23	15:00:00	15.199					
151	11/04/23	16:00:00	15.223					
152	11/04/23	17:00:00	15.055					
153	11/04/23	18:00:00	14.792					
154	11/04/23	19:00:00	14.745					
155	11/04/23	20:00:00	14.673					
156	11/04/23	21:00:00	14.649					
157	11/04/23	22:00:00	14.792					
158	11/04/23	23:00:00	14.673					
159	12/04/23	00:00:00	14.888					
160	12/04/23	01:00:00	14.936					
161	12/04/23	02:00:00	14.912					
162	12/04/23	03:00:00	14.912					
163	12/04/23	04:00:00	14.912					
164	12/04/23	05:00:00	14.936					
165	12/04/23	06:00:00	14.912					
166	12/04/23	07:00:00	14.912					
167	12/04/23	08:00:00	14.936					
168	12/04/23	09:00:00	14.960					
169	12/04/23	10:00:00	15.031					
170	12/04/23	11:00:00	15.103					
171	12/04/23	12:00:00	15.055					
172	12/04/23	13:00:00	15.031					
173	12/04/23	14:00:00	15.008					
174	12/04/23	15:00:00	14.984					
175	12/04/23	16:00:00	14.960					
176	12/04/23	17:00:00	14.912					
177	12/04/23	18:00:00	14.912					
178	12/04/23	19:00:00	14.912					
179	12/04/23	20:00:00	14.912					
180	12/04/23	21:00:00	14.864					
181	12/04/23	22:00:00	14.864					
182	12/04/23	23:00:00	14.864					
183	13/04/23	00:00:00	14.888					
184	13/04/23	01:00:00	14.912					
185	13/04/23	02:00:00	14.912					
186	13/04/23	03:00:00	14.912					
187	13/04/23	04:00:00	14.888					
188	13/04/23	05:00:00	14.768					
189	13/04/23	06:00:00	14.745					
190	13/04/23	07:00:00	14.816					
191	13/04/23	08:00:00	14.792					
192	13/04/23	09:00:00	14.816					
193	13/04/23	10:00:00	14.912					
194	13/04/23	11:00:00	14.936					
195	13/04/23	12:00:00	14.984					
196	13/04/23	13:00:00	14.984					
197	13/04/23	14:00:00	15.079					
198	13/04/23	15:00:00	15.079					
199	13/04/23	16:00:00	15.079					
200	13/04/23	17:00:00	15.055					
201	13/04/23	18:00:00	15.008					
202	13/04/23	19:00:00	14.960					
203	13/04/23	20:00:00	14.960					
204	13/04/23	21:00:00	14.936					
205	13/04/23	22:00:00	14.936					
206	13/04/23	23:00:00	14.912					
207	14/04/23	00:00:00	14.912					
208	14/04/23	01:00:00	14.912					
209	14/04/23	02:00:00	14.888					
210	14/04/23	03:00:00	14.888					
211	14/04/23	04:00:00	14.864					
212	14/04/23	05:00:00	14.864					
213	14/04/23	06:00:00	14.888					
214	14/04/23	07:00:00	14.912					
215	14/04/23	08:00:00	14.888					
216	14/04/23	09:00:00	14.960					
217	14/04/23	10:00:00	14.984					
218	14/04/23	11:00:00	15.103					
219	14/04/23	12:00:00	15.151					
220	14/04/23	13:00:00	15.223					
221	14/04/23	14:00:00	15.247					
222	14/04/23	15:00:00	15.270					
223	14/04/23	16:00:00	15.270					
224	14/04/23	17:00:00	15.247					
225	14/04/23	18:00:00	15.247					
226	14/04/23	19:00:00	15.199					
227	14/04/23	20:00:00	15.151					
228	14/04/23	21:00:00	15.151					
229	14/04/23	22:00:00	15.127					
230	14/04/23	23:00:00	15.127					
231	15/04/23	00:00:00	15.127					
232	15/04/23	01:00:00	15.103					
233	15/04/23	02:00:00	15.103					
234	15/04/23	03:00:00	15.103					
235	15/04/23	04:00:00	15.079					
236	15/04/23	05:00:00	15.055					
237	15/04/23	06:00:00	15.055					
238	15/04/23	07:00:00	15.008					
239	15/04/23	08:00:00	15.008					
240	15/04/23	09:00:00	15.008					
241	15/04/23	10:00:00	15.008					
242	15/04/23	11:00:00	15.103					
