"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20618091, SEN S/N: 20618091, LBL: Portofino-Tonnarella 40m)"	"Acoplador separado (LGR S/N: 20618091, SEN S/N: 20618091)"	"Acoplador adjunto (LGR S/N: 20618091, SEN S/N: 20618091)"	"Host conectado (LGR S/N: 20618091, SEN S/N: 20618091)"	"Parado (LGR S/N: 20618091, SEN S/N: 20618091)"	"Final de archivo (LGR S/N: 20618091, SEN S/N: 20618091)"
1	02/09/21	13:00:00	15.724	Registrado				
2	02/09/21	14:00:00	15.629					
3	02/09/21	15:00:00	15.819					
4	02/09/21	16:00:00	15.915					
5	02/09/21	17:00:00	16.153					
6	02/09/21	18:00:00	15.915					
7	02/09/21	19:00:00	15.485					
8	02/09/21	20:00:00	15.963					
9	02/09/21	21:00:00	16.439					
10	02/09/21	22:00:00	16.272					
11	02/09/21	23:00:00	15.748					
12	03/09/21	00:00:00	15.581					
13	03/09/21	01:00:00	15.748					
14	03/09/21	02:00:00	16.296					
15	03/09/21	03:00:00	16.201					
16	03/09/21	04:00:00	15.796					
17	03/09/21	05:00:00	15.509					
18	03/09/21	06:00:00	16.201					
19	03/09/21	07:00:00	16.296					
20	03/09/21	08:00:00	15.796					
21	03/09/21	09:00:00	15.390					
22	03/09/21	10:00:00	15.676					
23	03/09/21	11:00:00	16.749					
24	03/09/21	12:00:00	16.749					
25	03/09/21	13:00:00	16.344					
26	03/09/21	14:00:00	16.225					
27	03/09/21	15:00:00	16.106					
28	03/09/21	16:00:00	16.392					
29	03/09/21	17:00:00	16.153					
30	03/09/21	18:00:00	16.249					
31	03/09/21	19:00:00	16.368					
32	03/09/21	20:00:00	15.652					
33	03/09/21	21:00:00	15.748					
34	03/09/21	22:00:00	15.891					
35	03/09/21	23:00:00	16.201					
36	04/09/21	00:00:00	16.177					
37	04/09/21	01:00:00	16.296					
38	04/09/21	02:00:00	16.892					
39	04/09/21	03:00:00	16.868					
40	04/09/21	04:00:00	16.701					
41	04/09/21	05:00:00	16.439					
42	04/09/21	06:00:00	16.368					
43	04/09/21	07:00:00	16.034					
44	04/09/21	08:00:00	15.700					
45	04/09/21	09:00:00	15.724					
46	04/09/21	10:00:00	16.225					
47	04/09/21	11:00:00	16.487					
48	04/09/21	12:00:00	15.819					
49	04/09/21	13:00:00	15.867					
50	04/09/21	14:00:00	16.010					
51	04/09/21	15:00:00	17.011					
52	04/09/21	16:00:00	16.820					
53	04/09/21	17:00:00	16.654					
54	04/09/21	18:00:00	16.963					
55	04/09/21	19:00:00	16.630					
56	04/09/21	20:00:00	16.249					
57	04/09/21	21:00:00	16.487					
58	04/09/21	22:00:00	17.106					
59	04/09/21	23:00:00	17.177					
60	05/09/21	00:00:00	16.677					
61	05/09/21	01:00:00	17.011					
62	05/09/21	02:00:00	16.844					
63	05/09/21	03:00:00	16.773					
64	05/09/21	04:00:00	16.773					
65	05/09/21	05:00:00	17.082					
66	05/09/21	06:00:00	16.606					
67	05/09/21	07:00:00	17.153					
68	05/09/21	08:00:00	17.106					
69	05/09/21	09:00:00	16.439					
70	05/09/21	10:00:00	16.392					
71	05/09/21	11:00:00	16.392					
72	05/09/21	12:00:00	16.534					
73	05/09/21	13:00:00	16.725					
74	05/09/21	14:00:00	16.439					
75	05/09/21	15:00:00	16.082					
76	05/09/21	16:00:00	16.225					
77	05/09/21	17:00:00	16.439					
78	05/09/21	18:00:00	16.320					
