"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20618094, SEN S/N: 20618094, LBL: Tonnarella_5)"	"Acoplador separado (LGR S/N: 20618094, SEN S/N: 20618094)"	"Acoplador adjunto (LGR S/N: 20618094, SEN S/N: 20618094)"	"Parado (LGR S/N: 20618094, SEN S/N: 20618094)"	"Final de archivo (LGR S/N: 20618094, SEN S/N: 20618094)"
1	28/07/23	13:00:00	26.867	Registrado			
2	28/07/23	14:00:00	26.940				
3	28/07/23	15:00:00	27.014				
4	28/07/23	16:00:00	27.087				
5	28/07/23	17:00:00	27.210				
6	28/07/23	18:00:00	27.186				
7	28/07/23	19:00:00	27.210				
8	28/07/23	20:00:00	27.186				
9	28/07/23	21:00:00	27.161				
10	28/07/23	22:00:00	27.161				
11	28/07/23	23:00:00	27.112				
12	29/07/23	00:00:00	27.087				
13	29/07/23	01:00:00	27.112				
14	29/07/23	02:00:00	27.112				
15	29/07/23	03:00:00	27.087				
16	29/07/23	04:00:00	27.087				
17	29/07/23	05:00:00	27.087				
18	29/07/23	06:00:00	27.087				
19	29/07/23	07:00:00	27.063				
20	29/07/23	08:00:00	27.063				
21	29/07/23	09:00:00	27.063				
22	29/07/23	10:00:00	27.038				
23	29/07/23	11:00:00	27.038				
24	29/07/23	12:00:00	27.014				
25	29/07/23	13:00:00	27.063				
26	29/07/23	14:00:00	27.087				
27	29/07/23	15:00:00	27.136				
28	29/07/23	16:00:00	27.112				
29	29/07/23	17:00:00	27.038				
30	29/07/23	18:00:00	27.136				
31	29/07/23	19:00:00	27.186				
32	29/07/23	20:00:00	27.186				
33	29/07/23	21:00:00	27.161				
34	29/07/23	22:00:00	27.161				
35	29/07/23	23:00:00	27.136				
36	30/07/23	00:00:00	27.136				
37	30/07/23	01:00:00	27.136				
38	30/07/23	02:00:00	27.136				
39	30/07/23	03:00:00	27.136				
40	30/07/23	04:00:00	27.112				
41	30/07/23	05:00:00	27.112				
42	30/07/23	06:00:00	27.112				
43	30/07/23	07:00:00	27.087				
44	30/07/23	08:00:00	27.087				
45	30/07/23	09:00:00	27.087				
46	30/07/23	10:00:00	27.087				
47	30/07/23	11:00:00	27.087				
48	30/07/23	12:00:00	27.087				
49	30/07/23	13:00:00	27.087				
50	30/07/23	14:00:00	27.087				
51	30/07/23	15:00:00	27.087				
52	30/07/23	16:00:00	27.087				
53	30/07/23	17:00:00	27.136				
54	30/07/23	18:00:00	27.136				
55	30/07/23	19:00:00	27.186				
56	30/07/23	20:00:00	27.186				
57	30/07/23	21:00:00	27.186				
58	30/07/23	22:00:00	27.210				
59	30/07/23	23:00:00	27.210				
60	31/07/23	00:00:00	27.235				
61	31/07/23	01:00:00	27.235				
62	31/07/23	02:00:00	27.259				
63	31/07/23	03:00:00	27.259				
64	31/07/23	04:00:00	27.210				
65	31/07/23	05:00:00	27.186				
66	31/07/23	06:00:00	27.136				
67	31/07/23	07:00:00	27.136				
68	31/07/23	08:00:00	27.112				
69	31/07/23	09:00:00	27.136				
70	31/07/23	10:00:00	27.136				
71	31/07/23	11:00:00	27.161				
72	31/07/23	12:00:00	27.161				
73	31/07/23	13:00:00	27.210				
74	31/07/23	14:00:00	27.235				
75	31/07/23	15:00:00	27.284				
76	31/07/23	16:00:00	27.308				
77	31/07/23	17:00:00	27.333				
78	31/07/23	18:00:00	27.358				
79	31/07/23	19:00:00	27.407				
80	31/07/23	20:00:00	27.407				
81	31/07/23	21:00:00	27.382				
82	31/07/23	22:00:00	27.358				
83	31/07/23	23:00:00	27.333				
84	01/08/23	00:00:00	27.333				
85	01/08/23	01:00:00	27.308				
86	01/08/23	02:00:00	27.308				
87	01/08/23	03:00:00	27.284				
88	01/08/23	04:00:00	27.259				
89	01/08/23	05:00:00	27.235				
90	01/08/23	06:00:00	27.235				
91	01/08/23	07:00:00	27.186				
92	01/08/23	08:00:00	27.186				
93	01/08/23	09:00:00	27.161				
94	01/08/23	10:00:00	27.161				
95	01/08/23	11:00:00	27.161				
96	01/08/23	12:00:00	27.186				
97	01/08/23	13:00:00	27.186				
98	01/08/23	14:00:00	27.210				
99	01/08/23	15:00:00	27.235				
100	01/08/23	16:00:00	27.235				
101	01/08/23	17:00:00	27.235				
102	01/08/23	18:00:00	27.259				
103	01/08/23	19:00:00	27.284				
104	01/08/23	20:00:00	27.284				
105	01/08/23	21:00:00	27.210				
106	01/08/23	22:00:00	27.161				
107	01/08/23	23:00:00	27.136				
108	02/08/23	00:00:00	27.136				
109	02/08/23	01:00:00	27.136				
110	02/08/23	02:00:00	27.112				
111	02/08/23	03:00:00	27.087				
112	02/08/23	04:00:00	27.087				
113	02/08/23	05:00:00	27.087				
114	02/08/23	06:00:00	27.063				
115	02/08/23	07:00:00	27.038				
116	02/08/23	08:00:00	27.038				
117	02/08/23	09:00:00	27.063				
