"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20401559, SEN S/N: 20401559, LBL: Portofino_CalaOro_5m)"	"Acoplador separado (LGR S/N: 20401559, SEN S/N: 20401559)"	"Acoplador adjunto (LGR S/N: 20401559, SEN S/N: 20401559)"	"Parado (LGR S/N: 20401559, SEN S/N: 20401559)"	"Final de archivo (LGR S/N: 20401559, SEN S/N: 20401559)"
1	11/10/21	13:00:00	17.867	Registrado			
2	11/10/21	14:00:00	22.082				
3	11/10/21	15:00:00	22.130				
4	11/10/21	16:00:00	22.178				
5	11/10/21	17:00:00	22.178				
6	11/10/21	18:00:00	22.130				
7	11/10/21	19:00:00	22.034				
8	11/10/21	20:00:00	22.106				
9	11/10/21	21:00:00	22.058				
10	11/10/21	22:00:00	22.011				
11	11/10/21	23:00:00	21.987				
12	12/10/21	00:00:00	21.963				
13	12/10/21	01:00:00	21.939				
14	12/10/21	02:00:00	21.891				
15	12/10/21	03:00:00	21.867				
16	12/10/21	04:00:00	21.843				
17	12/10/21	05:00:00	21.819				
18	12/10/21	06:00:00	21.843				
19	12/10/21	07:00:00	21.843				
20	12/10/21	08:00:00	21.819				
21	12/10/21	09:00:00	21.819				
22	12/10/21	10:00:00	21.819				
23	12/10/21	11:00:00	21.843				
24	12/10/21	12:00:00	21.843				
25	12/10/21	13:00:00	21.891				
26	12/10/21	14:00:00	21.939				
27	12/10/21	15:00:00	21.939				
28	12/10/21	16:00:00	21.987				
29	12/10/21	17:00:00	21.939				
30	12/10/21	18:00:00	21.867				
31	12/10/21	19:00:00	21.867				
32	12/10/21	20:00:00	21.795				
33	12/10/21	21:00:00	21.819				
34	12/10/21	22:00:00	21.676				
35	12/10/21	23:00:00	21.795				
36	13/10/21	00:00:00	21.772				
37	13/10/21	01:00:00	21.748				
38	13/10/21	02:00:00	21.724				
39	13/10/21	03:00:00	21.676				
40	13/10/21	04:00:00	21.652				
41	13/10/21	05:00:00	21.628				
42	13/10/21	06:00:00	21.628				
43	13/10/21	07:00:00	21.628				
44	13/10/21	08:00:00	21.628				
45	13/10/21	09:00:00	21.628				
46	13/10/21	10:00:00	21.604				
47	13/10/21	11:00:00	21.604				
48	13/10/21	12:00:00	21.652				
49	13/10/21	13:00:00	21.724				
50	13/10/21	14:00:00	21.676				
51	13/10/21	15:00:00	21.748				
52	13/10/21	16:00:00	21.724				
53	13/10/21	17:00:00	21.724				
54	13/10/21	18:00:00	21.724				
55	13/10/21	19:00:00	21.724				
56	13/10/21	20:00:00	21.700				
57	13/10/21	21:00:00	21.652				
58	13/10/21	22:00:00	21.628				
59	13/10/21	23:00:00	21.557				
60	14/10/21	00:00:00	21.509				
61	14/10/21	01:00:00	21.461				
62	14/10/21	02:00:00	21.461				
63	14/10/21	03:00:00	21.461				
64	14/10/21	04:00:00	21.485				
65	14/10/21	05:00:00	21.461				
66	14/10/21	06:00:00	21.461				
67	14/10/21	07:00:00	21.413				
68	14/10/21	08:00:00	21.390				
69	14/10/21	09:00:00	21.413				
70	14/10/21	10:00:00	21.390				
71	14/10/21	11:00:00	21.390				
72	14/10/21	12:00:00	21.485				
73	14/10/21	13:00:00	21.581				
74	14/10/21	14:00:00	21.652				
75	14/10/21	15:00:00	21.676				
76	14/10/21	16:00:00	21.676				
77	14/10/21	17:00:00	21.652				
78	14/10/21	18:00:00	21.628				
79	14/10/21	19:00:00	21.604				
80	14/10/21	20:00:00	21.581				
81	14/10/21	21:00:00	21.557				
82	14/10/21	22:00:00	21.557				
83	14/10/21	23:00:00	21.533				
84	15/10/21	00:00:00	21.509				
85	15/10/21	01:00:00	21.485				
86	15/10/21	02:00:00	21.485				
87	15/10/21	03:00:00	21.461				
88	15/10/21	04:00:00	21.437				
89	15/10/21	05:00:00	21.413				
90	15/10/21	06:00:00	21.413				
91	15/10/21	07:00:00	21.390				
92	15/10/21	08:00:00	21.390				
93	15/10/21	09:00:00	21.390				
94	15/10/21	10:00:00	21.366				
95	15/10/21	11:00:00	21.366				
96	15/10/21	12:00:00	21.413				
97	15/10/21	13:00:00	21.461				
98	15/10/21	14:00:00	21.509				
99	15/10/21	15:00:00	21.533				
100	15/10/21	16:00:00	21.533				
101	15/10/21	17:00:00	21.509				
102	15/10/21	18:00:00	21.437				
103	15/10/21	19:00:00	21.413				
104	15/10/21	20:00:00	21.390				
105	15/10/21	21:00:00	21.342				
106	15/10/21	22:00:00	21.342				
107	15/10/21	23:00:00	21.342				
108	16/10/21	00:00:00	21.318				
109	16/10/21	01:00:00	21.318				
110	16/10/21	02:00:00	21.294				
111	16/10/21	03:00:00	21.294				
112	16/10/21	04:00:00	21.270				
113	16/10/21	05:00:00	21.270				
114	16/10/21	06:00:00	21.246				
115	16/10/21	07:00:00	21.246				
116	16/10/21	08:00:00	21.199				
117	16/10/21	09:00:00	21.223				
118	16/10/21	10:00:00	21.199				
119	16/10/21	11:00:00	21.175				
120	16/10/21	12:00:00	21.246				
121	16/10/21	13:00:00	21.342				
122	16/10/21	14:00:00	21.390				
123	16/10/21	15:00:00	21.437				
124	16/10/21	16:00:00	21.390				
125	16/10/21	17:00:00	21.294				
126	16/10/21	18:00:00	21.246				
127	16/10/21	19:00:00	21.223				
128	16/10/21	20:00:00	21.223				
129	16/10/21	21:00:00	21.223				
130	16/10/21	22:00:00	21.199				
131	16/10/21	23:00:00	21.175				
132	17/10/21	00:00:00	21.175				
133	17/10/21	01:00:00	21.127				
134	17/10/21	02:00:00	21.103				
135	17/10/21	03:00:00	21.103				
136	17/10/21	04:00:00	21.079				
137	17/10/21	05:00:00	21.008				
138	17/10/21	06:00:00	21.008				
139	17/10/21	07:00:00	20.984				
140	17/10/21	08:00:00	20.960				
141	17/10/21	09:00:00	20.960				
142	17/10/21	10:00:00	20.960				
143	17/10/21	11:00:00	20.960				
144	17/10/21	12:00:00	21.032				
145	17/10/21	13:00:00	21.127				
146	17/10/21	14:00:00	21.175				
147	17/10/21	15:00:00	21.151				
148	17/10/21	16:00:00	21.127				
149	17/10/21	17:00:00	21.056				
150	17/10/21	18:00:00	21.008				
151	17/10/21	19:00:00	20.960				
152	17/10/21	20:00:00	20.984				
153	17/10/21	21:00:00	20.960				
154	17/10/21	22:00:00	20.960				
155	17/10/21	23:00:00	20.936				
156	18/10/21	00:00:00	20.936				
157	18/10/21	01:00:00	20.936				
158	18/10/21	02:00:00	20.913				
159	18/10/21	03:00:00	20.913				
160	18/10/21	04:00:00	20.913				
161	18/10/21	05:00:00	20.889				
162	18/10/21	06:00:00	20.889				
163	18/10/21	07:00:00	20.889				
164	18/10/21	08:00:00	20.865				
165	18/10/21	09:00:00	20.865				
166	18/10/21	10:00:00	20.889				
167	18/10/21	11:00:00	20.889				
168	18/10/21	12:00:00	20.936				
169	18/10/21	13:00:00	21.032				
170	18/10/21	14:00:00	21.079				
171	18/10/21	15:00:00	21.127				
172	18/10/21	16:00:00	21.056				
173	18/10/21	17:00:00	21.032				
174	18/10/21	18:00:00	20.984				
175	18/10/21	19:00:00	20.960				
176	18/10/21	20:00:00	20.936				
177	18/10/21	21:00:00	20.936				
178	18/10/21	22:00:00	20.913				
179	18/10/21	23:00:00	20.889				
180	19/10/21	00:00:00	20.889				
181	19/10/21	01:00:00	20.770				
182	19/10/21	02:00:00	20.841				
183	19/10/21	03:00:00	20.722				
184	19/10/21	04:00:00	20.722				
185	19/10/21	05:00:00	20.770				
186	19/10/21	06:00:00	20.770				
187	19/10/21	07:00:00	20.746				
188	19/10/21	08:00:00	20.770				
189	19/10/21	09:00:00	20.770				
190	19/10/21	10:00:00	20.770				
191	19/10/21	11:00:00	20.793				
192	19/10/21	12:00:00	20.793				
193	19/10/21	13:00:00	20.936				
194	19/10/21	14:00:00	21.032				
195	19/10/21	15:00:00	21.199				
196	19/10/21	16:00:00	21.270				
197	19/10/21	17:00:00	21.127				
198	19/10/21	18:00:00	21.056				
199	19/10/21	19:00:00	21.056				
200	19/10/21	20:00:00	20.984				
201	19/10/21	21:00:00	21.032				
202	19/10/21	22:00:00	21.008				
203	19/10/21	23:00:00	21.008				
204	20/10/21	00:00:00	21.008				
205	20/10/21	01:00:00	20.984				
206	20/10/21	02:00:00	20.936				
207	20/10/21	03:00:00	20.889				
208	20/10/21	04:00:00	20.865				
209	20/10/21	05:00:00	20.817				
210	20/10/21	06:00:00	20.817				
211	20/10/21	07:00:00	20.817				
212	20/10/21	08:00:00	20.793				
213	20/10/21	09:00:00	20.793				
214	20/10/21	10:00:00	20.770				
215	20/10/21	11:00:00	20.770				
216	20/10/21	12:00:00	20.770				
217	20/10/21	13:00:00	20.793				
218	20/10/21	14:00:00	20.793				
219	20/10/21	15:00:00	20.817				
220	20/10/21	16:00:00	20.793				
221	20/10/21	17:00:00	20.793				
222	20/10/21	18:00:00	20.793				
223	20/10/21	19:00:00	20.770				
224	20/10/21	20:00:00	20.746				
225	20/10/21	21:00:00	20.722				
226	20/10/21	22:00:00	20.698				
227	20/10/21	23:00:00	20.722				
228	21/10/21	00:00:00	20.698				
229	21/10/21	01:00:00	20.698				
230	21/10/21	02:00:00	20.698				
231	21/10/21	03:00:00	20.698				
232	21/10/21	04:00:00	20.674				
233	21/10/21	05:00:00	20.674				
234	21/10/21	06:00:00	20.674				
235	21/10/21	07:00:00	20.674				
236	21/10/21	08:00:00	20.674				
237	21/10/21	09:00:00	20.674				
238	21/10/21	10:00:00	20.674				
239	21/10/21	11:00:00	20.674				
240	21/10/21	12:00:00	20.674				
241	21/10/21	13:00:00	20.698				
242	21/10/21	14:00:00	20.698				
243	21/10/21	15:00:00	20.722				
244	21/10/21	16:00:00	20.698				
245	21/10/21	17:00:00	20.674				
246	21/10/21	18:00:00	20.674				
247	21/10/21	19:00:00	20.627				
248	21/10/21	20:00:00	20.650				
249	21/10/21	21:00:00	20.627				
250	21/10/21	22:00:00	20.555				
251	21/10/21	23:00:00	20.555				
252	22/10/21	00:00:00	20.555				
253	22/10/21	01:00:00	20.579				
254	22/10/21	02:00:00	20.579				
255	22/10/21	03:00:00	20.555				
256	22/10/21	04:00:00	20.555				
257	22/10/21	05:00:00	20.555				
258	22/10/21	06:00:00	20.555				
259	22/10/21	07:00:00	20.579				
260	22/10/21	08:00:00	20.579				
261	22/10/21	09:00:00	20.579				
262	22/10/21	10:00:00	20.555				
263	22/10/21	11:00:00	20.555				
264	22/10/21	12:00:00	20.579				
265	22/10/21	13:00:00	20.627				
266	22/10/21	14:00:00	20.555				
267	22/10/21	15:00:00	20.722				
268	22/10/21	16:00:00	20.698				
269	22/10/21	17:00:00	20.650				
270	22/10/21	18:00:00	20.650				
271	22/10/21	19:00:00	20.674				
272	22/10/21	20:00:00	20.674				
273	22/10/21	21:00:00	20.698				
274	22/10/21	22:00:00	20.674				
275	22/10/21	23:00:00	20.674				
276	23/10/21	00:00:00	20.674				
277	23/10/21	01:00:00	20.627				
278	23/10/21	02:00:00	20.627				
279	23/10/21	03:00:00	20.603				
280	23/10/21	04:00:00	20.603				
281	23/10/21	05:00:00	20.603				
282	23/10/21	06:00:00	20.531				
283	23/10/21	07:00:00	20.507				
284	23/10/21	08:00:00	20.484				
285	23/10/21	09:00:00	20.507				
286	23/10/21	10:00:00	20.484				
287	23/10/21	11:00:00	20.460				
288	23/10/21	12:00:00	20.507				
289	23/10/21	13:00:00	20.531				
290	23/10/21	14:00:00	20.555				
291	23/10/21	15:00:00	20.650				
292	23/10/21	16:00:00	20.722				
293	23/10/21	17:00:00	20.531				
294	23/10/21	18:00:00	20.531				
295	23/10/21	19:00:00	20.531				
296	23/10/21	20:00:00	20.531				
297	23/10/21	21:00:00	20.507				
298	23/10/21	22:00:00	20.507				
299	23/10/21	23:00:00	20.484				
300	24/10/21	00:00:00	20.460				
301	24/10/21	01:00:00	20.436				
302	24/10/21	02:00:00	20.436				
303	24/10/21	03:00:00	20.436				
304	24/10/21	04:00:00	20.412				
305	24/10/21	05:00:00	20.412				
306	24/10/21	06:00:00	20.388				
307	24/10/21	07:00:00	20.388				
308	24/10/21	08:00:00	20.388				
309	24/10/21	09:00:00	20.388				
310	24/10/21	10:00:00	20.365				
311	24/10/21	11:00:00	20.341				
312	24/10/21	12:00:00	20.412				
313	24/10/21	13:00:00	20.412				
314	24/10/21	14:00:00	20.460				
315	24/10/21	15:00:00	20.484				
316	24/10/21	16:00:00	20.484				
317	24/10/21	17:00:00	20.484				
318	24/10/21	18:00:00	20.460				
319	24/10/21	19:00:00	20.436				
320	24/10/21	20:00:00	20.460				
321	24/10/21	21:00:00	20.460				
322	24/10/21	22:00:00	20.460				
323	24/10/21	23:00:00	20.460				
324	25/10/21	00:00:00	20.531				
325	25/10/21	01:00:00	20.555				
326	25/10/21	02:00:00	20.555				
327	25/10/21	03:00:00	20.579				
328	25/10/21	04:00:00	20.555				
329	25/10/21	05:00:00	20.555				
330	25/10/21	06:00:00	20.555				
331	25/10/21	07:00:00	20.555				
332	25/10/21	08:00:00	20.555				
333	25/10/21	09:00:00	20.555				
334	25/10/21	10:00:00	20.555				
335	25/10/21	11:00:00	20.579				
336	25/10/21	12:00:00	20.579				
337	25/10/21	13:00:00	20.603				
338	25/10/21	14:00:00	20.627				
339	25/10/21	15:00:00	20.627				
340	25/10/21	16:00:00	20.650				
341	25/10/21	17:00:00	20.627				
342	25/10/21	18:00:00	20.603				
343	25/10/21	19:00:00	20.579				
344	25/10/21	20:00:00	20.555				
345	25/10/21	21:00:00	20.531				
346	25/10/21	22:00:00	20.531				
347	25/10/21	23:00:00	20.507				
348	26/10/21	00:00:00	20.484				
349	26/10/21	01:00:00	20.484				
350	26/10/21	02:00:00	20.460				
351	26/10/21	03:00:00	20.436				
352	26/10/21	04:00:00	20.436				
353	26/10/21	05:00:00	20.436				
354	26/10/21	06:00:00	20.412				
355	26/10/21	07:00:00	20.412				
356	26/10/21	08:00:00	20.412				
357	26/10/21	09:00:00	20.412				
358	26/10/21	10:00:00	20.412				
359	26/10/21	11:00:00	20.412				
360	26/10/21	12:00:00	20.436				
361	26/10/21	13:00:00	20.460				
362	26/10/21	14:00:00	20.484				
363	26/10/21	15:00:00	20.484				
364	26/10/21	16:00:00	20.460				
365	26/10/21	17:00:00	20.436				
366	26/10/21	18:00:00	20.365				
367	26/10/21	19:00:00	20.341				
368	26/10/21	20:00:00	20.365				
369	26/10/21	21:00:00	20.317				
370	26/10/21	22:00:00	20.293				
