"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21778965, SEN S/N: 21778965, LBL: Portofino-CalaOro-5)"	"Acoplador separado (LGR S/N: 21778965, SEN S/N: 21778965)"	"Acoplador adjunto (LGR S/N: 21778965, SEN S/N: 21778965)"	"Host conectado (LGR S/N: 21778965, SEN S/N: 21778965)"	"Parado (LGR S/N: 21778965, SEN S/N: 21778965)"	"Final de archivo (LGR S/N: 21778965, SEN S/N: 21778965)"
1	18/07/23	13:00:00	27.554	Registrado				
2	18/07/23	14:00:00	27.677					
3	18/07/23	15:00:00	27.850					
4	18/07/23	16:00:00	27.875					
5	18/07/23	17:00:00	28.097					
6	18/07/23	18:00:00	28.245					
7	18/07/23	19:00:00	28.345					
8	18/07/23	20:00:00	28.320					
9	18/07/23	21:00:00	28.270					
10	18/07/23	22:00:00	28.147					
11	18/07/23	23:00:00	27.875					
12	19/07/23	00:00:00	27.924					
13	19/07/23	01:00:00	27.801					
14	19/07/23	02:00:00	27.702					
15	19/07/23	03:00:00	27.653					
16	19/07/23	04:00:00	27.653					
17	19/07/23	05:00:00	27.702					
18	19/07/23	06:00:00	27.727					
19	19/07/23	07:00:00	27.677					
20	19/07/23	08:00:00	27.702					
21	19/07/23	09:00:00	27.677					
22	19/07/23	10:00:00	27.702					
23	19/07/23	11:00:00	27.751					
24	19/07/23	12:00:00	27.801					
25	19/07/23	13:00:00	27.924					
26	19/07/23	14:00:00	28.023					
27	19/07/23	15:00:00	28.196					
28	19/07/23	16:00:00	28.320					
29	19/07/23	17:00:00	28.394					
30	19/07/23	18:00:00	28.419					
31	19/07/23	19:00:00	28.444					
32	19/07/23	20:00:00	28.444					
33	19/07/23	21:00:00	28.245					
34	19/07/23	22:00:00	28.221					
35	19/07/23	23:00:00	28.320					
36	20/07/23	00:00:00	28.245					
37	20/07/23	01:00:00	28.122					
38	20/07/23	02:00:00	28.023					
39	20/07/23	03:00:00	27.974					
40	20/07/23	04:00:00	27.974					
41	20/07/23	05:00:00	27.875					
