"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20618086, SEN S/N: 20618086, LBL: Portofino_CalaOro_20m)"	"Acoplador separado (LGR S/N: 20618086, SEN S/N: 20618086)"	"Acoplador adjunto (LGR S/N: 20618086, SEN S/N: 20618086)"	"Host conectado (LGR S/N: 20618086, SEN S/N: 20618086)"	"Parado (LGR S/N: 20618086, SEN S/N: 20618086)"	"Final de archivo (LGR S/N: 20618086, SEN S/N: 20618086)"
1	18/07/23	13:00:00	23.328	Registrado				
2	18/07/23	14:00:00	23.304					
3	18/07/23	15:00:00	23.881					
4	18/07/23	16:00:00	23.617					
5	18/07/23	17:00:00	23.136					
6	18/07/23	18:00:00	23.136					
7	18/07/23	19:00:00	22.393					
8	18/07/23	20:00:00	23.617					
9	18/07/23	21:00:00	23.737					
10	18/07/23	22:00:00	24.363					
11	18/07/23	23:00:00	23.930					
12	19/07/23	00:00:00	23.569					
13	19/07/23	01:00:00	23.689					
14	19/07/23	02:00:00	23.617					
15	19/07/23	03:00:00	23.954					
16	19/07/23	04:00:00	24.122					
17	19/07/23	05:00:00	24.315					
18	19/07/23	06:00:00	24.798					
19	19/07/23	07:00:00	23.448					
20	19/07/23	08:00:00	22.202					
21	19/07/23	09:00:00	22.872					
22	19/07/23	10:00:00	23.112					
23	19/07/23	11:00:00	23.112					
24	19/07/23	12:00:00	23.304					
25	19/07/23	13:00:00	23.833					
26	19/07/23	14:00:00	23.569					
27	19/07/23	15:00:00	23.376					
28	19/07/23	16:00:00	24.944					
29	19/07/23	17:00:00	25.137					
30	19/07/23	18:00:00	24.726					
31	19/07/23	19:00:00	24.195					
32	19/07/23	20:00:00	24.436					
33	19/07/23	21:00:00	24.968					
34	19/07/23	22:00:00	24.823					
35	19/07/23	23:00:00	23.352					
36	20/07/23	00:00:00	22.369					
37	20/07/23	01:00:00	22.633					
38	20/07/23	02:00:00	23.136					
39	20/07/23	03:00:00	24.412					
40	20/07/23	04:00:00	24.074					
41	20/07/23	05:00:00	23.689					
42	20/07/23	06:00:00	23.424					
43	20/07/23	07:00:00	23.617					
44	20/07/23	08:00:00	24.750					
45	20/07/23	09:00:00	25.477					
46	20/07/23	10:00:00	25.186					
47	20/07/23	11:00:00	25.768					
48	20/07/23	12:00:00	23.930					
49	20/07/23	13:00:00	23.905					
50	20/07/23	14:00:00	24.388					
51	20/07/23	15:00:00	24.798					
52	20/07/23	16:00:00	24.774					
53	20/07/23	17:00:00	24.219					
54	20/07/23	18:00:00	23.064					
55	20/07/23	19:00:00	22.657					
56	20/07/23	20:00:00	23.280					
57	20/07/23	21:00:00	23.376					
58	20/07/23	22:00:00	24.436					
59	20/07/23	23:00:00	24.774					
60	21/07/23	00:00:00	25.089					
61	21/07/23	01:00:00	25.477					
62	21/07/23	02:00:00	24.871					
63	21/07/23	03:00:00	25.137					
64	21/07/23	04:00:00	26.818					
65	21/07/23	05:00:00	26.158					
66	21/07/23	06:00:00	26.256					
67	21/07/23	07:00:00	24.677					
68	21/07/23	08:00:00	23.208					
69	21/07/23	09:00:00	23.978					
70	21/07/23	10:00:00	24.532					
71	21/07/23	11:00:00	25.040					
72	21/07/23	12:00:00	24.605					
73	21/07/23	13:00:00	24.581					
74	21/07/23	14:00:00	24.677					
75	21/07/23	15:00:00	24.750					
76	21/07/23	16:00:00	25.258					
77	21/07/23	17:00:00	25.841					
78	21/07/23	18:00:00	26.012					
79	21/07/23	19:00:00	26.818					
80	21/07/23	20:00:00	25.477					
81	21/07/23	21:00:00	25.574					
82	21/07/23	22:00:00	25.768					
83	21/07/23	23:00:00	24.315					
84	22/07/23	00:00:00	24.291					
85	22/07/23	01:00:00	24.243					
86	22/07/23	02:00:00	23.954					
87	22/07/23	03:00:00	24.460					
88	22/07/23	04:00:00	25.428					
89	22/07/23	05:00:00	26.475					
90	22/07/23	06:00:00	26.744					
91	22/07/23	07:00:00	26.940					
92	22/07/23	08:00:00	26.916					
93	22/07/23	09:00:00	27.136					
94	22/07/23	10:00:00	27.284					
95	22/07/23	11:00:00	26.940					
96	22/07/23	12:00:00	24.557					
97	22/07/23	13:00:00	25.016					
98	22/07/23	14:00:00	25.890					
99	22/07/23	15:00:00	25.720					
