"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20618085, SEN S/N: 20618085, LBL: Portofino-CalaOro-25)"	"Acoplador separado (LGR S/N: 20618085, SEN S/N: 20618085)"	"Acoplador adjunto (LGR S/N: 20618085, SEN S/N: 20618085)"	"Parado (LGR S/N: 20618085, SEN S/N: 20618085)"	"Final de archivo (LGR S/N: 20618085, SEN S/N: 20618085)"
1	18/07/23	13:00:00	20.770	Registrado			
2	18/07/23	14:00:00	20.674				
3	18/07/23	15:00:00	21.246				
4	18/07/23	16:00:00	20.960				
5	18/07/23	17:00:00	20.913				
6	18/07/23	18:00:00	20.913				
7	18/07/23	19:00:00	20.793				
8	18/07/23	20:00:00	20.817				
9	18/07/23	21:00:00	21.151				
10	18/07/23	22:00:00	20.889				
11	18/07/23	23:00:00	21.199				
12	19/07/23	00:00:00	21.485				
13	19/07/23	01:00:00	21.772				
14	19/07/23	02:00:00	21.652				
15	19/07/23	03:00:00	22.154				
16	19/07/23	04:00:00	21.795				
17	19/07/23	05:00:00	21.246				
18	19/07/23	06:00:00	21.223				
19	19/07/23	07:00:00	21.151				
20	19/07/23	08:00:00	20.960				
21	19/07/23	09:00:00	20.913				
22	19/07/23	10:00:00	20.913				
23	19/07/23	11:00:00	20.936				
24	19/07/23	12:00:00	21.533				
25	19/07/23	13:00:00	21.390				
26	19/07/23	14:00:00	21.509				
27	19/07/23	15:00:00	21.748				
28	19/07/23	16:00:00	22.872				
29	19/07/23	17:00:00	22.154				
30	19/07/23	18:00:00	21.939				
31	19/07/23	19:00:00	21.676				
32	19/07/23	20:00:00	21.628				
33	19/07/23	21:00:00	21.485				
34	19/07/23	22:00:00	21.461				
35	19/07/23	23:00:00	21.390				
36	20/07/23	00:00:00	21.294				
37	20/07/23	01:00:00	20.984				
38	20/07/23	02:00:00	20.913				
39	20/07/23	03:00:00	21.151				
40	20/07/23	04:00:00	22.513				
41	20/07/23	05:00:00	22.011				
42	20/07/23	06:00:00	21.819				
43	20/07/23	07:00:00	22.058				
44	20/07/23	08:00:00	22.537				
45	20/07/23	09:00:00	22.226				
46	20/07/23	10:00:00	21.819				
47	20/07/23	11:00:00	22.106				
48	20/07/23	12:00:00	21.342				
49	20/07/23	13:00:00	21.342				
50	20/07/23	14:00:00	21.246				
51	20/07/23	15:00:00	21.294				
52	20/07/23	16:00:00	21.724				
53	20/07/23	17:00:00	21.819				
54	20/07/23	18:00:00	21.963				
55	20/07/23	19:00:00	22.345				
56	20/07/23	20:00:00	22.489				
57	20/07/23	21:00:00	22.633				
58	20/07/23	22:00:00	22.681				
59	20/07/23	23:00:00	23.064				
60	21/07/23	00:00:00	23.208				
61	21/07/23	01:00:00	22.729				
62	21/07/23	02:00:00	22.106				
63	21/07/23	03:00:00	23.400				
64	21/07/23	04:00:00	23.497				
65	21/07/23	05:00:00	23.160				
66	21/07/23	06:00:00	22.274				
67	21/07/23	07:00:00	21.557				
68	21/07/23	08:00:00	21.581				
69	21/07/23	09:00:00	21.963				
70	21/07/23	10:00:00	22.321				
71	21/07/23	11:00:00	22.321				
72	21/07/23	12:00:00	22.585				
73	21/07/23	13:00:00	22.513				
74	21/07/23	14:00:00	22.681				
75	21/07/23	15:00:00	22.561				
76	21/07/23	16:00:00	22.537				
77	21/07/23	17:00:00	22.896				
78	21/07/23	18:00:00	22.776				
79	21/07/23	19:00:00	22.441				
80	21/07/23	20:00:00	22.298				
81	21/07/23	21:00:00	23.112				
82	21/07/23	22:00:00	22.298				
83	21/07/23	23:00:00	23.352				
84	22/07/23	00:00:00	22.393				
85	22/07/23	01:00:00	23.160				
86	22/07/23	02:00:00	23.208				
87	22/07/23	03:00:00	22.920				
88	22/07/23	04:00:00	22.944				
89	22/07/23	05:00:00	22.872				
90	22/07/23	06:00:00	22.968				
91	22/07/23	07:00:00	22.202				
92	22/07/23	08:00:00	21.581				
93	22/07/23	09:00:00	22.034				
94	22/07/23	10:00:00	22.393				
95	22/07/23	11:00:00	22.609				
96	22/07/23	12:00:00	22.633				
97	22/07/23	13:00:00	22.824				
98	22/07/23	14:00:00	23.064				
99	22/07/23	15:00:00	22.729				
100	22/07/23	16:00:00	23.088				
101	22/07/23	17:00:00	22.274				
102	22/07/23	18:00:00	22.298				
103	22/07/23	19:00:00	22.968				
104	22/07/23	20:00:00	23.064				
105	22/07/23	21:00:00	21.939				
106	22/07/23	22:00:00	21.867				
107	22/07/23	23:00:00	22.441				
108	23/07/23	00:00:00	22.226				
109	23/07/23	01:00:00	22.393				
110	23/07/23	02:00:00	22.154				
