"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21778962, SEN S/N: 21778962, LBL: ptf_30m)"	"Acoplador separado (LGR S/N: 21778962, SEN S/N: 21778962)"	"Acoplador adjunto (LGR S/N: 21778962, SEN S/N: 21778962)"	"Host conectado (LGR S/N: 21778962, SEN S/N: 21778962)"	"Parado (LGR S/N: 21778962, SEN S/N: 21778962)"	"Final de archivo (LGR S/N: 21778962, SEN S/N: 21778962)"
1	18/07/23	13:00:00	20.103	Registrado				
2	18/07/23	14:00:00	19.960					
3	18/07/23	15:00:00	20.055					
4	18/07/23	16:00:00	20.365					
5	18/07/23	17:00:00	20.436					
6	18/07/23	18:00:00	20.341					
7	18/07/23	19:00:00	20.436					
8	18/07/23	20:00:00	20.555					
9	18/07/23	21:00:00	20.674					
10	18/07/23	22:00:00	20.650					
11	18/07/23	23:00:00	20.698					
12	19/07/23	00:00:00	20.484					
13	19/07/23	01:00:00	19.770					
14	19/07/23	02:00:00	19.770					
15	19/07/23	03:00:00	20.222					
16	19/07/23	04:00:00	20.889					
17	19/07/23	05:00:00	19.865					
18	19/07/23	06:00:00	20.412					
19	19/07/23	07:00:00	20.627					
20	19/07/23	08:00:00	20.722					
21	19/07/23	09:00:00	20.007					
22	19/07/23	10:00:00	20.031					
23	19/07/23	11:00:00	20.055					
24	19/07/23	12:00:00	20.174					
25	19/07/23	13:00:00	20.317					
26	19/07/23	14:00:00	20.293					
27	19/07/23	15:00:00	20.341					
28	19/07/23	16:00:00	20.770					
29	19/07/23	17:00:00	20.865					
30	19/07/23	18:00:00	20.126					
31	19/07/23	19:00:00	20.293					
32	19/07/23	20:00:00	20.412					
33	19/07/23	21:00:00	20.984					
34	19/07/23	22:00:00	20.865					
35	19/07/23	23:00:00	20.507					
36	20/07/23	00:00:00	20.484					
37	20/07/23	01:00:00	20.150					
38	20/07/23	02:00:00	20.031					
39	20/07/23	03:00:00	20.507					
40	20/07/23	04:00:00	20.889					
41	20/07/23	05:00:00	20.722					
42	20/07/23	06:00:00	20.770					
43	20/07/23	07:00:00	20.412					
44	20/07/23	08:00:00	20.484					
45	20/07/23	09:00:00	20.150					
46	20/07/23	10:00:00	20.507					
47	20/07/23	11:00:00	19.484					
48	20/07/23	12:00:00	19.984					
49	20/07/23	13:00:00	19.912					
50	20/07/23	14:00:00	19.960					
51	20/07/23	15:00:00	19.960					
52	20/07/23	16:00:00	20.746					
53	20/07/23	17:00:00	21.199					
54	20/07/23	18:00:00	20.960					
55	20/07/23	19:00:00	21.175					
56	20/07/23	20:00:00	21.056					
57	20/07/23	21:00:00	20.555					
58	20/07/23	22:00:00	20.365					
59	20/07/23	23:00:00	20.007					
60	21/07/23	00:00:00	20.722					
61	21/07/23	01:00:00	20.746					
62	21/07/23	02:00:00	20.484					
63	21/07/23	03:00:00	20.484					
64	21/07/23	04:00:00	20.579					
65	21/07/23	05:00:00	20.388					
66	21/07/23	06:00:00	20.936					
67	21/07/23	07:00:00	20.746					
68	21/07/23	08:00:00	20.841					
