Date	Time	5
08/09/2020	10:00:00	24.66
08/09/2020	11:00:00	25.82
08/09/2020	12:00:00	25.21
08/09/2020	13:00:00	28.78
08/09/2020	14:00:00	30.29
08/09/2020	15:00:00	30.98
08/09/2020	16:00:00	31.76
08/09/2020	17:00:00	31.29
08/09/2020	18:00:00	28.83
08/09/2020	19:00:00	27.56
08/09/2020	20:00:00	26.38
08/09/2020	21:00:00	25.02
08/09/2020	22:00:00	24.57
08/09/2020	23:00:00	24.49
09/09/2020	00:00:00	24.09
09/09/2020	01:00:00	23.57
09/09/2020	02:00:00	23.16
09/09/2020	03:00:00	22.54
09/09/2020	04:00:00	21.86
09/09/2020	05:00:00	21.13
09/09/2020	06:00:00	20.98
09/09/2020	07:00:00	21.14
09/09/2020	08:00:00	21.64
09/09/2020	09:00:00	22.31
09/09/2020	10:00:00	23.11
09/09/2020	11:00:00	24.04
09/09/2020	12:00:00	24.85
09/09/2020	13:00:00	25.46
09/09/2020	14:00:00	26.02
09/09/2020	15:00:00	26.49
09/09/2020	16:00:00	26.91
09/09/2020	17:00:00	27.28
09/09/2020	18:00:00	27.61
09/09/2020	19:00:00	27.89
09/09/2020	20:00:00	28.12
09/09/2020	21:00:00	27.68
09/09/2020	22:00:00	26.72
09/09/2020	23:00:00	26.12
10/09/2020	00:00:00	26.01
10/09/2020	01:00:00	26.24
10/09/2020	02:00:00	25.93
10/09/2020	03:00:00	25.05
10/09/2020	04:00:00	24.69
10/09/2020	05:00:00	24.53
10/09/2020	06:00:00	24.53
10/09/2020	07:00:00	24.0
10/09/2020	08:00:00	23.51
10/09/2020	09:00:00	25.42
10/09/2020	10:00:00	25.53
10/09/2020	11:00:00	25.45
10/09/2020	12:00:00	26.78
10/09/2020	13:00:00	26.86
10/09/2020	14:00:00	26.91
10/09/2020	15:00:00	26.83
10/09/2020	16:00:00	26.81
10/09/2020	17:00:00	26.76
10/09/2020	18:00:00	26.71
10/09/2020	19:00:00	26.67
10/09/2020	20:00:00	26.65
10/09/2020	21:00:00	26.59
10/09/2020	22:00:00	26.61
10/09/2020	23:00:00	26.56
11/09/2020	00:00:00	26.49
11/09/2020	01:00:00	26.47
11/09/2020	02:00:00	26.41
11/09/2020	03:00:00	26.39
11/09/2020	04:00:00	26.36
11/09/2020	05:00:00	26.32
11/09/2020	06:00:00	26.26
11/09/2020	07:00:00	26.29
11/09/2020	08:00:00	26.29
11/09/2020	09:00:00	26.23
11/09/2020	10:00:00	26.26
11/09/2020	11:00:00	26.36
11/09/2020	12:00:00	26.27
11/09/2020	13:00:00	26.31
11/09/2020	14:00:00	26.29
11/09/2020	15:00:00	26.34
11/09/2020	16:00:00	26.31
11/09/2020	17:00:00	26.31
11/09/2020	18:00:00	26.32
11/09/2020	19:00:00	26.29
11/09/2020	20:00:00	26.27
11/09/2020	21:00:00	26.22
11/09/2020	22:00:00	26.21
11/09/2020	23:00:00	26.18
12/09/2020	00:00:00	26.12
12/09/2020	01:00:00	26.09
12/09/2020	02:00:00	26.04
12/09/2020	03:00:00	26.02
12/09/2020	04:00:00	25.97
12/09/2020	05:00:00	25.92
12/09/2020	06:00:00	25.93
12/09/2020	07:00:00	25.87
12/09/2020	08:00:00	25.84
12/09/2020	09:00:00	25.82
12/09/2020	10:00:00	25.78
12/09/2020	11:00:00	25.78
12/09/2020	12:00:00	25.79
12/09/2020	13:00:00	25.79
12/09/2020	14:00:00	25.8
12/09/2020	15:00:00	25.79
12/09/2020	16:00:00	25.79
12/09/2020	17:00:00	25.82
12/09/2020	18:00:00	25.8
12/09/2020	19:00:00	25.77
12/09/2020	20:00:00	25.77
12/09/2020	21:00:00	25.76
12/09/2020	22:00:00	25.73
12/09/2020	23:00:00	25.69
13/09/2020	00:00:00	25.66
13/09/2020	01:00:00	25.67
