Date	Time	5	22	35	50
11/08/2018	10:00:00		23.196		
11/08/2018	11:00:00		24.545		
11/08/2018	12:00:00		25.61		
11/08/2018	13:00:00		21.569		
11/08/2018	14:00:00		22.046		
11/08/2018	15:00:00		18.806		
11/08/2018	16:00:00		19.092		
11/08/2018	17:00:00		18.711		
11/08/2018	18:00:00		19.567		
11/08/2018	19:00:00		19.377		
11/08/2018	20:00:00		18.236		
11/08/2018	21:00:00		23.581		
11/08/2018	22:00:00		24.448		
11/08/2018	23:00:00		20.901		
12/08/2018	00:00:00		23.677		
12/08/2018	01:00:00		22.046		
12/08/2018	02:00:00		20.71		
12/08/2018	03:00:00		20.329		
12/08/2018	04:00:00		21.473		
12/08/2018	05:00:00		21.091		
12/08/2018	06:00:00		17.855		
12/08/2018	07:00:00		19.853		
12/08/2018	08:00:00		20.615		
12/08/2018	09:00:00		23.388		
12/08/2018	10:00:00		19.948		
12/08/2018	11:00:00		23.677		
12/08/2018	12:00:00		27.173		
12/08/2018	13:00:00		24.931		
12/08/2018	14:00:00		23.484		
12/08/2018	15:00:00		21.282		
12/08/2018	16:00:00		20.138		
12/08/2018	17:00:00		17.855		
12/08/2018	18:00:00		18.331		
12/08/2018	19:00:00		21.951		
12/08/2018	20:00:00		19.472		
12/08/2018	21:00:00		21.664		
12/08/2018	22:00:00		26.683		
12/08/2018	23:00:00		22.525		
13/08/2018	00:00:00		23.773		
13/08/2018	01:00:00		24.351		
13/08/2018	02:00:00		19.758		
13/08/2018	03:00:00		19.472		
13/08/2018	04:00:00		22.908		
13/08/2018	05:00:00		20.805		
13/08/2018	06:00:00		20.615		
13/08/2018	07:00:00		18.806		
13/08/2018	08:00:00		20.615		
13/08/2018	09:00:00		18.045		
13/08/2018	10:00:00		23.581		
13/08/2018	11:00:00		24.351		
13/08/2018	12:00:00		27.075		
13/08/2018	13:00:00		23.484		
13/08/2018	14:00:00		21.187		
13/08/2018	15:00:00		20.901		
13/08/2018	16:00:00		20.901		
13/08/2018	17:00:00		18.996		
13/08/2018	18:00:00		18.901		
13/08/2018	19:00:00		17.76		
13/08/2018	20:00:00		20.138		
13/08/2018	21:00:00		17.855		
13/08/2018	22:00:00		22.142		
13/08/2018	23:00:00		22.525		
14/08/2018	00:00:00		21.855		
14/08/2018	01:00:00		23.1		
14/08/2018	02:00:00		22.429		
14/08/2018	03:00:00		22.046		
14/08/2018	04:00:00		20.138		
14/08/2018	05:00:00		22.333		
14/08/2018	06:00:00		22.046		
14/08/2018	07:00:00		18.236		
14/08/2018	08:00:00		19.948		
14/08/2018	09:00:00		20.043		
14/08/2018	10:00:00		17.855		
14/08/2018	11:00:00		21.569		
16/08/2018	12:00:00			24.835	
16/08/2018	13:00:00			26.292	
16/08/2018	14:00:00			18.236	
16/08/2018	15:00:00			19.092	
16/08/2018	16:00:00			18.14	
16/08/2018	17:00:00			17.95	
16/08/2018	18:00:00			17.57	
16/08/2018	19:00:00			18.331	
16/08/2018	20:00:00			19.472	
16/08/2018	21:00:00			18.806	
16/08/2018	22:00:00			17.57	
16/08/2018	23:00:00			18.331	
17/08/2018	00:00:00			19.187	
17/08/2018	01:00:00			18.426	
17/08/2018	02:00:00			18.14	
17/08/2018	03:00:00			18.331	
17/08/2018	04:00:00			18.521	
17/08/2018	05:00:00			17.475	
17/08/2018	06:00:00			18.14	
17/08/2018	07:00:00			17.95	
17/08/2018	08:00:00			18.331	
17/08/2018	09:00:00			20.138	
17/08/2018	10:00:00			18.331	
17/08/2018	11:00:00			19.377	
17/08/2018	12:00:00			21.282	
17/08/2018	13:00:00			18.14	
17/08/2018	14:00:00			17.57	
17/08/2018	15:00:00			17.57	
17/08/2018	16:00:00			17.95	
17/08/2018	17:00:00			17.76	
17/08/2018	18:00:00			18.236	
17/08/2018	19:00:00			17.76	
17/08/2018	20:00:00			23.388	
17/08/2018	21:00:00			18.711	
17/08/2018	22:00:00			20.424	
17/08/2018	23:00:00			23.196	
18/08/2018	00:00:00			22.812	
18/08/2018	01:00:00			22.525	
18/08/2018	02:00:00			18.14	
18/08/2018	03:00:00			16.237	
18/08/2018	04:00:00			17.665	
18/08/2018	05:00:00			17.475	
18/08/2018	06:00:00			17.475	
18/08/2018	07:00:00			17.57	
18/08/2018	08:00:00			17.855	
18/08/2018	09:00:00			25.708	
18/08/2018	10:00:00			21.569	
18/08/2018	11:00:00			22.812	
18/08/2018	12:00:00			23.581	
18/08/2018	13:00:00			22.812	
18/08/2018	14:00:00			22.333	
18/08/2018	15:00:00			21.473	
18/08/2018	16:00:00			18.236	
18/08/2018	17:00:00			17.76	
18/08/2018	18:00:00			19.282	
18/08/2018	19:00:00			19.187	
18/08/2018	20:00:00			18.236	
18/08/2018	21:00:00			19.948	
18/08/2018	22:00:00			19.662	
18/08/2018	23:00:00			20.996	
19/08/2018	00:00:00			19.187	
19/08/2018	01:00:00			20.138	
19/08/2018	02:00:00			18.616	
19/08/2018	03:00:00			18.806	
19/08/2018	04:00:00			18.331	
19/08/2018	05:00:00			16.903	
19/08/2018	06:00:00			17.855	
19/08/2018	07:00:00			16.903	
19/08/2018	08:00:00			16.808	
19/08/2018	09:00:00			17.284	
19/08/2018	10:00:00			18.521	
19/08/2018	11:00:00			20.234	
19/08/2018	12:00:00			18.236	
19/08/2018	13:00:00			17.379	
19/08/2018	14:00:00			20.996	
19/08/2018	15:00:00			22.333	
19/08/2018	16:00:00			20.519	
19/08/2018	17:00:00			20.234	
19/08/2018	18:00:00			18.616	
19/08/2018	19:00:00			17.284	
19/08/2018	20:00:00			17.189	
19/08/2018	21:00:00			16.903	
19/08/2018	22:00:00			17.189	
19/08/2018	23:00:00			16.618	
20/08/2018	00:00:00			17.76	
20/08/2018	01:00:00			21.473	
20/08/2018	02:00:00			19.948	
20/08/2018	03:00:00			17.57	
20/08/2018	04:00:00			19.662	
20/08/2018	05:00:00			18.14	
20/08/2018	06:00:00			17.475	
20/08/2018	07:00:00			17.855	
20/08/2018	08:00:00			16.618	
20/08/2018	09:00:00			16.523	
20/08/2018	10:00:00			16.523	
20/08/2018	11:00:00			19.662	
20/08/2018	12:00:00			20.043	
20/08/2018	13:00:00			19.377	
20/08/2018	14:00:00			19.853	
20/08/2018	15:00:00			21.282	
20/08/2018	16:00:00			18.616	
20/08/2018	17:00:00			22.238	
20/08/2018	18:00:00			21.378	
20/08/2018	19:00:00			19.377	
20/08/2018	20:00:00			16.523	
20/08/2018	21:00:00			18.901	
20/08/2018	22:00:00			17.855	
20/08/2018	23:00:00			18.14	
21/08/2018	00:00:00			16.523	
21/08/2018	01:00:00			19.662	
21/08/2018	02:00:00			21.855	
21/08/2018	03:00:00			20.805	
21/08/2018	04:00:00			16.999	
21/08/2018	05:00:00			18.806	
21/08/2018	06:00:00			17.57	
21/08/2018	07:00:00			17.284	
21/08/2018	08:00:00			17.95	
21/08/2018	09:00:00			18.045	
21/08/2018	10:00:00			18.521	
21/08/2018	11:00:00			17.379	
21/08/2018	12:00:00			18.806	
21/08/2018	13:00:00			17.284	
21/08/2018	14:00:00			18.616	
21/08/2018	15:00:00			19.282	
21/08/2018	16:00:00			19.948	
21/08/2018	17:00:00			18.426	
21/08/2018	18:00:00			17.665	
21/08/2018	19:00:00			16.523	
21/08/2018	20:00:00			16.523	
21/08/2018	21:00:00			16.713	
21/08/2018	22:00:00			16.618	
21/08/2018	23:00:00			17.189	
22/08/2018	00:00:00			17.379	
22/08/2018	01:00:00			23.1	
22/08/2018	02:00:00			21.187	
