"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20969998, SEN S/N: 20969998)"	"Acoplador separado (LGR S/N: 20969998, SEN S/N: 20969998)"	"Acoplador adjunto (LGR S/N: 20969998, SEN S/N: 20969998)"	"Host conectado (LGR S/N: 20969998, SEN S/N: 20969998)"	"Parado (LGR S/N: 20969998, SEN S/N: 20969998)"	"Final de archivo (LGR S/N: 20969998, SEN S/N: 20969998)"
1	20/07/21	11:00:00	28.245	Registrado				
2	20/07/21	12:00:00	33.027					
3	20/07/21	13:00:00	15.461					
4	20/07/21	14:00:00	15.127					
5	20/07/21	15:00:00	15.223					
6	20/07/21	16:00:00	15.819					
7	20/07/21	17:00:00	14.840					
8	20/07/21	18:00:00	15.557					
9	20/07/21	19:00:00	15.294					
10	20/07/21	20:00:00	15.031					
11	20/07/21	21:00:00	14.697					
12	20/07/21	22:00:00	14.505					
13	20/07/21	23:00:00	15.055					
14	21/07/21	00:00:00	15.247					
15	21/07/21	01:00:00	15.318					
16	21/07/21	02:00:00	15.270					
17	21/07/21	03:00:00	15.533					
18	21/07/21	04:00:00	15.533					
19	21/07/21	05:00:00	15.175					
20	21/07/21	06:00:00	15.294					
21	21/07/21	07:00:00	14.912					
22	21/07/21	08:00:00	14.816					
23	21/07/21	09:00:00	14.553					
24	21/07/21	10:00:00	14.912					
25	21/07/21	11:00:00	16.177					
26	21/07/21	12:00:00	16.058					
27	21/07/21	13:00:00	16.201					
28	21/07/21	14:00:00	16.129					
29	21/07/21	15:00:00	16.201					
30	21/07/21	16:00:00	16.320					
31	21/07/21	17:00:00	15.748					
32	21/07/21	18:00:00	15.127					
33	21/07/21	19:00:00	14.936					
34	21/07/21	20:00:00	14.697					
35	21/07/21	21:00:00	14.936					
36	21/07/21	22:00:00	14.481					
37	21/07/21	23:00:00	14.481					
38	22/07/21	00:00:00	14.721					
39	22/07/21	01:00:00	14.864					
40	22/07/21	02:00:00	14.673					
41	22/07/21	03:00:00	14.314					
42	22/07/21	04:00:00	14.625					
43	22/07/21	05:00:00	14.385					
44	22/07/21	06:00:00	14.050					
45	22/07/21	07:00:00	14.577					
46	22/07/21	08:00:00	14.816					
47	22/07/21	09:00:00	14.840					
48	22/07/21	10:00:00	15.103					
49	22/07/21	11:00:00	15.008					
50	22/07/21	12:00:00	15.079					
51	22/07/21	13:00:00	15.247					
52	22/07/21	14:00:00	15.270					
53	22/07/21	15:00:00	15.055					
54	22/07/21	16:00:00	14.912					
55	22/07/21	17:00:00	15.079					
56	22/07/21	18:00:00	14.625					
57	22/07/21	19:00:00	14.745					
58	22/07/21	20:00:00	14.816					
59	22/07/21	21:00:00	14.242					
60	22/07/21	22:00:00	14.218					
61	22/07/21	23:00:00	14.673					
62	23/07/21	00:00:00	14.266					
63	23/07/21	01:00:00	14.266					
64	23/07/21	02:00:00	14.194					
65	23/07/21	03:00:00	14.170					
66	23/07/21	04:00:00	14.625					
67	23/07/21	05:00:00	14.625					
