Date	Time	35	40	45
16/06/2010	12:00:00	17.653	17.534	17.51
16/06/2010	13:00:00	17.701	17.677	17.677
16/06/2010	14:00:00	17.724	17.653	17.677
16/06/2010	15:00:00	17.748	17.701	17.677
16/06/2010	16:00:00	17.748	17.724	17.748
16/06/2010	17:00:00	17.677	17.582	17.463
16/06/2010	18:00:00	17.391	16.939	16.796
16/06/2010	19:00:00	17.653	16.749	16.63
16/06/2010	20:00:00	17.891	17.819	17.819
16/06/2010	21:00:00	17.629	17.558	17.534
16/06/2010	22:00:00	17.605	17.582	17.534
16/06/2010	23:00:00	17.605	17.582	17.582
17/06/2010	00:00:00	17.891	17.796	17.748
17/06/2010	01:00:00	17.938	17.867	17.843
17/06/2010	02:00:00	18.176	18.01	17.986
17/06/2010	03:00:00	18.081	17.986	17.915
17/06/2010	04:00:00	17.677	17.605	17.486
17/06/2010	05:00:00	17.867	17.534	17.463
17/06/2010	06:00:00	18.247	17.962	17.605
17/06/2010	07:00:00	18.319	17.891	17.724
17/06/2010	08:00:00	18.247	17.986	17.653
17/06/2010	09:00:00	18.366	17.605	17.177
17/06/2010	10:00:00	18.343	17.843	17.177
17/06/2010	11:00:00	18.129	17.368	17.32
17/06/2010	12:00:00	18.057	17.653	17.463
17/06/2010	13:00:00	18.343	18.224	18.2
17/06/2010	14:00:00	18.747	18.604	18.39
17/06/2010	15:00:00	18.771	18.509	18.081
17/06/2010	16:00:00	18.961	18.295	18.247
17/06/2010	17:00:00	19.056	18.271	18.129
17/06/2010	18:00:00	18.343	18.224	18.247
17/06/2010	19:00:00	18.628	18.366	18.224
17/06/2010	20:00:00	18.557	18.247	18.176
17/06/2010	21:00:00	18.747	18.604	17.701
17/06/2010	22:00:00	18.913	18.794	18.033
17/06/2010	23:00:00	18.961	18.152	17.867
18/06/2010	00:00:00	18.866	17.724	15.748
18/06/2010	01:00:00	18.652	16.32	16.272
18/06/2010	02:00:00	17.962	16.892	16.368
18/06/2010	03:00:00	18.723	16.868	16.701
18/06/2010	04:00:00	17.582	17.034	16.987
18/06/2010	05:00:00	17.605	17.13	16.749
18/06/2010	06:00:00	17.772	17.153	16.844
18/06/2010	07:00:00	17.891	17.249	16.82
18/06/2010	08:00:00	17.51	17.058	16.868
18/06/2010	09:00:00	17.558	16.868	16.058
18/06/2010	10:00:00	17.843	17.249	15.652
18/06/2010	11:00:00	18.129	17.558	15.533
18/06/2010	12:00:00	18.438	16.963	15.414
18/06/2010	13:00:00	18.01	17.177	15.414
18/06/2010	14:00:00	18.295	15.509	15.175
18/06/2010	15:00:00	18.152	15.461	15.318
18/06/2010	16:00:00	18.129	15.414	15.199
18/06/2010	17:00:00	17.962	15.414	15.342
18/06/2010	18:00:00	17.748	15.986	15.986
18/06/2010	19:00:00	17.558	16.511	16.415
18/06/2010	20:00:00	17.486	16.32	16.272
18/06/2010	21:00:00	17.13	16.558	16.439
18/06/2010	22:00:00	17.249	16.344	16.32
18/06/2010	23:00:00	16.844	16.439	16.201
19/06/2010	00:00:00	17.391	16.677	16.01
19/06/2010	01:00:00	17.106	15.867	15.772
19/06/2010	02:00:00	16.844	15.39	15.223
19/06/2010	03:00:00	16.677	15.223	15.008
19/06/2010	04:00:00	16.796	15.414	14.768
19/06/2010	05:00:00	16.963	15.7	15.724
19/06/2010	06:00:00	16.939	15.819	15.127
19/06/2010	07:00:00	16.773	15.485	15.461
19/06/2010	08:00:00	16.487	15.414	15.342
19/06/2010	09:00:00	16.392	16.058	15.676
19/06/2010	10:00:00	16.225	15.843	15.796
19/06/2010	11:00:00	16.368	15.891	15.748
19/06/2010	12:00:00	16.606	16.582	16.558
19/06/2010	13:00:00	16.534	16.511	16.487
19/06/2010	14:00:00	16.368	16.344	16.296
19/06/2010	15:00:00	16.153	16.129	16.106
19/06/2010	16:00:00	15.891	15.652	15.652
19/06/2010	17:00:00	16.01	15.986	15.986
19/06/2010	18:00:00	15.772	15.676	15.605
19/06/2010	19:00:00	15.629	15.605	15.557
19/06/2010	20:00:00	15.772	15.724	15.676
19/06/2010	21:00:00	15.557	15.533	15.509
19/06/2010	22:00:00	15.39	15.366	15.39
19/06/2010	23:00:00	15.318	15.318	15.318
20/06/2010	00:00:00	15.294	15.27	15.294
20/06/2010	01:00:00	15.247	15.247	15.247
20/06/2010	02:00:00	15.079	15.079	15.079
20/06/2010	03:00:00	14.96	14.96	14.936
20/06/2010	04:00:00	15.055	15.008	15.008
20/06/2010	05:00:00	15.055	15.008	15.008
20/06/2010	06:00:00	14.864	14.84	14.792
20/06/2010	07:00:00	14.96	14.912	14.936
20/06/2010	08:00:00	14.96	14.792	14.816
20/06/2010	09:00:00	14.84	14.745	14.745
20/06/2010	10:00:00	14.601	14.577	14.577
20/06/2010	11:00:00	14.457	14.409	14.385
20/06/2010	12:00:00	14.577	14.553	14.529
20/06/2010	13:00:00	14.505	14.457	14.457
20/06/2010	14:00:00	14.337	14.337	14.337
20/06/2010	15:00:00	14.194	14.122	14.146
20/06/2010	16:00:00	14.026	14.026	14.05
20/06/2010	17:00:00	13.93	13.93	13.954
20/06/2010	18:00:00	13.858	13.858	13.882
20/06/2010	19:00:00	13.834	13.834	13.834
20/06/2010	20:00:00	13.858	13.834	13.834
20/06/2010	21:00:00	13.834	13.834	13.858
20/06/2010	22:00:00	13.882	13.882	13.906
20/06/2010	23:00:00	13.93	13.93	13.93
21/06/2010	00:00:00	13.978	13.978	14.002
21/06/2010	01:00:00	14.026	14.026	14.05
21/06/2010	02:00:00	14.05	14.05	14.074
21/06/2010	03:00:00	14.05	14.074	14.098
21/06/2010	04:00:00	14.122	14.122	14.146
21/06/2010	05:00:00	14.17	14.146	14.146
21/06/2010	06:00:00	14.314	14.266	14.218
21/06/2010	07:00:00	14.385	14.385	14.385
21/06/2010	08:00:00	14.649	14.577	14.553
21/06/2010	09:00:00	14.84	14.84	14.84
21/06/2010	10:00:00	14.888	14.864	14.864
21/06/2010	11:00:00	14.745	14.721	14.745
21/06/2010	12:00:00	14.84	14.792	14.792
21/06/2010	13:00:00	14.601	14.601	14.625
21/06/2010	14:00:00	14.433	14.433	14.457
21/06/2010	15:00:00	14.385	14.385	14.385
21/06/2010	16:00:00	14.242	14.242	14.218
21/06/2010	17:00:00	14.266	14.266	14.266
21/06/2010	18:00:00	14.266	14.194	14.218
21/06/2010	19:00:00	14.17	14.05	14.05
21/06/2010	20:00:00	13.978	14.026	14.074
21/06/2010	21:00:00	14.05	14.098	14.122
21/06/2010	22:00:00	14.098	14.098	14.122
21/06/2010	23:00:00	14.098	14.146	14.122
22/06/2010	00:00:00	14.194	14.146	14.05
22/06/2010	01:00:00	14.385	14.194	14.122
22/06/2010	02:00:00	14.577	14.218	14.146
22/06/2010	03:00:00	14.481	14.194	13.858
22/06/2010	04:00:00	14.361	14.074	13.81
22/06/2010	05:00:00	14.218	14.05	13.978
22/06/2010	06:00:00	14.242	14.146	13.954
22/06/2010	07:00:00	14.242	14.146	13.978
22/06/2010	08:00:00	14.242	14.242	14.074
22/06/2010	09:00:00	14.218	14.194	14.002
22/06/2010	10:00:00	14.242	14.146	14.122
22/06/2010	11:00:00	14.122	14.026	13.906
22/06/2010	12:00:00	14.05	14.002	13.93
22/06/2010	13:00:00	14.146	13.978	13.954
22/06/2010	14:00:00	14.05	13.978	14.002
22/06/2010	15:00:00	14.002	13.834	13.834
22/06/2010	16:00:00	13.978	13.93	13.81
22/06/2010	17:00:00	14.026	13.93	13.786
22/06/2010	18:00:00	13.978	13.93	13.93
22/06/2010	19:00:00	13.978	13.954	13.906
22/06/2010	20:00:00	14.074	14.026	14.002
22/06/2010	21:00:00	14.146	14.05	14.074
22/06/2010	22:00:00	14.074	14.074	14.05
22/06/2010	23:00:00	14.146	14.122	14.098
23/06/2010	00:00:00	14.218	14.17	14.122
23/06/2010	01:00:00	14.266	14.218	14.122
23/06/2010	02:00:00	14.242	14.266	14.122
23/06/2010	03:00:00	14.266	14.266	14.194
23/06/2010	04:00:00	14.242	14.146	14.122
23/06/2010	05:00:00	14.266	14.146	14.146
23/06/2010	06:00:00	14.05	13.978	13.93
23/06/2010	07:00:00	14.05	14.074	14.074
23/06/2010	08:00:00	14.05	14.05	14.074
23/06/2010	09:00:00	13.978	14.002	14.026
23/06/2010	10:00:00	13.954	13.978	13.978
23/06/2010	11:00:00	13.906	13.93	13.954
23/06/2010	12:00:00	13.906	13.93	13.93
23/06/2010	13:00:00	13.93	13.954	13.954
23/06/2010	14:00:00	14.05	14.05	14.002
23/06/2010	15:00:00	14.17	14.218	14.098
23/06/2010	16:00:00	14.146	14.194	14.122
23/06/2010	17:00:00	14.218	14.242	14.242
23/06/2010	18:00:00	14.409	14.457	14.361
23/06/2010	19:00:00	14.553	14.409	14.314
23/06/2010	20:00:00	14.337	14.385	14.242
23/06/2010	21:00:00	14.337	14.385	14.385
23/06/2010	22:00:00	14.218	14.218	14.218
23/06/2010	23:00:00	14.242	14.242	14.266
24/06/2010	00:00:00	14.17	14.17	14.194
24/06/2010	01:00:00	14.218	14.242	14.242
24/06/2010	02:00:00	14.266	14.266	14.266
24/06/2010	03:00:00	14.194	14.17	14.194
24/06/2010	04:00:00	14.17	14.194	14.194
24/06/2010	05:00:00	14.194	14.218	14.218
24/06/2010	06:00:00	14.266	14.266	14.242
24/06/2010	07:00:00	14.29	14.266	14.266
24/06/2010	08:00:00	14.361	14.314	14.337
24/06/2010	09:00:00	14.505	14.577	14.505
24/06/2010	10:00:00	14.385	14.361	14.361
24/06/2010	11:00:00	14.385	14.361	14.385
24/06/2010	12:00:00	14.409	14.409	14.433
24/06/2010	13:00:00	14.409	14.433	14.385
24/06/2010	14:00:00	14.601	14.529	14.457
24/06/2010	15:00:00	14.433	14.433	14.457
24/06/2010	16:00:00	14.697	14.577	14.505
24/06/2010	17:00:00	14.768	14.481	14.505
24/06/2010	18:00:00	14.505	14.481	14.505
24/06/2010	19:00:00	14.792	14.745	14.505
24/06/2010	20:00:00	14.697	14.625	14.649
24/06/2010	21:00:00	14.864	14.768	14.745
24/06/2010	22:00:00	14.936	14.984	14.96
24/06/2010	23:00:00	14.745	14.721	14.649
25/06/2010	00:00:00	14.888	14.792	14.625
25/06/2010	01:00:00	14.936	14.888	14.697
25/06/2010	02:00:00	15.031	14.792	14.745
25/06/2010	03:00:00	15.031	14.888	14.553
25/06/2010	04:00:00	14.84	14.745	14.601
25/06/2010	05:00:00	14.888	14.84	14.792
25/06/2010	06:00:00	14.936	14.888	14.745
25/06/2010	07:00:00	15.008	14.84	14.792
25/06/2010	08:00:00	14.96	14.816	14.697
25/06/2010	09:00:00	14.936	14.721	14.697
25/06/2010	10:00:00	14.912	14.697	14.577
25/06/2010	11:00:00	15.342	14.864	14.721
25/06/2010	12:00:00	15.39	14.888	14.721
25/06/2010	13:00:00	15.39	14.792	14.649
25/06/2010	14:00:00	15.366	14.84	14.721
25/06/2010	15:00:00	15.867	15.39	14.553
25/06/2010	16:00:00	15.27	14.625	14.601
25/06/2010	17:00:00	15.652	14.792	14.697
25/06/2010	18:00:00	15.629	15.27	14.697
25/06/2010	19:00:00	15.509	15.509	15.461
25/06/2010	20:00:00	15.891	15.485	15.151
25/06/2010	21:00:00	15.867	15.485	14.864
25/06/2010	22:00:00	15.652	15.461	15.127
25/06/2010	23:00:00	15.652	15.438	15.318
26/06/2010	00:00:00	15.843	15.461	15.318
26/06/2010	01:00:00	15.819	15.461	15.461
26/06/2010	02:00:00	15.533	15.414	15.318
26/06/2010	03:00:00	15.533	15.461	15.223
26/06/2010	04:00:00	15.652	15.414	15.247
26/06/2010	05:00:00	15.509	15.414	15.223
26/06/2010	06:00:00	15.461	15.461	15.055
26/06/2010	07:00:00	15.485	15.485	15.127
26/06/2010	08:00:00	15.461	15.199	14.984
26/06/2010	09:00:00	15.223	15.175	14.912
26/06/2010	10:00:00	15.294	15.247	15.127
26/06/2010	11:00:00	15.318	15.27	15.175
26/06/2010	12:00:00	15.247	15.199	15.175
26/06/2010	13:00:00	15.39	15.27	15.031
26/06/2010	14:00:00	15.796	15.151	14.936
26/06/2010	15:00:00	16.034	15.223	15.103
26/06/2010	16:00:00	16.201	15.318	14.984
26/06/2010	17:00:00	16.249	15.127	14.96
26/06/2010	18:00:00	16.32	15.605	15.079
26/06/2010	19:00:00	16.225	15.509	15.031
26/06/2010	20:00:00	15.772	15.557	15.055
26/06/2010	21:00:00	16.201	15.509	15.414
26/06/2010	22:00:00	15.915	15.247	15.175
26/06/2010	23:00:00	16.106	15.438	15.079
27/06/2010	00:00:00	15.939	15.199	15.103
27/06/2010	01:00:00	15.461	15.223	15.223
27/06/2010	02:00:00	15.7	15.27	15.27
27/06/2010	03:00:00	15.676	15.27	15.294
